SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Intermediate Zone (2022)",
"Peterhead Links",292,0,0,0,0,302,0,0,0,0,0,209,0,0,0,0,361,0,0,0,0,0,101,161,57,0,0,111,31,0,0,52,43,14,5,0,65,12,3,0,0,4,4,15,8,0,6,5,5,0,597,690,274,225,76,
"Peterhead Bay",234,0,0,0,0,329,0,0,0,0,0,128,0,0,0,0,175,0,0,0,0,0,67,63,25,0,0,45,17,2,0,32,19,6,1,0,44,4,0,0,0,4,2,5,13,0,9,5,4,2,560,392,142,93,50,
"Peterhead Harbour",496,0,0,0,0,1134,0,0,0,0,0,144,0,0,0,0,406,0,0,0,0,0,149,167,64,0,0,115,26,6,0,133,82,29,9,0,142,17,0,0,0,9,15,9,24,0,43,26,14,5,1630,874,401,245,113,
"Peterhead Ugieside",314,0,0,0,0,319,0,0,0,0,0,209,0,0,0,0,371,0,0,0,0,0,78,153,61,0,0,117,37,0,0,32,31,21,1,0,55,9,0,0,0,4,9,5,9,0,9,4,5,0,633,684,249,216,74,
"Longside and Rattray South",122,0,0,0,0,228,0,0,0,0,0,129,0,0,0,0,377,0,0,0,0,0,166,303,115,0,0,78,22,2,0,27,28,22,3,0,23,6,0,0,0,3,1,10,7,0,7,9,1,0,350,563,294,354,127,
"Longside and Rattray North",170,0,0,0,0,254,0,0,0,0,0,175,0,0,0,0,333,0,0,0,0,0,67,163,72,0,0,83,41,3,0,28,21,10,1,0,42,6,2,0,0,1,2,5,18,0,13,9,5,1,424,592,191,226,97,
"Rosehearty, Sandhaven and Tyrie",178,0,0,0,0,223,0,0,0,0,0,125,0,0,0,0,273,0,0,0,0,0,90,156,73,0,0,69,17,4,0,40,22,8,5,0,39,9,1,0,0,1,4,3,8,0,10,8,2,0,401,491,202,185,91,
"Cairnbulg/Inverallochy and Memsie",245,0,0,0,0,223,0,0,0,0,0,182,0,0,0,0,286,0,0,0,0,0,79,126,74,0,0,99,27,0,0,26,19,4,3,0,43,12,1,0,0,0,2,2,6,0,2,4,4,1,471,545,218,164,84,
"Fraserburgh Smiddyhill",232,0,0,0,0,215,0,0,0,0,0,244,0,0,0,0,325,0,0,0,0,0,103,188,68,0,0,116,45,2,0,24,20,6,7,0,51,18,0,0,0,0,3,4,6,0,5,5,1,2,445,647,262,245,87,
"Fraserburgh Lochpots",134,0,0,0,0,274,0,0,0,0,0,97,0,0,0,0,161,0,0,0,0,0,65,78,20,0,0,48,5,0,0,61,41,11,7,0,54,10,0,0,0,2,0,1,4,0,17,7,5,0,409,390,179,99,30,
"Fraserburgh Central-Academy",274,0,0,0,0,338,0,0,0,0,0,111,0,0,0,0,185,0,0,0,0,0,73,62,32,0,0,60,15,0,0,43,19,11,2,0,61,7,0,0,0,2,6,3,8,0,19,11,0,2,612,425,173,92,47,
"Fraserburgh Harbour and Broadsea",286,0,0,0,0,597,0,0,0,0,0,85,0,0,0,0,197,0,0,0,0,0,77,87,38,0,0,49,19,0,0,71,59,29,13,0,55,10,3,0,0,2,6,14,12,0,27,9,4,1,885,438,216,156,71,
"South Angus",382,0,0,0,0,253,0,0,0,0,0,307,1,0,0,0,510,0,0,0,0,0,144,227,68,0,0,144,37,11,0,37,30,4,1,0,40,8,2,0,0,1,6,9,20,0,10,19,7,5,635,905,352,286,106,
"Monikie and Wellbank",154,0,0,0,0,150,0,0,0,0,0,197,0,0,0,0,303,0,0,0,0,0,131,215,84,0,0,99,25,3,0,24,25,3,1,0,38,5,4,0,0,1,5,5,21,0,3,6,6,0,304,566,271,254,110,
"Barry and Panbride",92,0,0,0,0,144,0,0,0,0,0,140,0,0,0,0,266,0,0,0,0,0,112,192,51,0,0,68,23,1,0,39,34,8,1,0,18,2,2,0,0,0,1,3,13,0,3,4,2,0,236,467,221,228,68,
"Monifieth West",235,0,0,0,0,172,0,0,0,0,0,245,0,0,0,0,201,0,0,0,0,0,67,100,42,0,0,75,19,0,0,40,20,7,0,0,40,9,1,0,0,2,3,7,7,0,11,7,0,3,408,537,181,133,52,
"Monifieth East",548,0,0,0,0,342,0,0,0,0,0,392,0,0,0,0,365,0,0,0,0,0,130,189,54,0,0,123,33,3,0,71,39,6,1,0,62,7,0,0,0,2,1,3,7,0,14,7,5,4,893,907,307,237,67,
"Carnoustie West",412,0,0,0,0,542,0,0,0,0,0,250,0,0,0,0,460,0,0,0,0,0,162,192,53,0,0,121,28,2,0,91,71,23,9,0,99,13,0,0,0,4,4,10,16,0,16,8,7,2,952,920,376,261,82,
"Carnoustie East",416,0,0,0,0,310,0,0,0,0,0,447,0,0,0,0,408,0,0,0,0,0,114,209,57,0,0,144,39,5,0,52,45,10,1,0,72,12,1,0,0,2,3,7,8,0,9,16,6,3,726,988,331,274,75,
"Arbroath Landward",138,0,0,0,0,214,0,0,0,0,0,186,0,0,0,0,350,0,0,0,0,0,77,108,41,0,0,68,16,3,0,25,17,1,3,0,17,1,1,0,0,0,0,6,10,0,7,6,4,2,353,584,171,139,58,
"Arbroath Kirkton",367,0,0,0,0,434,0,0,0,0,0,275,0,0,0,0,394,0,0,0,0,0,138,209,79,0,0,141,49,2,0,72,47,25,3,0,90,14,1,0,0,2,5,3,5,0,14,11,4,0,798,845,363,293,92,
"Arbroath Keptie",309,0,0,0,0,394,0,0,0,0,0,233,0,0,0,0,311,0,0,0,0,0,98,102,20,0,0,74,20,0,0,40,16,8,2,0,58,8,0,0,0,2,4,4,6,0,16,6,3,1,703,660,204,137,31,
"Arbroath Harbour",505,0,0,0,0,1017,0,0,0,0,0,144,0,0,0,0,362,0,0,0,0,0,83,106,38,0,0,55,12,3,0,103,42,11,3,0,59,8,1,0,0,1,7,13,7,0,32,10,4,3,1522,704,199,144,57,
"Arbroath Cliffburn",275,0,0,0,0,438,0,0,0,0,0,202,0,0,0,0,363,0,0,0,0,0,128,210,58,0,0,105,34,4,0,93,88,41,9,0,108,21,2,0,0,10,10,9,17,0,19,13,7,3,716,796,365,303,87,
"Arbroath Warddykes",306,0,0,0,0,503,0,0,0,0,0,196,0,0,0,0,311,0,0,0,0,0,113,160,74,0,0,87,24,3,0,73,62,31,10,0,83,5,0,0,0,2,12,8,4,0,17,9,3,3,809,682,288,229,98,
"Lunan",230,0,0,0,0,263,0,0,0,0,0,161,0,0,0,0,273,0,0,0,0,0,67,106,41,0,0,50,12,1,0,36,18,7,3,0,32,4,0,0,0,0,7,4,3,0,12,2,2,0,493,514,151,131,48,
"Montrose South",515,0,0,0,0,1002,0,0,0,0,0,213,0,0,0,0,399,0,0,0,0,0,111,116,56,0,0,71,17,3,0,97,71,18,3,0,74,21,0,0,0,2,7,7,7,0,31,19,4,0,1517,819,300,160,73,
"Montrose North",350,0,0,0,0,510,0,0,0,0,0,244,0,0,0,0,358,0,0,0,0,0,97,166,71,0,0,110,35,4,0,54,46,23,7,0,79,11,1,0,0,0,3,6,6,0,12,7,5,0,860,749,276,231,88,
"Hillside",217,0,0,0,0,199,0,0,0,0,0,206,0,0,0,0,325,0,0,0,0,0,122,159,56,0,0,83,19,4,0,31,37,16,1,0,52,4,0,0,0,1,3,4,8,0,2,7,2,2,416,620,257,203,74,
"Friockheim",214,0,0,0,0,215,0,0,0,0,0,214,0,0,0,0,396,0,0,0,0,0,82,117,57,0,0,78,19,4,0,20,14,4,1,0,36,6,0,0,0,0,1,6,8,0,13,10,3,1,429,679,193,152,71,
"Brechin East",245,0,0,0,0,506,0,0,0,0,0,115,0,0,0,0,263,0,0,0,0,0,100,113,57,0,0,60,5,2,0,54,43,16,4,0,50,7,1,0,0,1,5,10,6,0,14,6,2,1,751,501,218,148,70,
"Brechin West",357,0,0,0,0,391,0,0,0,0,0,225,0,0,0,0,368,0,0,0,0,0,80,118,53,0,0,73,18,0,0,62,30,15,8,0,61,4,2,0,0,2,2,7,7,0,9,3,1,0,744,730,190,161,65,
"Letham and Glamis",391,0,0,0,0,347,0,0,0,0,0,410,0,0,0,0,637,0,0,0,0,0,151,211,63,0,0,132,45,5,0,31,39,5,1,0,63,8,1,1,0,4,8,12,14,0,14,18,11,1,738,1159,356,284,85,
"Forfar East",355,0,0,0,0,391,0,0,0,0,0,299,0,0,0,0,380,0,0,0,0,0,106,176,52,0,0,87,26,2,0,61,38,5,9,0,39,8,0,0,0,4,2,2,13,0,20,4,6,2,746,806,248,215,77,
"Forfar Central",468,0,0,0,0,620,0,0,0,0,0,158,0,0,0,0,323,0,0,0,0,0,116,111,63,0,0,71,19,1,0,85,53,29,10,0,76,7,3,0,0,7,5,7,10,0,17,11,2,2,1088,666,263,170,86,
"Forfar West",424,0,0,0,0,484,0,0,0,0,0,242,0,0,0,0,425,0,0,0,0,0,103,130,48,0,0,103,20,4,0,102,61,12,7,0,83,7,1,0,0,2,4,5,7,0,13,3,4,1,908,866,281,176,67,
"Kirriemuir Landward",174,0,0,0,0,221,0,0,0,0,0,146,0,0,0,0,299,0,0,0,0,0,56,117,38,0,0,62,26,0,0,12,19,2,0,0,30,7,0,0,0,0,4,4,5,0,10,10,2,3,391,498,161,151,48,
"Kirriemuir",502,0,0,0,0,645,0,0,0,0,0,363,0,0,0,0,493,0,0,0,0,0,143,204,62,0,0,138,27,5,0,97,46,20,9,0,87,4,3,0,0,2,8,5,12,0,8,12,6,5,1148,1052,353,264,91,
"Angus Glens",247,0,0,0,0,247,0,0,0,0,0,215,0,0,0,0,391,0,0,0,0,0,73,116,49,0,0,90,22,1,0,21,19,8,2,0,37,5,2,0,0,0,3,8,12,0,8,3,5,4,494,672,188,159,72,
"Mull, Iona, Coll and Tiree",373,0,0,0,0,361,0,0,0,0,0,226,0,0,0,0,433,0,0,0,0,0,80,147,70,0,0,69,21,4,0,20,29,8,1,0,45,3,2,0,0,0,5,9,14,0,19,19,12,3,734,743,200,199,92,
"Oban South",466,0,0,0,0,713,0,0,0,0,0,185,0,0,0,0,441,0,0,0,0,0,152,180,87,0,0,99,36,4,0,65,59,10,1,0,98,15,2,0,0,3,1,10,18,0,31,26,17,5,1179,824,352,258,117,
"Oban North",207,0,0,0,0,428,0,0,0,0,0,99,0,0,0,0,231,0,0,0,0,0,52,104,15,0,0,64,5,2,0,31,22,8,1,0,52,2,2,0,0,2,1,3,9,0,23,5,3,1,635,435,146,121,25,
"Benderloch Trail",198,0,0,0,0,165,0,0,0,0,0,140,0,0,0,0,251,0,0,0,0,0,69,95,41,0,0,46,13,1,0,11,12,3,0,0,33,8,1,0,0,0,1,10,5,0,9,9,5,1,363,444,149,127,50,
"Glen Lonan",235,0,0,0,0,231,0,0,0,0,0,170,0,0,0,0,334,0,0,0,0,0,86,123,50,0,0,79,15,2,0,39,25,11,2,0,39,6,0,0,0,2,6,10,8,0,14,17,12,9,466,595,225,171,71,
"Loch Awe",207,0,0,0,0,173,0,0,0,0,0,152,0,0,0,0,322,0,0,0,0,0,54,61,23,0,0,47,5,4,0,24,10,2,1,0,29,7,0,0,0,0,1,4,12,0,8,10,3,1,380,528,129,72,41,
"Mid Argyll",253,0,0,0,0,235,0,0,0,0,0,196,0,0,0,0,379,0,0,0,0,0,74,115,30,0,0,59,11,5,0,24,20,5,6,0,23,3,0,0,0,1,3,8,10,0,13,10,3,3,488,636,164,142,54,
"Greater Lochgilphead",344,0,0,0,0,488,0,0,0,0,0,159,0,0,0,0,326,0,0,0,0,0,72,148,42,0,0,67,19,6,0,52,38,25,2,0,62,7,2,0,0,2,4,3,4,0,14,6,3,0,829,613,192,201,57,
"Knapdale",263,0,0,0,0,275,0,0,0,0,0,151,0,0,0,0,295,0,0,0,0,0,49,76,30,0,0,56,7,2,0,27,15,5,0,0,28,6,0,0,0,1,1,2,6,0,6,7,6,2,538,513,132,96,38,
"Whisky Isles",346,0,0,0,0,368,0,0,0,0,0,184,0,0,0,0,341,0,0,0,0,0,76,116,59,0,0,79,23,2,0,24,13,6,4,0,54,5,1,0,0,1,5,4,10,0,19,8,4,3,710,626,189,152,80,
"Kintyre Trail",264,0,0,0,0,221,0,0,0,0,0,205,0,0,0,0,336,0,0,0,0,0,68,82,49,0,0,89,17,1,0,11,12,1,2,0,35,3,0,0,0,0,6,3,6,0,21,12,10,4,484,609,190,116,64,
"Campbeltown",511,0,0,0,0,624,0,0,0,0,0,206,0,0,0,0,341,0,0,0,0,0,85,161,61,0,0,83,18,3,0,59,39,9,3,0,65,6,1,0,0,2,2,5,8,0,17,11,4,0,1134,689,228,199,76,
"Bute",339,0,0,0,0,216,0,0,0,0,0,229,0,0,0,0,273,0,0,0,0,0,46,50,35,0,0,46,10,4,0,12,6,6,1,0,25,2,0,0,0,0,2,2,9,0,7,15,3,3,559,549,117,70,52,
"Rothesay Town",488,0,0,0,0,597,0,0,0,0,0,148,0,0,0,0,268,0,0,0,0,0,68,80,50,0,0,55,8,2,0,43,45,12,3,0,46,10,0,0,0,6,4,3,7,0,11,11,8,2,1085,523,189,108,62,
"Cowal South",572,0,0,0,0,436,0,0,0,0,0,414,0,0,0,0,621,0,0,0,0,0,109,130,43,0,0,101,31,2,0,23,16,4,2,0,52,7,4,0,0,3,2,9,15,0,25,20,10,2,1008,1138,246,183,65,
"Hunter's Quay",517,0,0,0,0,538,0,0,0,0,0,322,0,0,0,0,407,0,0,0,0,0,102,153,37,0,0,90,20,1,0,66,40,28,3,0,90,13,0,0,0,8,8,7,12,0,20,21,7,0,1054,913,274,220,48,
"Dunoon",417,0,0,0,0,623,0,0,0,0,0,195,0,0,0,0,356,0,0,0,0,0,99,135,50,0,0,71,13,1,0,78,42,17,7,0,70,9,0,1,0,7,6,8,9,0,20,12,9,2,1040,723,237,180,69,
"Garelochhead",269,0,0,0,0,345,0,0,0,0,0,221,0,0,0,0,422,0,0,0,0,0,114,146,58,0,0,106,19,0,0,52,34,8,1,0,53,11,1,0,0,0,4,4,15,0,13,16,5,3,612,761,285,187,79,
"Helensburgh West and Rhu",316,0,0,0,0,282,0,0,0,0,0,334,0,0,0,0,395,0,0,0,0,0,118,181,64,0,0,99,40,2,0,38,35,11,3,0,47,5,1,0,0,1,2,6,9,0,9,16,7,2,598,824,274,246,80,
"Helensburgh North",251,0,0,0,0,159,0,0,0,0,0,288,0,0,0,0,316,0,0,0,0,0,116,155,82,0,0,100,34,1,0,18,35,11,5,0,43,14,2,0,0,6,4,2,13,0,10,11,5,4,410,682,274,207,105,
"Helensburgh Centre",432,0,0,0,0,584,0,0,0,0,0,185,0,0,0,0,287,0,0,0,0,0,62,47,15,0,0,56,12,4,0,35,29,6,1,0,42,6,3,0,0,0,4,1,5,0,16,9,2,6,1016,572,166,71,32,
"Helensburgh East",263,0,0,0,0,371,0,0,0,0,0,143,0,0,0,0,336,0,0,0,0,0,114,183,84,0,0,96,28,4,0,53,48,15,4,0,65,10,2,0,0,1,5,7,14,0,16,21,4,2,636,614,291,241,108,
"Lomond Shore",235,0,0,0,0,250,0,0,0,0,0,254,0,0,0,0,386,0,0,0,0,0,101,151,50,0,0,95,21,5,0,25,23,0,0,0,43,3,0,0,0,0,3,8,23,0,15,20,9,4,482,725,245,187,82,
"Balerno",369,0,0,0,0,250,0,0,0,0,0,415,0,0,0,0,381,0,0,0,0,0,163,370,100,0,0,126,36,6,0,40,28,9,0,0,47,9,0,0,0,1,4,5,11,0,17,15,7,11,619,902,344,427,128,
"Currie West",241,0,0,0,0,220,0,0,0,0,0,189,1,0,0,0,325,0,0,0,0,0,160,251,57,0,0,87,28,4,0,33,38,5,2,0,44,9,0,2,0,0,1,5,12,0,7,13,7,0,458,601,310,297,79,
"Currie East",235,0,0,0,0,151,0,0,0,0,0,217,0,0,0,0,249,0,0,0,0,0,119,202,45,0,0,75,30,7,0,26,16,5,2,0,32,5,0,0,0,0,2,7,9,0,3,2,6,4,386,530,217,247,65,
"Baberton and Juniper Green",341,0,0,0,0,192,0,0,0,0,0,299,0,0,0,0,318,0,0,0,0,0,110,193,48,0,0,81,24,0,0,22,18,3,1,0,45,7,2,0,0,0,3,6,9,0,11,7,5,2,533,696,226,238,58,
"Bonaly and The Pentlands",260,0,0,0,0,200,0,0,0,0,0,283,0,0,0,0,326,0,0,0,0,0,155,310,88,0,0,90,32,1,0,16,28,7,0,0,33,6,0,0,0,1,3,6,6,0,10,6,6,4,460,669,298,361,99,
"Colinton and Kingsknowe",335,0,0,0,0,142,0,0,0,0,0,255,0,0,0,0,303,0,0,0,0,0,128,212,48,0,0,56,15,2,0,18,15,2,1,0,31,7,0,0,0,0,2,5,15,0,12,5,7,4,481,622,211,237,72,
"Clovenstone and Wester Hailes South",72,0,0,0,0,446,0,0,0,0,0,14,0,0,0,0,146,0,0,0,0,0,93,84,95,0,0,44,14,11,0,89,62,41,19,0,70,16,6,0,0,6,12,13,19,0,38,19,7,15,518,361,238,165,165,
"The Calders",248,0,0,0,0,714,0,0,0,0,0,72,0,0,0,0,224,0,0,0,0,0,89,87,53,0,0,63,17,7,0,120,79,35,10,0,100,16,2,0,0,0,16,23,24,0,59,41,11,2,962,576,300,170,96,
"Murrayburn and Wester Hailes North",184,0,0,0,0,730,0,0,0,0,0,42,0,0,0,0,166,0,0,0,0,0,53,65,57,0,0,44,7,2,0,96,81,35,12,0,88,25,3,0,0,7,15,9,10,0,45,22,5,4,914,447,240,120,88,
"Parkhead and Sighthill",169,0,0,0,0,273,0,0,0,0,0,131,0,0,0,0,211,0,0,0,0,0,92,105,33,0,0,62,21,3,0,59,31,11,2,0,58,5,0,2,0,4,5,4,12,0,34,27,8,3,442,494,220,149,57,
"Broomhouse and Bankhead",176,0,0,0,0,345,0,0,0,0,0,55,0,0,0,0,230,0,0,0,0,0,89,159,83,0,0,64,28,8,0,38,47,23,15,0,103,26,3,0,0,4,16,11,30,0,41,29,15,5,523,470,264,239,142,
"Stenhouse and Saughton Mains",441,0,0,0,0,1054,0,0,0,0,0,110,0,0,0,0,487,0,0,0,0,0,172,158,38,0,0,70,18,3,0,94,60,13,2,0,108,22,5,0,0,5,10,6,20,0,156,44,14,3,1495,960,370,210,74,
"Longstone",249,0,0,0,0,392,0,0,0,0,0,158,0,0,0,0,298,0,0,0,0,0,107,149,53,0,0,97,33,0,0,47,42,15,5,0,64,17,0,0,0,0,0,9,23,0,58,23,7,5,641,625,288,213,87,
"Slateford and Chesser",365,0,0,0,0,913,0,0,0,0,0,120,0,0,0,0,545,0,0,0,0,0,135,120,30,0,0,53,20,1,0,60,26,10,0,0,87,10,0,0,0,2,4,6,10,0,161,51,16,9,1278,975,284,172,51,
"Gorgie West",176,0,0,0,0,1597,0,0,0,0,0,41,0,0,0,0,596,0,0,0,0,0,142,75,18,0,0,41,9,2,0,52,33,6,4,0,36,5,5,2,0,0,3,2,9,0,228,59,16,2,1773,954,284,110,32,
"Gorgie East",87,0,0,0,0,1117,0,0,0,0,0,10,0,0,0,0,455,0,0,0,0,0,67,39,8,0,0,7,7,0,0,20,12,4,0,0,29,4,0,0,0,0,0,2,3,0,231,56,13,9,1204,747,147,65,24,
"Shandon",290,0,0,0,0,795,0,0,0,0,0,114,0,0,0,0,633,0,0,0,0,0,194,161,23,0,0,43,11,1,0,42,21,3,1,0,34,6,0,0,0,0,7,0,6,0,169,56,22,12,1081,993,327,197,43,
"Craiglockhart",332,0,0,0,0,230,0,0,0,0,0,314,0,0,0,0,424,0,0,0,0,0,160,240,50,0,0,87,20,3,0,22,21,7,0,0,44,7,2,0,0,0,1,5,9,0,36,14,23,1,560,840,290,300,68,
"Morningside West and Craighouse",349,0,0,0,0,547,0,0,0,0,0,160,0,0,0,0,417,0,0,0,0,0,140,194,51,0,0,48,19,2,0,44,28,3,4,0,23,1,0,0,0,0,2,6,4,0,101,35,10,2,896,748,256,226,61,
"Greenbank and The Braids",291,0,0,0,0,165,0,0,0,0,0,302,0,0,0,0,333,0,0,0,0,0,129,256,80,0,0,98,23,3,0,24,17,2,0,0,31,6,1,0,0,0,2,3,7,0,15,9,8,0,461,705,261,293,90,
"Colinton Mains and Firrhill",321,0,0,0,0,502,0,0,0,0,0,80,0,0,0,0,293,0,0,0,0,0,119,123,54,0,0,63,21,4,0,94,51,15,3,0,69,15,6,0,0,1,6,4,16,0,52,22,6,3,825,593,276,176,81,
"Oxgangs",194,0,0,0,0,380,0,0,0,0,0,62,0,0,0,0,182,0,0,0,0,0,74,78,39,0,0,45,22,0,0,44,39,18,4,0,65,17,3,0,0,2,4,1,6,0,52,16,10,5,574,404,193,133,56,
"Comiston and Swanston",343,0,0,0,0,202,0,0,0,0,0,357,0,0,0,0,457,0,0,0,0,0,175,275,69,0,0,112,32,2,0,23,24,7,1,0,50,9,2,0,0,0,3,6,17,0,16,10,4,3,549,905,328,328,95,
"Fairmilehead",231,0,0,0,0,135,0,0,0,0,0,329,0,0,0,0,385,0,0,0,0,0,187,395,97,0,0,112,24,2,0,28,33,5,0,0,50,10,3,0,0,3,4,3,14,0,4,8,8,5,366,799,352,438,117,
"Gilmerton South and the Murrays",136,0,0,0,0,323,0,0,0,0,0,91,0,0,0,0,436,0,0,0,0,0,210,178,63,0,0,84,18,4,0,74,63,16,5,0,44,12,1,0,0,4,2,8,21,0,26,13,7,1,461,674,385,226,94,
"Burdiehouse South and Broomhills",65,0,0,0,0,226,0,0,0,0,0,54,0,0,0,0,393,0,0,0,0,0,192,155,49,0,0,37,13,2,0,46,35,7,2,0,37,15,0,0,0,0,3,12,7,0,20,13,8,1,291,549,291,193,69,
"Mortonhall and Anwickhill",256,0,0,0,0,228,0,0,0,0,0,168,0,0,0,0,236,0,0,0,0,0,58,69,22,0,0,55,17,3,0,13,5,4,2,0,38,6,0,0,0,2,4,2,7,0,17,4,5,4,484,477,134,97,33,
"Gracemount, Southhouse and Burdiehouse",318,0,0,0,0,621,0,0,0,0,0,105,0,0,0,0,341,0,0,0,0,0,130,145,121,0,0,102,29,7,0,112,92,37,19,0,118,24,5,1,0,5,10,19,43,0,68,39,12,5,943,745,404,253,195,
"Hyvots and Gilmerton",269,0,0,0,0,436,0,0,0,0,0,87,0,0,0,0,258,0,0,0,0,0,104,109,53,0,0,80,22,3,0,71,65,16,13,0,70,8,2,0,0,5,8,11,18,0,37,14,3,7,709,531,281,166,88,
"Fernieside and Moredun South",269,0,0,0,0,360,0,0,0,0,0,121,0,0,0,0,252,0,0,0,0,0,89,128,55,0,0,89,26,6,0,45,39,16,12,0,72,21,2,0,0,2,7,3,16,0,32,28,3,5,628,527,272,182,95,
"Moredun and Craigour",187,0,0,0,0,459,0,0,0,0,0,80,0,0,0,0,177,0,0,0,0,0,52,78,42,0,0,54,22,3,0,59,47,16,3,0,60,8,1,0,0,4,11,3,10,0,41,18,4,4,646,421,187,124,62,
"Liberton East",202,0,0,0,0,214,0,0,0,0,0,172,0,0,0,0,287,0,0,0,0,0,81,88,28,0,0,71,31,4,0,13,5,3,1,0,31,6,0,0,0,0,0,7,8,0,17,13,6,5,416,520,178,142,46,
"Liberton West",233,0,0,0,0,234,0,0,0,0,0,214,0,0,0,0,330,0,0,0,0,0,102,140,34,0,0,67,19,2,0,20,13,6,1,0,35,4,0,0,0,0,1,5,10,0,22,5,2,1,467,624,194,171,48,
"The Inch",312,0,0,0,0,585,0,0,0,0,0,115,0,0,0,0,349,0,0,0,0,0,150,139,69,0,0,81,28,9,0,76,48,11,6,0,84,17,3,2,0,4,7,8,20,0,106,69,25,10,897,734,372,212,109,
"Blackford, West Mains and Mayfield Road",492,0,0,0,0,393,0,0,0,0,0,276,0,0,0,0,470,0,0,0,0,0,198,311,103,0,0,119,32,5,0,46,34,11,3,0,51,12,3,0,0,3,4,8,15,0,128,42,27,8,889,974,406,388,134,
"Prestonfield",277,0,0,0,0,446,0,0,0,0,0,111,0,0,0,0,298,0,0,0,0,0,74,88,23,0,0,52,11,5,0,27,19,5,0,0,44,4,1,0,0,3,1,3,10,0,108,49,30,17,723,595,206,142,53,
"Newington and Dalkeith Road",158,0,0,0,0,424,0,0,0,0,0,86,0,0,0,0,324,0,0,0,0,0,81,108,49,0,0,33,4,2,0,20,13,2,1,0,24,1,2,0,0,2,3,4,10,0,225,162,69,34,582,677,293,188,95,
"The Grange",472,0,0,0,0,394,0,0,0,0,0,313,0,0,0,0,417,0,0,0,0,0,162,235,84,0,0,94,12,0,0,21,33,4,0,0,20,1,1,1,0,1,5,8,6,0,126,77,32,19,871,895,366,300,113,
"Marchmont East and Sciennes",177,0,0,0,0,465,0,0,0,0,0,77,0,0,0,0,317,0,0,0,0,0,79,113,25,0,0,21,6,2,0,38,20,5,1,0,29,4,0,0,0,3,0,8,8,0,269,214,110,32,642,732,339,239,65,
"Marchmont West",145,0,0,0,0,245,0,0,0,0,0,88,0,0,0,0,226,0,0,0,0,0,114,154,46,0,0,36,11,0,0,23,19,3,0,0,19,6,0,0,0,0,0,7,7,0,96,246,250,91,390,458,426,425,142,
"Morningside East",292,0,0,0,0,530,0,0,0,0,0,216,0,0,0,0,510,0,0,0,0,0,164,209,74,0,0,67,7,2,0,39,24,0,0,0,34,4,1,0,0,0,6,4,9,0,113,63,43,9,822,912,331,268,95,
"Merchiston and Greenhill",348,0,0,0,0,436,0,0,0,0,0,225,0,0,0,0,421,0,0,0,0,0,129,198,47,0,0,42,6,4,0,18,23,5,0,0,36,7,0,0,0,2,4,4,18,0,74,59,63,22,784,775,262,276,93,
"Bruntsfield",263,0,0,0,0,681,0,0,0,0,0,91,0,0,0,0,550,0,0,0,0,0,145,158,43,0,0,43,10,3,0,38,29,8,1,0,32,4,0,0,0,1,5,4,9,0,225,168,82,62,943,935,395,264,119,
"Polwarth",174,0,0,0,0,1073,0,0,0,0,0,53,0,0,0,0,580,0,0,0,0,0,97,82,15,0,0,27,3,0,0,32,26,2,0,0,24,1,0,2,0,0,2,4,7,0,242,62,38,16,1247,928,213,130,39,
"Dalry",131,0,0,0,0,804,0,0,0,0,0,8,0,0,0,0,343,0,0,0,0,0,73,38,15,0,0,7,2,0,0,21,18,3,2,0,16,5,0,0,0,1,6,2,2,0,234,90,32,4,938,627,198,76,22,
"Fountainbridge",103,0,0,0,0,1241,0,0,0,0,0,18,0,0,0,0,415,0,0,0,0,0,46,42,6,0,0,5,0,0,0,28,22,2,0,0,24,1,0,0,0,1,2,1,1,0,204,70,10,4,1344,679,145,55,12,
"Tollcross",201,0,0,0,0,1163,0,0,0,0,0,37,0,0,0,0,530,0,0,0,0,0,65,51,18,0,0,13,7,0,0,36,33,3,0,0,37,8,0,0,0,0,5,0,6,0,418,209,116,71,1363,1059,335,176,100,
"Southside",94,0,0,0,0,339,0,0,0,0,0,20,0,0,0,0,191,0,0,0,0,0,21,17,5,0,0,14,2,0,0,18,6,6,0,0,12,1,1,0,0,1,3,3,6,0,229,177,142,104,433,476,220,169,113,
