"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Intermediate Zone (2022)",
"Pinkie Braes",43,37,0,0,0,96,94,4,0,0,14,30,7,1,0,22,87,52,4,3,26,95,84,11,0,4,27,27,18,3,37,42,2,1,0,14,32,15,2,0,4,7,11,3,1,7,8,12,1,3,265,452,214,41,13,
"Prestonpans West",194,127,3,0,0,186,232,23,3,4,30,113,12,2,0,38,205,167,18,3,22,171,240,29,13,17,48,57,29,13,67,90,14,4,0,43,62,30,11,2,4,17,12,7,0,5,24,18,5,2,609,1089,578,108,37,
"Prestonpans East",157,105,3,0,0,121,173,18,1,0,20,99,13,0,1,17,164,131,10,3,15,135,173,23,15,7,38,45,34,21,28,64,17,1,3,25,49,25,2,2,5,8,6,6,1,10,19,7,8,3,409,854,442,89,49,
"Cockenzie",188,187,5,1,0,94,265,21,5,2,21,168,69,1,2,23,202,190,28,7,13,108,181,34,14,9,43,91,74,24,25,50,12,3,0,21,57,33,3,0,3,8,13,3,2,6,18,23,7,1,398,1110,639,162,54,
"Tranent East",162,98,3,1,0,130,171,25,0,1,16,134,35,3,0,24,140,103,16,1,29,96,123,31,15,13,43,58,42,13,70,76,8,0,0,34,40,20,0,0,7,7,14,3,0,16,8,8,7,2,495,809,400,101,32,
"Tranent North Blindwells Levenhall",30,33,2,0,0,75,116,15,2,0,2,58,23,2,0,21,123,153,12,2,9,104,188,43,6,4,22,32,20,16,9,38,13,2,0,5,13,11,5,0,3,7,9,4,0,0,3,5,2,4,156,519,451,90,30,
"Tranent South",154,112,2,0,1,138,255,28,2,2,30,127,39,4,2,34,194,189,19,4,20,180,362,77,19,13,32,68,67,21,47,110,20,4,0,18,60,13,7,1,3,9,10,15,6,4,17,14,7,4,462,1096,751,197,61,
"Ormiston",72,69,5,0,1,59,152,14,1,0,8,78,32,0,0,11,73,113,21,2,8,66,135,34,9,5,10,26,21,16,16,44,10,0,0,8,24,15,3,0,1,4,10,2,4,3,6,4,4,7,191,529,361,83,35,
"Aberlady",67,132,6,1,0,34,108,8,1,2,14,75,53,4,6,10,88,122,23,5,4,59,149,14,7,1,14,28,24,16,0,15,3,1,0,7,15,11,3,0,1,4,9,4,2,2,5,7,5,3,142,513,395,80,40,
"Macmerry Longniddry",102,171,8,4,0,36,112,13,2,2,11,164,100,10,2,11,94,192,25,4,12,100,182,35,6,4,15,51,45,17,18,50,9,0,0,7,36,18,2,0,4,3,11,4,5,2,6,9,6,3,205,749,595,135,45,
"Haddington Rural",26,65,3,0,0,13,93,9,1,0,5,68,51,3,1,4,104,152,23,6,5,101,248,24,10,1,11,21,23,11,5,46,9,1,0,2,9,4,3,0,0,0,6,3,0,1,4,14,0,3,64,502,508,81,34,
"Humbie Gifford Garvald",86,197,16,3,2,34,183,37,3,0,12,116,158,15,2,15,115,353,68,23,7,87,311,62,40,2,9,69,55,32,3,53,14,0,4,8,28,35,3,6,1,7,10,9,5,2,11,16,7,6,166,808,1016,224,118,
"Haddington North",98,153,4,0,0,66,146,15,4,1,13,133,50,9,1,14,142,179,20,5,8,139,217,33,10,3,22,64,40,14,21,59,4,0,0,21,37,22,8,0,1,6,14,7,1,0,14,12,3,2,245,853,579,127,32,
"Haddington South",251,213,5,0,1,200,278,23,3,3,32,154,39,5,0,28,164,150,20,4,21,133,142,26,5,5,37,47,33,10,32,81,10,1,5,44,45,29,4,0,6,9,4,9,2,6,21,14,2,1,620,1132,461,105,28,
"Gullane and Drem",106,257,21,0,2,39,168,15,0,1,12,155,128,14,7,12,108,215,45,13,8,92,259,50,18,2,16,45,35,19,4,49,10,1,1,4,24,25,2,0,0,6,10,6,2,1,8,11,4,2,185,880,740,156,64,
"North Berwick North",190,251,16,1,0,74,105,13,4,1,18,150,77,7,1,13,95,105,18,2,3,68,103,22,4,4,10,30,15,4,10,21,5,1,0,8,11,11,1,0,0,2,4,6,0,8,7,4,4,0,321,715,371,78,15,
"North Berwick South",115,156,12,0,0,83,175,18,4,1,17,147,97,15,3,18,144,174,32,1,6,211,319,40,13,8,34,52,42,14,30,81,7,4,0,12,35,15,3,1,2,9,14,5,0,5,18,7,8,3,292,1014,719,152,38,
"East Linton and Rural",91,242,18,4,0,40,218,39,4,0,12,163,140,11,9,11,180,305,65,16,8,158,332,80,19,0,15,55,54,20,10,62,8,0,1,5,30,39,6,4,1,6,18,5,3,5,6,12,9,9,183,1082,965,236,78,
"Dunbar West",183,153,4,0,1,109,224,20,0,0,28,131,59,4,0,21,186,199,25,6,18,270,300,53,6,9,30,47,44,11,36,95,20,2,0,20,50,22,3,2,3,12,16,3,1,5,22,17,6,2,429,1173,704,138,33,
"Dunbar East",157,170,5,0,0,111,165,10,4,1,27,131,41,6,1,21,154,130,19,7,14,145,185,25,10,6,28,52,24,9,27,76,11,1,0,23,27,15,4,1,0,9,5,2,0,5,21,15,7,1,393,927,469,95,33,
"Neilston East",144,91,0,1,0,118,112,11,3,0,16,58,25,2,0,8,74,74,5,2,8,77,116,33,13,7,23,37,22,19,26,53,9,0,0,12,34,22,6,1,0,10,9,6,3,11,8,6,8,3,356,543,308,89,42,
"Neilston West and Uplawmoor",53,157,11,3,1,21,122,10,3,0,14,111,65,4,3,8,108,146,23,3,6,62,202,34,13,3,30,52,55,18,8,47,12,0,1,9,10,19,2,0,1,1,6,3,4,1,6,8,1,0,121,650,531,133,45,
"Cross Stobbs",97,147,4,0,0,57,124,11,2,1,23,126,75,5,0,8,128,151,11,3,11,68,178,30,6,4,25,60,45,23,12,34,7,2,0,7,27,17,2,1,2,2,1,5,2,0,6,7,3,3,221,689,518,108,35,
"Dunterlie, East Arthurlie and Dovecothall",344,219,9,0,0,471,402,18,1,2,27,95,25,0,1,48,189,138,13,0,21,149,158,23,9,12,49,50,45,16,95,118,17,3,3,69,62,41,7,2,5,16,19,4,4,22,28,11,1,0,1113,1323,490,103,34,
"West Arthurlie, Gateside and Springhill",137,153,8,2,1,117,177,14,1,1,24,137,37,0,0,19,126,169,13,4,15,119,228,29,14,4,26,59,56,24,25,55,12,1,0,17,43,19,8,1,0,7,19,8,7,7,7,5,6,0,365,846,567,123,51,
"Auchenback and Barrhead Dams",118,91,2,0,0,149,189,7,0,0,23,42,5,1,0,19,111,101,4,1,22,131,166,30,10,7,36,57,26,11,53,91,19,1,1,46,55,32,0,0,9,16,16,5,4,8,23,9,4,2,450,779,415,76,29,
"Crookfur East, Fruin and Greenlaw East",114,217,6,1,0,55,188,17,2,0,12,110,112,5,0,8,56,119,9,1,6,96,311,53,12,5,13,33,26,21,8,50,11,4,1,6,13,16,4,0,1,5,16,10,6,2,3,6,3,5,216,755,644,116,42,
"Crookfur West and Greenlaw West",54,79,2,0,0,18,108,4,1,0,9,67,45,3,0,6,85,103,13,0,6,112,357,41,10,2,11,50,44,13,4,56,17,3,0,4,24,15,10,0,1,4,14,6,4,1,1,6,5,1,109,547,614,126,30,
"Mearns Village, Westacres and Greenfarm",130,160,6,0,0,132,201,8,4,0,10,90,64,3,4,15,95,176,22,2,10,139,356,73,19,3,27,83,71,27,16,93,17,3,0,17,36,33,11,2,4,12,17,12,2,6,7,11,0,3,343,860,778,196,58,
"Whitecraigs and Broom North",55,161,9,4,0,8,59,7,2,1,8,93,173,15,4,4,45,121,31,12,1,58,244,62,28,0,9,48,55,33,1,19,10,6,0,2,11,11,4,4,0,4,3,9,17,0,0,6,4,3,82,457,629,193,96,
"Kirkhill South and Broom South",107,221,12,1,0,23,104,10,0,1,17,124,135,7,2,3,54,112,13,0,6,98,279,35,8,3,16,44,46,22,4,42,11,4,0,2,21,20,3,1,0,4,5,10,5,1,11,5,5,3,166,692,633,124,41,
"Mearnskirk and Maidenhill",33,99,6,0,1,28,111,8,1,1,6,58,63,4,1,5,52,127,21,1,9,131,418,72,13,2,13,26,41,32,14,58,11,2,0,0,12,16,8,0,1,6,20,6,8,0,4,8,2,3,98,541,701,157,59,
"Eaglesham and Waterfoot",112,215,13,1,0,71,195,14,4,0,14,127,129,8,2,5,92,190,21,7,5,92,363,65,17,0,20,50,54,31,15,74,14,1,1,8,32,25,6,2,0,4,11,6,3,3,7,5,3,4,235,859,810,171,62,
"Kirkhill North",60,148,8,1,0,15,165,12,0,2,5,70,85,5,1,6,41,102,20,2,6,89,288,31,5,2,10,29,35,13,2,54,10,0,0,1,18,20,2,1,0,3,4,5,2,0,3,2,2,0,99,603,559,98,25,
"Busby",154,167,3,0,0,97,181,9,2,0,11,72,38,3,0,9,92,73,10,0,7,136,185,33,10,6,23,30,17,4,18,84,11,4,0,19,48,25,3,0,0,6,6,1,0,5,4,4,2,1,324,811,381,75,14,
"Clarkston and Sheddens",144,171,6,0,0,33,150,7,0,1,18,162,115,4,1,11,103,170,12,0,15,229,401,49,14,3,35,100,82,29,5,64,17,1,0,6,31,31,2,1,1,12,15,8,2,1,5,6,3,1,242,962,865,161,50,
"Williamwood",46,94,2,0,0,7,51,2,0,0,8,79,52,2,0,6,61,100,5,1,1,133,252,36,4,2,19,46,30,9,0,40,6,0,1,0,18,13,5,0,1,1,4,1,2,3,3,8,0,0,75,499,482,80,17,
"Stamperland",97,102,3,0,0,28,109,11,1,0,19,96,40,3,0,15,125,111,9,0,6,131,205,27,3,4,32,57,30,17,8,59,5,0,0,10,29,22,3,1,0,3,4,6,0,1,4,5,1,2,183,693,461,80,26,
"Netherlee",200,221,3,0,0,27,78,3,0,0,17,186,91,2,0,14,91,104,6,3,1,165,312,33,9,6,36,73,49,15,3,21,6,1,1,3,20,25,1,0,1,2,6,3,4,0,6,4,2,1,271,824,630,99,32,
"Merrylee and Braidbar",172,231,9,0,0,24,114,5,1,0,22,181,95,10,1,5,105,129,12,1,2,173,261,38,12,3,34,62,54,17,2,21,9,4,0,5,36,29,2,0,1,4,21,11,7,3,8,8,1,0,239,908,633,137,38,
"Lower Whitecraigs and Giffnock South",76,119,4,0,0,1,36,4,0,0,19,85,109,8,4,4,58,110,14,6,2,75,224,45,15,6,17,54,39,31,2,15,7,2,0,3,10,14,4,2,0,0,10,7,4,0,0,7,5,2,113,415,542,126,63,
"Giffnock North and Thornliebank North",323,209,5,0,0,98,173,9,1,1,30,82,41,2,0,14,80,94,7,2,12,106,136,19,6,8,20,57,21,6,8,39,7,1,0,7,31,22,2,0,0,7,7,5,4,6,15,6,4,2,505,758,388,61,21,
"Thornliebank South and Woodfarm",105,126,3,0,0,139,155,12,3,1,16,76,38,2,0,8,93,94,9,1,12,138,216,31,10,6,24,42,32,20,22,65,8,2,0,26,50,18,4,0,0,9,9,9,10,3,12,12,4,3,337,744,450,97,45,
"Dunipace",109,97,4,0,0,145,191,30,1,5,16,84,38,2,0,15,87,129,22,4,13,53,141,33,19,5,19,33,26,20,39,66,11,4,0,20,26,17,4,0,4,11,5,3,6,9,10,7,4,3,370,646,417,97,55,
"Fankerton, Stoneywood and Denny Town",139,124,7,0,0,140,250,32,1,3,26,97,38,4,0,24,131,289,39,11,18,89,300,55,18,5,26,46,51,26,32,82,18,2,1,15,30,29,6,2,10,9,14,4,6,9,10,11,8,5,414,844,791,171,72,
"Denny - Nethermains",160,106,3,3,0,132,185,18,2,1,27,141,31,4,2,19,112,102,16,1,30,69,157,34,8,3,13,54,46,12,45,89,14,3,0,34,48,21,6,2,5,12,10,2,4,10,10,10,5,3,461,785,425,123,30,
"Head of Muir and Dennyloanhead",62,88,3,0,0,22,105,12,3,5,6,89,33,8,0,7,68,161,20,2,2,37,156,42,9,1,19,40,53,30,6,31,12,2,0,6,12,14,9,6,0,2,10,6,1,1,6,4,4,2,113,456,442,145,54,
"Banknock, Haggs and Longcroft",87,90,3,0,1,81,204,11,3,3,24,90,53,2,1,7,93,164,19,9,8,64,167,41,8,4,22,45,49,16,23,63,14,3,0,24,43,28,5,0,1,6,8,4,3,3,15,12,4,5,262,692,503,135,51,
"Bonnybridge",153,138,6,0,2,141,230,18,4,0,31,115,37,6,0,19,143,207,29,0,14,79,190,44,6,6,37,49,65,28,46,86,20,4,4,34,47,32,6,1,4,10,11,7,0,7,10,9,6,3,456,899,578,170,47,
"High Bonnybridge and Greenhill",64,67,4,1,0,75,150,18,0,0,9,78,27,0,0,17,78,170,18,6,8,68,228,54,21,2,18,31,36,24,19,55,18,2,1,13,24,20,8,0,2,8,17,1,0,6,10,10,5,2,213,562,533,126,56,
"Larbert - Inches",25,50,1,0,0,46,255,18,3,5,5,42,19,3,4,6,121,283,20,1,8,164,610,82,25,3,10,39,60,32,25,94,13,2,0,1,17,18,10,2,0,8,16,4,3,4,7,7,3,4,117,772,1019,191,74,
"Larbert - North Broomage",85,83,6,1,0,70,148,10,1,0,13,74,40,4,2,13,89,116,20,2,8,59,137,36,12,4,17,36,22,16,21,58,7,2,0,9,21,15,3,0,1,8,8,4,3,4,5,6,2,4,225,560,382,94,39,
"Larbert - South Broomage and Village",82,131,2,1,0,70,165,15,1,0,17,113,76,6,1,11,93,192,19,9,6,83,234,48,10,3,19,40,49,19,10,34,11,0,2,3,22,20,2,2,0,4,6,3,0,2,2,10,5,3,211,665,608,137,44,
"Stenhousemuir West",170,77,3,0,0,147,134,9,1,0,8,73,13,0,1,21,91,79,10,4,15,79,78,29,12,4,33,42,24,11,49,87,8,0,0,24,33,24,5,1,3,12,12,6,1,9,11,11,5,0,450,630,279,86,28,
"Stenhousemuir East",107,122,4,1,0,81,171,20,2,0,12,91,56,7,0,15,115,143,23,4,7,56,133,28,10,6,18,37,43,6,17,74,13,1,1,13,29,27,6,1,1,3,7,1,4,2,8,5,1,1,265,688,445,113,24,
"Stenhousemuir - Antonshill",91,151,4,0,0,33,149,17,0,0,14,129,71,3,2,7,112,190,24,0,5,56,157,23,4,0,7,47,43,12,7,39,4,0,0,1,20,14,1,0,0,7,5,4,2,1,3,6,3,2,157,675,515,101,23,
"Carron",51,81,10,0,0,53,168,11,1,0,15,99,34,0,0,13,97,129,12,4,3,30,98,26,15,1,14,25,40,9,17,33,4,0,0,0,14,15,3,0,0,5,10,5,4,0,6,2,4,1,151,551,339,91,33,
"Carronshore",64,48,2,2,0,52,138,13,4,1,6,55,17,2,2,8,77,99,16,1,6,58,121,22,1,6,16,32,31,12,20,54,8,2,0,8,20,22,3,1,0,9,5,6,3,7,17,6,4,0,184,489,321,90,25,
"Carse and Grangemouth Old Town",57,78,5,0,0,32,132,20,4,1,13,67,40,4,0,6,84,132,19,8,3,47,116,30,9,2,10,29,27,12,16,39,9,1,0,8,15,12,5,0,2,5,7,2,0,1,9,4,3,4,141,485,373,97,36,
"Falkirk - Bainsford and Langlees",169,67,2,1,0,283,216,13,3,4,22,48,10,0,0,39,112,76,8,2,34,91,81,18,1,11,32,25,17,7,68,90,13,0,0,37,43,25,3,0,4,9,8,5,0,10,22,7,3,4,673,727,265,59,18,
"Falkirk - Merchiston and New Carron Village",80,80,4,1,0,134,283,26,3,1,12,76,18,2,0,31,172,200,29,7,13,107,240,42,13,5,11,35,44,20,24,47,14,2,0,10,24,26,7,1,2,4,7,5,3,7,8,12,7,2,320,814,584,143,45,
"Falkirk - Grahamston",164,106,2,0,1,411,385,23,4,0,10,62,9,0,0,51,153,101,8,0,29,79,76,13,3,4,14,24,12,6,35,49,5,1,0,22,17,17,1,1,2,6,11,0,0,17,12,12,5,2,744,883,276,42,12,
"Falkirk - Westfield",71,44,1,0,0,91,100,13,0,0,12,41,4,0,1,19,61,44,6,0,16,67,65,16,2,14,19,21,11,4,38,50,2,2,0,22,34,12,1,0,5,11,10,4,1,4,11,9,0,1,293,436,184,38,9,
"Falkirk - Middlefield",104,53,1,0,0,126,218,14,0,0,17,53,5,0,1,24,112,105,6,0,11,55,78,17,3,2,17,26,10,8,22,31,4,0,1,18,26,16,2,0,2,8,3,1,0,2,7,7,2,0,329,578,258,41,10,
"Falkirk - Town Centre and Callendar Park",472,229,2,0,0,284,296,10,1,3,55,156,24,2,0,55,131,94,10,1,6,51,73,19,5,1,11,18,11,1,12,26,7,0,0,12,36,7,2,0,0,0,2,0,0,6,14,3,3,0,905,951,237,56,10,
"Falkirk - Bantaskin",125,131,6,1,0,78,165,25,0,2,26,95,41,2,0,24,114,144,21,3,13,99,124,28,6,2,21,37,26,20,18,55,11,3,0,5,33,24,7,0,3,7,7,4,0,6,8,9,5,3,306,729,428,95,34,
"Falkirk - Camelon East",155,75,3,1,0,344,254,15,4,0,12,52,6,0,0,39,109,73,5,4,24,53,47,6,2,5,16,11,13,9,43,52,6,0,0,24,33,15,1,1,4,6,7,1,1,13,17,10,2,1,669,669,195,37,14,
"Falkirk - Camelon West",98,48,2,0,0,120,136,10,2,0,19,38,7,1,0,31,105,64,10,1,17,76,78,16,5,6,18,36,12,6,56,49,8,0,1,20,37,19,3,0,4,9,10,5,0,6,11,8,0,1,379,527,242,50,13,
"Falkirk - Tamfourhill",169,101,4,0,0,147,190,6,4,1,20,76,19,0,0,24,71,90,4,1,7,50,84,15,5,4,22,42,22,4,25,33,8,0,0,18,29,17,3,0,4,3,2,2,1,9,11,11,2,1,428,584,279,53,15,
"Falkirk - Lochgreen and Lionthorn",48,96,5,0,1,24,109,9,5,1,8,97,75,5,3,10,121,195,25,9,4,71,252,55,15,3,15,39,66,18,2,27,12,1,0,2,13,10,4,2,0,3,7,4,2,5,9,6,0,3,105,556,610,166,53,
"Hallglen and Glen Village",84,80,2,0,0,135,176,7,0,0,19,71,12,0,0,34,74,99,13,1,21,74,90,22,5,5,22,36,25,9,54,101,9,2,0,29,26,18,4,1,6,7,6,4,2,9,14,5,7,1,396,647,284,75,17,
"Shieldhill",65,46,4,1,0,33,105,13,0,1,12,70,19,0,0,4,61,147,16,7,5,39,109,20,5,0,7,29,35,15,9,38,7,1,4,6,20,19,4,0,5,3,9,3,0,3,0,6,2,2,143,387,362,81,34,
"Braes Villages",110,146,10,4,1,89,189,24,4,6,12,91,39,7,0,16,123,210,37,9,18,86,186,63,23,6,24,53,50,30,29,94,15,5,0,21,42,29,8,2,2,9,18,7,4,5,16,19,7,6,309,816,601,195,77,
"Reddingmuirhead and Overton",33,63,3,0,0,29,164,18,1,1,4,55,42,4,1,10,113,256,26,2,3,102,504,72,10,2,8,43,42,19,4,61,8,0,0,5,12,15,7,0,1,4,15,4,4,1,2,7,2,1,90,584,902,161,39,
"Brightons and Wallacestone",90,122,3,0,0,38,177,14,1,2,14,114,63,11,2,8,112,177,24,4,5,109,235,32,7,5,19,46,42,20,10,55,9,1,0,7,28,32,5,0,1,4,13,4,1,0,3,6,8,0,180,742,602,131,35,
"Maddiston and Rumford",83,131,10,0,0,54,185,26,0,0,16,107,62,0,0,10,112,218,19,6,6,123,339,65,7,6,16,46,53,22,39,91,15,2,0,19,28,32,4,2,3,9,11,1,4,4,13,10,5,4,239,815,773,154,46,
"Polmont",104,203,8,0,1,55,278,28,3,0,20,176,95,5,1,14,155,235,22,8,1,48,167,32,3,1,15,45,53,16,3,38,8,0,0,5,20,19,5,0,1,10,4,4,1,0,8,17,9,0,200,947,625,125,26,
"Redding",113,99,5,0,0,73,102,9,3,2,14,93,38,3,0,12,107,97,17,3,12,68,122,27,8,5,20,36,30,9,13,43,11,2,0,16,31,21,4,0,0,6,8,4,3,3,4,8,3,4,257,573,361,89,29,
"Laurieston and Westquarter",123,106,4,1,0,136,211,16,1,1,22,101,30,1,0,21,101,94,14,2,10,73,99,23,4,11,26,46,25,7,20,57,7,0,0,9,29,20,6,0,3,10,7,5,0,12,5,9,1,0,366,716,341,78,16,
"Grangemouth - Newlands",234,133,1,2,2,241,323,21,4,3,22,109,35,3,0,38,189,145,20,7,15,105,152,23,16,11,31,52,30,11,48,94,23,2,0,37,51,42,7,1,3,3,4,1,0,6,19,6,0,2,657,1063,480,98,46,
"Grangemouth - Town Centre",214,131,3,0,0,206,339,28,6,2,33,117,22,1,0,25,151,158,21,4,11,65,106,24,10,4,18,33,30,8,22,46,6,2,0,12,25,17,1,1,4,7,3,2,1,6,4,6,3,3,536,905,383,92,31,
"Grangemouth - Kersiebank",165,136,4,0,0,224,275,15,0,3,24,101,29,4,3,32,146,135,10,0,22,102,131,31,5,8,35,50,37,12,63,82,8,0,0,23,39,22,2,4,2,7,11,1,0,13,19,10,4,3,577,942,415,92,27,
"Grangemouth - Bowhouse",191,116,4,0,0,279,233,15,1,4,27,101,13,2,0,23,99,94,12,1,20,92,104,19,4,7,29,33,31,6,61,82,10,2,0,21,43,25,0,0,4,5,4,4,0,7,7,8,2,2,636,807,307,73,15,
"Bo'ness - Kinneil",147,120,4,0,0,86,184,26,2,1,23,164,60,8,1,13,138,173,17,5,8,90,198,33,8,7,26,57,53,29,25,78,19,1,1,16,26,29,5,2,1,5,10,4,2,0,7,8,8,4,323,837,581,134,53,
"Bo'ness - Newtown",119,91,3,0,0,74,182,11,3,0,13,104,40,1,0,14,97,132,20,5,9,70,206,35,16,6,16,35,43,6,29,50,10,1,0,17,20,19,2,0,1,6,5,3,3,1,8,5,2,2,283,641,462,111,30,
"Bo'ness - town centre",126,98,7,1,0,162,289,22,3,0,22,76,21,6,2,25,104,101,10,5,16,55,104,24,0,3,10,22,17,4,31,64,1,3,0,20,28,22,3,0,4,7,3,4,4,6,6,7,5,4,414,733,318,77,16,
"Blackness, Bo'ness - Carriden and Grahamsdyke",158,157,2,0,0,118,327,33,5,1,23,121,56,12,3,18,143,217,29,12,15,81,247,34,21,2,24,52,37,13,45,78,14,0,0,13,37,21,7,0,2,5,6,3,3,5,15,16,4,0,398,985,658,131,59,
"Kincardine",108,115,5,0,0,88,192,18,6,2,17,129,44,3,1,12,103,157,31,12,3,52,115,25,14,2,12,37,27,6,20,50,5,2,2,14,23,15,4,4,2,6,6,2,0,9,11,10,3,1,276,696,411,95,43,
"Comrie and Oakley",86,65,9,2,0,105,130,15,4,2,13,64,18,4,1,12,96,114,14,3,13,79,97,28,8,5,27,25,27,9,40,62,10,0,0,13,33,14,3,1,4,7,11,6,3,1,10,11,6,4,295,583,324,94,32,
"Blairhall Saline and Carnock",73,146,14,3,2,54,160,20,5,1,16,116,78,13,4,9,87,241,40,6,6,73,211,48,16,3,24,41,42,23,26,76,13,4,0,13,23,23,7,4,4,6,11,5,1,1,8,21,3,4,199,716,667,173,51,
"Valleyfield Culross and Torryburn",121,98,5,1,0,125,209,29,3,5,18,90,50,6,3,20,108,173,34,10,7,83,161,24,10,5,29,34,21,12,42,64,9,4,0,20,32,17,5,1,3,7,10,5,9,7,13,5,4,2,361,739,498,104,50,
"Cairneyhill and Crombie",56,124,6,0,0,24,154,16,3,1,8,92,44,6,2,6,91,117,12,6,9,51,142,33,11,4,15,37,45,16,12,42,13,2,0,4,21,26,2,0,0,4,5,9,1,2,3,5,1,6,121,602,415,120,45,
"Crossford Charlestown and Limekilns",112,209,17,0,1,23,149,28,2,3,16,187,138,11,4,17,99,203,36,6,3,68,185,42,17,1,10,40,36,16,7,32,10,5,1,4,30,24,3,0,0,2,7,4,3,4,9,10,6,5,189,797,662,145,56,
"Dunfermline Milesmark and Wellwood",85,106,9,1,1,65,180,21,6,1,15,124,58,5,1,24,161,208,21,5,9,88,235,28,7,2,25,60,42,11,11,50,16,2,1,11,23,17,5,1,3,10,7,9,4,4,7,5,2,4,225,773,640,121,37,
"Dunfermline Baldridgeburn",234,134,3,2,0,361,378,28,2,3,18,54,13,0,2,45,139,101,8,4,30,79,76,22,0,4,25,20,12,0,63,57,10,2,0,20,33,21,1,1,4,8,5,1,0,22,22,12,2,1,798,926,289,53,10,
"Dunfermline Headwell",154,118,8,0,0,329,357,18,2,1,24,116,30,0,0,43,152,152,11,3,20,120,126,19,2,10,20,50,38,13,49,72,3,3,0,31,42,33,5,0,7,10,7,4,1,20,16,7,9,4,688,1022,431,90,22,
"Dunfermline Central",117,113,6,2,0,298,323,22,5,1,14,73,35,0,1,47,176,116,20,3,15,58,85,15,4,0,17,27,13,7,15,31,2,0,0,10,16,11,4,0,5,10,1,4,4,10,25,11,4,1,531,842,316,61,23,
"Dunfermline Brucefield",117,67,4,0,0,161,192,17,4,0,12,73,28,0,0,19,116,80,7,2,32,97,76,20,8,10,32,36,17,3,32,49,5,2,1,27,36,9,5,0,2,15,16,2,4,19,18,6,2,1,427,692,281,60,21,
"Dunfermline Garvock Hill",86,115,6,0,0,23,93,12,0,2,12,113,68,5,2,10,107,138,19,3,0,64,153,26,7,1,21,45,51,7,5,22,11,0,0,7,16,13,4,1,1,3,4,0,0,0,14,3,5,3,147,569,444,110,24,
"Townhill and Kingseat",87,103,7,3,0,51,125,18,6,0,11,112,36,8,0,8,79,127,21,4,4,39,101,22,10,4,13,26,20,9,14,44,7,1,1,6,21,15,4,0,0,3,8,6,3,1,4,8,6,3,189,541,349,101,29,
"Dunfermline Bellyeoman",134,129,3,0,1,46,130,11,5,0,10,159,50,2,1,7,99,146,18,0,6,74,119,19,9,0,17,28,25,13,14,48,10,2,0,8,14,18,4,0,0,0,6,2,1,1,7,8,2,2,231,682,394,79,27,
"Dunfermline Duloch North",8,23,0,0,0,48,182,14,0,0,5,20,12,0,0,10,83,134,9,0,8,126,267,33,8,1,15,22,16,4,22,58,6,0,0,3,19,16,3,0,0,6,17,2,2,0,8,6,2,0,107,542,497,63,13,
