SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,"One person household: Aged under 66",,,,"One family household: All aged 66 and over",,,,"One family household: Couple family: No children",,,,"One family household: Couple family: With dependent children",,,,"One family household: Couple family: All children non-dependent",,,,"One family household: Lone parent: With dependent children",,,,"One family household: Lone parent: All children non-dependent",,,,"Other household types: With dependent children",,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,"Total",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Intermediate Zone (2022)",
"Skye North West",287,0,0,0,268,0,0,0,0,208,0,0,0,419,0,0,0,232,0,0,0,105,0,0,0,0,45,0,0,0,29,0,0,0,0,18,0,0,0,58,555,960,75,73,
"Ross and Cromarty South West",312,0,0,0,321,0,0,0,0,236,0,0,0,331,0,0,0,145,0,0,0,75,0,0,0,0,29,0,0,0,38,0,0,0,0,25,0,0,0,41,633,792,71,66,
"Ross and Cromarty North West",278,0,0,0,320,0,0,0,0,188,0,0,0,310,0,0,0,222,0,0,0,86,0,0,0,0,54,0,0,0,46,0,0,0,0,16,0,0,0,40,599,806,100,56,
"Ross and Cromarty Central",232,0,0,0,219,0,0,0,0,188,0,0,0,363,0,0,0,240,0,0,0,120,0,0,0,0,68,0,0,0,62,0,0,0,0,33,0,0,0,24,451,911,130,54,
"Ross and Cromarty East",199,0,0,0,190,0,0,0,0,204,0,0,0,290,0,0,0,221,0,0,0,94,0,0,0,0,49,0,0,0,45,0,0,0,0,26,0,0,0,41,388,805,94,64,
"Muir of Ord",223,0,0,0,301,0,0,0,0,163,0,0,0,320,0,0,0,286,0,0,0,111,0,0,0,0,103,0,0,0,76,0,0,0,0,12,0,0,0,37,524,877,179,49,
"Conon",285,0,0,0,280,0,0,0,0,189,0,0,0,347,0,0,0,326,0,0,0,109,0,0,0,0,115,0,0,0,73,0,0,0,0,18,0,0,0,32,561,972,188,46,
"Dingwall",405,0,0,0,658,0,0,0,0,225,0,0,0,397,0,0,0,360,0,0,0,156,0,0,0,0,143,0,0,0,102,0,0,0,0,40,0,0,0,51,1063,1139,251,87,
"Black Isle South",189,0,0,0,201,0,0,0,0,157,0,0,0,277,0,0,0,246,0,0,0,89,0,0,0,0,70,0,0,0,49,0,0,0,0,12,0,0,0,29,392,769,119,41,
"Black Isle Fortrose and Avoch",330,0,0,0,264,0,0,0,0,263,0,0,0,332,0,0,0,325,0,0,0,112,0,0,0,0,99,0,0,0,73,0,0,0,0,17,0,0,0,34,594,1031,172,55,
"Black Isle North",230,0,0,0,214,0,0,0,0,241,0,0,0,355,0,0,0,276,0,0,0,147,0,0,0,0,65,0,0,0,56,0,0,0,0,13,0,0,0,42,445,1016,121,56,
"Alness",421,0,0,0,630,0,0,0,0,233,0,0,0,421,0,0,0,450,0,0,0,133,0,0,0,0,265,0,0,0,129,0,0,0,0,52,0,0,0,55,1051,1237,394,110,
"Invergordon",290,0,0,0,497,0,0,0,0,160,0,0,0,351,0,0,0,314,0,0,0,118,0,0,0,0,177,0,0,0,83,0,0,0,0,25,0,0,0,41,787,944,260,66,
"Seaboard",315,0,0,0,396,0,0,0,0,270,0,0,0,437,0,0,0,299,0,0,0,98,0,0,0,0,119,0,0,0,54,0,0,0,0,20,0,0,0,48,711,1106,177,68,
"Tain",286,0,0,0,406,0,0,0,0,177,0,0,0,271,0,0,0,274,0,0,0,80,0,0,0,0,143,0,0,0,55,0,0,0,0,20,0,0,0,32,688,802,198,53,
"Sutherland South",589,0,0,0,524,0,0,0,0,401,0,0,0,649,0,0,0,354,0,0,0,146,0,0,0,0,96,0,0,0,117,0,0,0,0,38,0,0,0,81,1113,1550,213,113,
"Sutherland East",461,0,0,0,432,0,0,0,0,261,0,0,0,394,0,0,0,232,0,0,0,99,0,0,0,0,91,0,0,0,65,0,0,0,0,16,0,0,0,43,890,986,156,59,
"Caithness South",237,0,0,0,247,0,0,0,0,199,0,0,0,321,0,0,0,227,0,0,0,102,0,0,0,0,43,0,0,0,39,0,0,0,0,14,0,0,0,32,484,847,82,46,
"Wick South",278,0,0,0,526,0,0,0,0,120,0,0,0,252,0,0,0,245,0,0,0,83,0,0,0,0,129,0,0,0,70,0,0,0,0,12,0,0,0,25,804,700,199,37,
"Wick North",245,0,0,0,362,0,0,0,0,123,0,0,0,259,0,0,0,218,0,0,0,87,0,0,0,0,99,0,0,0,50,0,0,0,0,13,0,0,0,24,607,690,149,37,
"Caithness North East",295,0,0,0,298,0,0,0,0,233,0,0,0,349,0,0,0,269,0,0,0,122,0,0,0,0,59,0,0,0,45,0,0,0,0,23,0,0,0,36,593,973,104,55,
"Caithness North West",324,0,0,0,467,0,0,0,0,282,0,0,0,496,0,0,0,399,0,0,0,151,0,0,0,0,77,0,0,0,62,0,0,0,0,15,0,0,0,36,791,1327,139,51,
"Thurso East",376,0,0,0,715,0,0,0,0,199,0,0,0,355,0,0,0,229,0,0,0,90,0,0,0,0,159,0,0,0,85,0,0,0,0,18,0,0,0,20,1092,868,241,42,
"Thurso West",214,0,0,0,299,0,0,0,0,123,0,0,0,247,0,0,0,219,0,0,0,78,0,0,0,0,82,0,0,0,43,0,0,0,0,11,0,0,0,18,513,667,125,29,
"Sutherland North and West",317,0,0,0,389,0,0,0,0,184,0,0,0,368,0,0,0,178,0,0,0,88,0,0,0,0,48,0,0,0,43,0,0,0,0,16,0,0,0,40,706,817,91,55,
"Kilmacolm Central",344,0,0,0,209,0,0,0,0,207,0,0,0,238,0,0,0,259,0,0,0,93,0,0,0,0,45,0,0,0,47,0,0,0,0,6,0,0,0,20,553,794,92,26,
"Kilmacolm, Quarriers, Greenock Upper East/Central",107,0,0,0,142,0,0,0,0,147,0,0,0,233,0,0,0,205,0,0,0,58,0,0,0,0,24,0,0,0,32,0,0,0,0,15,0,0,0,17,249,643,53,34,
"Inverkip and Wemyss Bay",260,0,0,0,289,0,0,0,0,294,0,0,0,555,0,0,0,574,0,0,0,279,0,0,0,0,71,0,0,0,79,0,0,0,0,48,0,0,0,33,549,1702,150,81,
"West Braeside and West Gourock",195,0,0,0,115,0,0,0,0,210,0,0,0,234,0,0,0,156,0,0,0,99,0,0,0,0,19,0,0,0,24,0,0,0,0,9,0,0,0,14,311,701,41,23,
"Gourock Upper and West Central",378,0,0,0,429,0,0,0,0,191,0,0,0,367,0,0,0,318,0,0,0,136,0,0,0,0,101,0,0,0,88,0,0,0,0,25,0,0,0,25,807,1010,189,49,
"Gourock Central and Upper East",426,0,0,0,554,0,0,0,0,156,0,0,0,318,0,0,0,205,0,0,0,124,0,0,0,0,86,0,0,0,104,0,0,0,0,18,0,0,0,31,979,803,190,49,
"Braeside, Branchton, Ravenscraig",197,0,0,0,222,0,0,0,0,108,0,0,0,235,0,0,0,235,0,0,0,137,0,0,0,0,142,0,0,0,102,0,0,0,0,29,0,0,0,34,419,718,244,63,
"Larkfield",185,0,0,0,287,0,0,0,0,81,0,0,0,190,0,0,0,262,0,0,0,133,0,0,0,0,239,0,0,0,160,0,0,0,0,45,0,0,0,25,472,667,395,70,
"Bow Farm, Fancy Farm and Mallard Bowl",331,0,0,0,545,0,0,0,0,122,0,0,0,308,0,0,0,311,0,0,0,188,0,0,0,0,279,0,0,0,181,0,0,0,0,49,0,0,0,48,876,933,461,97,
"Gourock East, Greenock West and Lyle Road",439,0,0,0,267,0,0,0,0,351,0,0,0,386,0,0,0,339,0,0,0,192,0,0,0,0,43,0,0,0,65,0,0,0,0,20,0,0,0,35,706,1275,109,55,
"Greenock West and Central",602,0,0,0,881,0,0,0,0,197,0,0,0,397,0,0,0,294,0,0,0,143,0,0,0,0,173,0,0,0,161,0,0,0,0,24,0,0,0,53,1486,1028,334,77,
"Gateside, Pennyfern, Cowdenknowes, Overton and upper Drumfrochar",270,0,0,0,316,0,0,0,0,147,0,0,0,300,0,0,0,287,0,0,0,199,0,0,0,0,83,0,0,0,112,0,0,0,0,23,0,0,0,26,585,930,191,49,
"Greenock Upper Central",480,0,0,0,967,0,0,0,0,119,0,0,0,216,0,0,0,182,0,0,0,101,0,0,0,0,159,0,0,0,127,0,0,0,0,17,0,0,0,30,1447,618,286,46,
"Greenock Town Centre and East Central",591,0,0,0,1072,0,0,0,0,134,0,0,0,296,0,0,0,241,0,0,0,116,0,0,0,0,199,0,0,0,148,0,0,0,0,34,0,0,0,47,1663,784,347,80,
"Greenock Upper East",161,0,0,0,290,0,0,0,0,83,0,0,0,192,0,0,0,241,0,0,0,114,0,0,0,0,170,0,0,0,126,0,0,0,0,38,0,0,0,33,451,630,296,71,
"Greenock Lower East",220,0,0,0,496,0,0,0,0,76,0,0,0,265,0,0,0,264,0,0,0,114,0,0,0,0,202,0,0,0,105,0,0,0,0,29,0,0,0,25,716,719,307,54,
"Port Glasgow Upper, West and Central",458,0,0,0,630,0,0,0,0,207,0,0,0,361,0,0,0,361,0,0,0,193,0,0,0,0,165,0,0,0,122,0,0,0,0,38,0,0,0,63,1083,1119,284,99,
"Port Glasgow Mid, East and Central",316,0,0,0,388,0,0,0,0,125,0,0,0,246,0,0,0,242,0,0,0,140,0,0,0,0,179,0,0,0,149,0,0,0,0,39,0,0,0,40,707,756,328,81,
"Port Glasgow Upper East",355,0,0,0,370,0,0,0,0,168,0,0,0,237,0,0,0,323,0,0,0,191,0,0,0,0,190,0,0,0,155,0,0,0,0,54,0,0,0,57,725,915,348,111,
"Rural South Midlothian",152,0,0,0,245,0,0,0,0,138,0,0,0,364,0,0,0,420,0,0,0,112,0,0,0,0,64,0,0,0,48,0,0,0,0,30,0,0,0,43,397,1035,112,81,
"Penicuik Southeast",339,0,0,0,390,0,0,0,0,232,0,0,0,308,0,0,0,253,0,0,0,99,0,0,0,0,82,0,0,0,78,0,0,0,0,21,0,0,0,47,729,892,160,68,
"Penicuik Southwest",237,0,0,0,202,0,0,0,0,243,0,0,0,250,0,0,0,285,0,0,0,141,0,0,0,0,81,0,0,0,87,0,0,0,0,21,0,0,0,40,438,922,168,57,
"Penicuik East",173,0,0,0,175,0,0,0,0,113,0,0,0,179,0,0,0,194,0,0,0,100,0,0,0,0,86,0,0,0,72,0,0,0,0,15,0,0,0,18,352,586,158,37,
"Penicuik North",200,0,0,0,157,0,0,0,0,173,0,0,0,275,0,0,0,261,0,0,0,138,0,0,0,0,76,0,0,0,71,0,0,0,0,24,0,0,0,26,357,847,147,50,
"Pentland",105,0,0,0,248,0,0,0,0,140,0,0,0,412,0,0,0,580,0,0,0,106,0,0,0,0,76,0,0,0,45,0,0,0,0,27,0,0,0,39,357,1241,121,65,
"Roslin and Bilston",216,0,0,0,262,0,0,0,0,160,0,0,0,280,0,0,0,313,0,0,0,97,0,0,0,0,64,0,0,0,65,0,0,0,0,29,0,0,0,37,478,851,129,67,
"Straiton",219,0,0,0,223,0,0,0,0,123,0,0,0,239,0,0,0,170,0,0,0,78,0,0,0,0,52,0,0,0,61,0,0,0,0,20,0,0,0,27,444,611,113,47,
"Loanhead",302,0,0,0,298,0,0,0,0,211,0,0,0,268,0,0,0,267,0,0,0,129,0,0,0,0,89,0,0,0,97,0,0,0,0,23,0,0,0,48,604,875,186,71,
"Poltonhall",252,0,0,0,281,0,0,0,0,197,0,0,0,370,0,0,0,327,0,0,0,168,0,0,0,0,136,0,0,0,141,0,0,0,0,29,0,0,0,50,533,1062,280,79,
"Bonnyrigg North",444,0,0,0,410,0,0,0,0,310,0,0,0,419,0,0,0,421,0,0,0,191,0,0,0,0,108,0,0,0,120,0,0,0,0,27,0,0,0,57,854,1344,231,84,
"Hopefield",103,0,0,0,229,0,0,0,0,96,0,0,0,327,0,0,0,657,0,0,0,121,0,0,0,0,89,0,0,0,54,0,0,0,0,41,0,0,0,37,332,1200,143,77,
"Dalhousie",130,0,0,0,121,0,0,0,0,131,0,0,0,336,0,0,0,516,0,0,0,180,0,0,0,0,67,0,0,0,41,0,0,0,0,27,0,0,0,30,251,1163,108,57,
"Eskbank and Newbattle",327,0,0,0,230,0,0,0,0,369,0,0,0,445,0,0,0,462,0,0,0,163,0,0,0,0,54,0,0,0,52,0,0,0,0,28,0,0,0,53,557,1435,106,81,
"Danderhall, Shawfair and Midlothian North",241,0,0,0,305,0,0,0,0,162,0,0,0,502,0,0,0,568,0,0,0,166,0,0,0,0,127,0,0,0,97,0,0,0,0,36,0,0,0,55,546,1398,224,91,
"Woodburn",214,0,0,0,379,0,0,0,0,160,0,0,0,366,0,0,0,484,0,0,0,145,0,0,0,0,161,0,0,0,109,0,0,0,0,43,0,0,0,63,593,1155,267,106,
"Dalkeith",242,0,0,0,398,0,0,0,0,95,0,0,0,192,0,0,0,185,0,0,0,72,0,0,0,0,108,0,0,0,90,0,0,0,0,17,0,0,0,61,643,545,199,78,
"Rural North East Midlothian",181,0,0,0,242,0,0,0,0,146,0,0,0,358,0,0,0,451,0,0,0,121,0,0,0,0,98,0,0,0,62,0,0,0,0,44,0,0,0,47,423,1075,163,87,
"Pathhead and Rural South East Midlothian",117,0,0,0,161,0,0,0,0,129,0,0,0,353,0,0,0,422,0,0,0,93,0,0,0,0,60,0,0,0,27,0,0,0,0,29,0,0,0,36,278,989,88,62,
"Easthouses",167,0,0,0,181,0,0,0,0,86,0,0,0,200,0,0,0,271,0,0,0,100,0,0,0,0,91,0,0,0,87,0,0,0,0,35,0,0,0,43,356,655,175,78,
"Mayfield",271,0,0,0,382,0,0,0,0,138,0,0,0,266,0,0,0,343,0,0,0,173,0,0,0,0,197,0,0,0,114,0,0,0,0,42,0,0,0,56,656,920,311,95,
"Newtongrange",310,0,0,0,358,0,0,0,0,152,0,0,0,365,0,0,0,261,0,0,0,125,0,0,0,0,120,0,0,0,115,0,0,0,0,45,0,0,0,49,668,905,238,90,
"North Gorebridge",178,0,0,0,325,0,0,0,0,78,0,0,0,260,0,0,0,314,0,0,0,102,0,0,0,0,143,0,0,0,68,0,0,0,0,38,0,0,0,32,503,751,211,73,
"Gorebridge and Birkenside",152,0,0,0,290,0,0,0,0,106,0,0,0,242,0,0,0,290,0,0,0,128,0,0,0,0,120,0,0,0,69,0,0,0,0,34,0,0,0,53,442,772,189,87,
"Aberlour, South Speyside and the Cabrach",369,0,0,0,391,0,0,0,0,263,0,0,0,466,0,0,0,302,0,0,0,133,0,0,0,0,80,0,0,0,67,0,0,0,0,20,0,0,0,42,758,1164,147,69,
"Rothes and North Speyside",217,0,0,0,253,0,0,0,0,163,0,0,0,286,0,0,0,220,0,0,0,76,0,0,0,0,53,0,0,0,40,0,0,0,0,12,0,0,0,20,474,741,97,28,
"Rural Keith and Strathisla",183,0,0,0,189,0,0,0,0,136,0,0,0,330,0,0,0,218,0,0,0,101,0,0,0,0,39,0,0,0,37,0,0,0,0,19,0,0,0,25,376,785,73,50,
"Keith and Fife Keith",465,0,0,0,544,0,0,0,0,224,0,0,0,372,0,0,0,303,0,0,0,129,0,0,0,0,118,0,0,0,83,0,0,0,0,17,0,0,0,35,1009,1028,201,52,
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",350,0,0,0,297,0,0,0,0,288,0,0,0,482,0,0,0,251,0,0,0,163,0,0,0,0,86,0,0,0,73,0,0,0,0,10,0,0,0,44,647,1181,159,54,
"Buckie Central East",303,0,0,0,349,0,0,0,0,168,0,0,0,307,0,0,0,290,0,0,0,92,0,0,0,0,110,0,0,0,71,0,0,0,0,18,0,0,0,26,652,857,181,44,
"Buckie West, Buckpool and Mains of Buckie",367,0,0,0,559,0,0,0,0,233,0,0,0,444,0,0,0,500,0,0,0,115,0,0,0,0,109,0,0,0,74,0,0,0,0,33,0,0,0,41,922,1292,183,74,
"Mosstodloch, Portgordon, Urquhart and seaward",278,0,0,0,295,0,0,0,0,296,0,0,0,482,0,0,0,305,0,0,0,125,0,0,0,0,99,0,0,0,75,0,0,0,0,19,0,0,0,28,573,1205,174,48,
"Fochabers, Aultmore, Clochan and Ordiquish",219,0,0,0,186,0,0,0,0,158,0,0,0,208,0,0,0,186,0,0,0,63,0,0,0,0,72,0,0,0,36,0,0,0,0,17,0,0,0,13,402,615,108,33,
"Heldon West, Miltonduff and Fogwatt to Inchberry",105,0,0,0,117,0,0,0,0,141,0,0,0,336,0,0,0,194,0,0,0,72,0,0,0,0,20,0,0,0,27,0,0,0,0,8,0,0,0,24,225,743,48,32,
"Lhanbryde, Troves, Pitgavney and seaward",174,0,0,0,244,0,0,0,0,130,0,0,0,235,0,0,0,171,0,0,0,52,0,0,0,0,67,0,0,0,40,0,0,0,0,6,0,0,0,16,418,591,107,22,
"Elgin Central East, Kingsmills, Ashgrove and Pinefield",299,0,0,0,633,0,0,0,0,144,0,0,0,332,0,0,0,284,0,0,0,71,0,0,0,0,182,0,0,0,80,0,0,0,0,25,0,0,0,45,932,831,262,70,
"New Elgin East and The Wards",246,0,0,0,590,0,0,0,0,155,0,0,0,420,0,0,0,483,0,0,0,123,0,0,0,0,181,0,0,0,88,0,0,0,0,32,0,0,0,43,836,1181,269,75,
"New Elgin West",265,0,0,0,388,0,0,0,0,210,0,0,0,368,0,0,0,425,0,0,0,128,0,0,0,0,106,0,0,0,78,0,0,0,0,27,0,0,0,29,653,1129,184,56,
"Elgin Central West",310,0,0,0,269,0,0,0,0,223,0,0,0,277,0,0,0,236,0,0,0,82,0,0,0,0,34,0,0,0,32,0,0,0,0,12,0,0,0,42,577,819,66,54,
"Elgin Bishopmill East, Ladyhill and High Street",284,0,0,0,512,0,0,0,0,116,0,0,0,309,0,0,0,286,0,0,0,87,0,0,0,0,83,0,0,0,84,0,0,0,0,10,0,0,0,48,800,798,167,56,
"Elgin Bishopmill West and Newfield",198,0,0,0,285,0,0,0,0,125,0,0,0,345,0,0,0,501,0,0,0,90,0,0,0,0,86,0,0,0,33,0,0,0,0,17,0,0,0,29,483,1064,119,45,
"Lossiemouth East and Seatown",296,0,0,0,328,0,0,0,0,173,0,0,0,352,0,0,0,211,0,0,0,86,0,0,0,0,57,0,0,0,76,0,0,0,0,29,0,0,0,22,624,823,133,51,
"Lossiemouth West",153,0,0,0,320,0,0,0,0,96,0,0,0,287,0,0,0,333,0,0,0,79,0,0,0,0,107,0,0,0,63,0,0,0,0,20,0,0,0,25,473,796,170,45,
"Burghead, Roseisle and Laich",319,0,0,0,353,0,0,0,0,271,0,0,0,466,0,0,0,350,0,0,0,166,0,0,0,0,76,0,0,0,54,0,0,0,0,22,0,0,0,39,672,1254,127,56,
"Kinloss, Alves and Pluscarden Valley",80,0,0,0,199,0,0,0,0,90,0,0,0,222,0,0,0,269,0,0,0,54,0,0,0,0,71,0,0,0,32,0,0,0,0,19,0,0,0,22,279,632,103,41,
"Forres Central East",577,0,0,0,509,0,0,0,0,261,0,0,0,304,0,0,0,222,0,0,0,99,0,0,0,0,70,0,0,0,64,0,0,0,0,14,0,0,0,38,1086,882,134,52,
"Forres South West, Pilmuir and Mannachie",417,0,0,0,504,0,0,0,0,246,0,0,0,566,0,0,0,509,0,0,0,171,0,0,0,0,189,0,0,0,111,0,0,0,0,29,0,0,0,56,921,1492,300,89,
"Findhorn, Rafford, Dallas, Dyke to Dava",276,0,0,0,270,0,0,0,0,218,0,0,0,446,0,0,0,241,0,0,0,103,0,0,0,0,34,0,0,0,36,0,0,0,0,32,0,0,0,57,546,1008,68,89,
"Barra and South Uist",284,0,0,0,338,0,0,0,0,131,0,0,0,234,0,0,0,225,0,0,0,78,0,0,0,0,80,0,0,0,61,0,0,0,0,18,0,0,0,34,621,666,141,53,
"Benbecula and North Uist",239,0,0,0,341,0,0,0,0,125,0,0,0,218,0,0,0,201,0,0,0,92,0,0,0,0,39,0,0,0,60,0,0,0,0,22,0,0,0,47,581,635,101,69,
"South Lewis",480,0,0,0,444,0,0,0,0,215,0,0,0,395,0,0,0,284,0,0,0,118,0,0,0,0,40,0,0,0,107,0,0,0,0,17,0,0,0,48,924,1015,147,68,
"Northwest Lewis",366,0,0,0,362,0,0,0,0,199,0,0,0,329,0,0,0,249,0,0,0,135,0,0,0,0,50,0,0,0,94,0,0,0,0,20,0,0,0,56,724,913,142,76,
"Broadbay",238,0,0,0,251,0,0,0,0,135,0,0,0,252,0,0,0,328,0,0,0,127,0,0,0,0,77,0,0,0,73,0,0,0,0,16,0,0,0,39,489,846,150,53,
"Stornoway West",337,0,0,0,516,0,0,0,0,97,0,0,0,209,0,0,0,188,0,0,0,69,0,0,0,0,64,0,0,0,81,0,0,0,0,16,0,0,0,23,853,561,145,39,
"Stornoway East",260,0,0,0,364,0,0,0,0,129,0,0,0,197,0,0,0,187,0,0,0,79,0,0,0,0,61,0,0,0,67,0,0,0,0,14,0,0,0,24,620,588,125,36,
"Point to Sandwick",192,0,0,0,275,0,0,0,0,140,0,0,0,231,0,0,0,220,0,0,0,101,0,0,0,0,73,0,0,0,57,0,0,0,0,19,0,0,0,16,465,692,130,34,
"Arran",487,0,0,0,376,0,0,0,0,341,0,0,0,427,0,0,0,274,0,0,0,125,0,0,0,0,53,0,0,0,74,0,0,0,0,36,0,0,0,67,863,1168,129,103,
"Springside and Rural",167,0,0,0,221,0,0,0,0,134,0,0,0,198,0,0,0,131,0,0,0,93,0,0,0,0,70,0,0,0,56,0,0,0,0,23,0,0,0,33,388,560,118,56,
"Irvine Tarryholme",226,0,0,0,238,0,0,0,0,153,0,0,0,270,0,0,0,221,0,0,0,124,0,0,0,0,72,0,0,0,46,0,0,0,0,19,0,0,0,27,464,772,118,47,
"Dreghorn",280,0,0,0,303,0,0,0,0,187,0,0,0,249,0,0,0,239,0,0,0,105,0,0,0,0,116,0,0,0,64,0,0,0,0,20,0,0,0,21,586,783,180,41,
"Irvine Broomlands",142,0,0,0,243,0,0,0,0,77,0,0,0,174,0,0,0,179,0,0,0,80,0,0,0,0,136,0,0,0,94,0,0,0,0,24,0,0,0,27,383,510,231,48,
"Irvine Bourtreehill",159,0,0,0,195,0,0,0,0,59,0,0,0,130,0,0,0,195,0,0,0,49,0,0,0,0,125,0,0,0,68,0,0,0,0,20,0,0,0,13,357,436,193,33,
"Irvine Girdle Toll and Staneca",294,0,0,0,412,0,0,0,0,170,0,0,0,360,0,0,0,251,0,0,0,107,0,0,0,0,156,0,0,0,82,0,0,0,0,18,0,0,0,31,706,892,237,49,
"Irvine Perceton and Lawthorn",275,0,0,0,327,0,0,0,0,226,0,0,0,499,0,0,0,507,0,0,0,244,0,0,0,0,116,0,0,0,104,0,0,0,0,30,0,0,0,22,600,1480,220,48,
"Irvine Castlepark North",171,0,0,0,333,0,0,0,0,135,0,0,0,226,0,0,0,243,0,0,0,93,0,0,0,0,185,0,0,0,82,0,0,0,0,40,0,0,0,49,504,696,267,90,
"Irvine Castlepark South",188,0,0,0,386,0,0,0,0,62,0,0,0,194,0,0,0,225,0,0,0,109,0,0,0,0,215,0,0,0,125,0,0,0,0,24,0,0,0,32,577,586,344,60,
"Irvine East",264,0,0,0,357,0,0,0,0,103,0,0,0,242,0,0,0,172,0,0,0,111,0,0,0,0,127,0,0,0,70,0,0,0,0,27,0,0,0,28,621,625,198,55,
"Irvine Central",356,0,0,0,438,0,0,0,0,166,0,0,0,236,0,0,0,165,0,0,0,91,0,0,0,0,134,0,0,0,72,0,0,0,0,15,0,0,0,20,794,658,206,35,
"Irvine Fullarton",230,0,0,0,504,0,0,0,0,88,0,0,0,161,0,0,0,80,0,0,0,63,0,0,0,0,114,0,0,0,71,0,0,0,0,20,0,0,0,37,734,388,187,52,
"Stevenston Ardeer",169,0,0,0,311,0,0,0,0,67,0,0,0,187,0,0,0,252,0,0,0,78,0,0,0,0,114,0,0,0,56,0,0,0,0,21,0,0,0,23,479,581,170,44,
"Saltcoats Central",391,0,0,0,681,0,0,0,0,119,0,0,0,228,0,0,0,165,0,0,0,77,0,0,0,0,161,0,0,0,88,0,0,0,0,24,0,0,0,40,1074,585,250,63,
"Ardrossan Central",313,0,0,0,693,0,0,0,0,88,0,0,0,177,0,0,0,120,0,0,0,75,0,0,0,0,101,0,0,0,80,0,0,0,0,22,0,0,0,24,1006,459,182,46,
"Ardrossan North West",262,0,0,0,341,0,0,0,0,219,0,0,0,311,0,0,0,195,0,0,0,96,0,0,0,0,69,0,0,0,68,0,0,0,0,10,0,0,0,25,607,821,133,37,
"Ardrossan North East",256,0,0,0,407,0,0,0,0,145,0,0,0,272,0,0,0,271,0,0,0,140,0,0,0,0,250,0,0,0,116,0,0,0,0,49,0,0,0,38,663,829,365,87,
"Saltcoats North West",268,0,0,0,209,0,0,0,0,190,0,0,0,239,0,0,0,260,0,0,0,136,0,0,0,0,57,0,0,0,70,0,0,0,0,18,0,0,0,22,477,825,127,40,
"Saltcoats North East",242,0,0,0,422,0,0,0,0,106,0,0,0,332,0,0,0,365,0,0,0,157,0,0,0,0,246,0,0,0,132,0,0,0,0,43,0,0,0,43,664,960,368,86,
"Stevenston North West",326,0,0,0,368,0,0,0,0,147,0,0,0,212,0,0,0,182,0,0,0,75,0,0,0,0,84,0,0,0,47,0,0,0,0,19,0,0,0,11,694,616,131,30,
"Stevenston Hayocks",223,0,0,0,450,0,0,0,0,103,0,0,0,233,0,0,0,247,0,0,0,130,0,0,0,0,218,0,0,0,122,0,0,0,0,29,0,0,0,30,673,713,340,61,
"Kilwinning Whitehirst Park and Woodside",241,0,0,0,322,0,0,0,0,257,0,0,0,481,0,0,0,468,0,0,0,191,0,0,0,0,83,0,0,0,77,0,0,0,0,22,0,0,0,21,563,1395,159,43,
"Kilwinning Pennyburn",162,0,0,0,280,0,0,0,0,91,0,0,0,185,0,0,0,190,0,0,0,63,0,0,0,0,199,0,0,0,68,0,0,0,0,46,0,0,0,29,442,527,267,75,
"Kilwinning West and Blacklands",332,0,0,0,513,0,0,0,0,176,0,0,0,296,0,0,0,249,0,0,0,121,0,0,0,0,220,0,0,0,122,0,0,0,0,36,0,0,0,56,848,838,342,92,
"Kilwinning Central and North",351,0,0,0,399,0,0,0,0,167,0,0,0,264,0,0,0,238,0,0,0,116,0,0,0,0,151,0,0,0,93,0,0,0,0,39,0,0,0,33,752,785,244,72,
"Dalry East and Rural",237,0,0,0,372,0,0,0,0,150,0,0,0,238,0,0,0,169,0,0,0,88,0,0,0,0,82,0,0,0,56,0,0,0,0,20,0,0,0,28,609,645,142,48,
"Dalry West",197,0,0,0,260,0,0,0,0,123,0,0,0,226,0,0,0,221,0,0,0,97,0,0,0,0,99,0,0,0,53,0,0,0,0,28,0,0,0,23,457,667,152,51,
"Fairlie and Rural",197,0,0,0,207,0,0,0,0,178,0,0,0,245,0,0,0,220,0,0,0,101,0,0,0,0,64,0,0,0,39,0,0,0,0,26,0,0,0,26,408,744,104,49,
"West Kilbride and Seamill",416,0,0,0,454,0,0,0,0,378,0,0,0,421,0,0,0,329,0,0,0,132,0,0,0,0,97,0,0,0,82,0,0,0,0,22,0,0,0,36,870,1260,176,58,
"Largs South",551,0,0,0,343,0,0,0,0,334,0,0,0,294,0,0,0,205,0,0,0,82,0,0,0,0,69,0,0,0,45,0,0,0,0,14,0,0,0,18,894,915,112,32,
