SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,,,"Two people",,,,,"Three people",,,,,"Four people",,,,,"Five or more people",,,,,"Total",,,,,
"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free",
"Intermediate Zone (2022)",
"Paisley North East",500,352,619,366,26,360,249,175,151,13,62,136,65,46,0,28,107,45,31,2,12,39,17,13,0,965,883,921,606,41,
"Paisley Ralston",394,80,15,22,12,565,188,11,16,6,130,172,5,14,2,67,220,4,11,1,19,46,2,6,0,1171,705,35,69,21,
"Paisley Gallowhill and Hillington",318,180,557,120,18,195,170,241,92,8,55,140,130,58,3,23,74,61,40,3,6,32,62,8,0,597,585,1051,318,33,
"Paisley North",249,262,657,335,18,192,227,237,173,6,36,146,128,52,1,16,125,71,24,0,6,40,27,17,2,499,800,1123,609,28,
"Renfrew West",199,173,251,134,14,194,196,92,83,5,51,143,57,40,1,25,120,33,14,0,4,38,34,3,0,468,670,467,275,19,
"Renfrew South West",171,88,83,56,10,183,121,59,33,3,48,94,37,14,0,16,73,30,10,0,3,25,15,6,0,419,402,221,123,13,
"Renfrew South East",476,203,198,75,17,399,216,97,77,4,91,161,26,31,0,24,138,15,35,0,4,39,17,14,0,994,753,353,234,21,
"Renfrew East",487,168,109,84,17,539,217,32,55,6,137,190,13,19,1,60,184,7,11,0,19,72,3,5,1,1241,827,167,174,25,
"Renfrew North West",258,384,251,274,18,192,253,99,130,3,33,96,43,32,6,11,48,35,20,0,6,18,14,12,0,497,799,445,465,25,
"Renfrew North East",80,121,76,59,9,116,181,70,62,2,31,168,36,24,1,15,190,23,15,0,10,52,21,13,0,250,712,226,170,14,
"Erskine East and Inchinnan",339,127,43,22,11,492,277,30,22,5,129,233,10,20,1,50,280,8,10,0,24,93,1,6,1,1034,1011,92,83,19,
"Erskine Central",347,165,186,46,10,379,219,85,27,8,97,161,34,23,2,39,175,23,17,1,13,57,14,13,0,875,777,342,126,18,
"Erskine West",381,154,193,73,14,401,242,95,45,5,118,212,43,49,0,46,200,31,21,1,24,64,18,19,1,971,866,378,202,15,
"Bishopton",338,80,42,23,15,595,191,16,18,6,113,161,8,13,1,60,204,7,7,0,10,48,4,5,1,1116,684,77,64,21,
"Linwood South",238,124,496,72,13,191,144,202,47,6,44,96,114,35,1,19,97,44,21,0,3,25,45,8,0,492,486,899,183,22,
"Linwood North",277,155,216,58,10,258,155,121,51,3,94,148,56,28,2,30,126,44,25,1,14,63,25,14,2,673,651,465,179,18,
"Houston South",252,89,1,33,5,336,125,3,22,5,70,118,0,9,0,34,151,1,8,0,12,46,2,2,0,708,523,6,78,8,
"Houston North",181,47,26,18,6,336,105,10,21,0,89,107,4,14,1,33,181,5,4,1,9,58,3,6,0,645,506,48,63,8,
"Bridge of Weir",330,111,125,89,17,410,201,53,51,7,90,183,26,25,0,56,238,12,12,5,14,76,4,4,1,900,814,223,183,30,
"Tweeddale West",308,79,82,92,23,585,274,62,101,31,117,166,28,53,11,58,209,20,40,12,23,56,14,14,2,1092,782,206,299,79,
"Peebles North",417,146,353,190,21,381,137,118,90,4,55,127,40,31,0,28,125,17,25,0,4,35,13,16,1,882,573,541,354,29,
"Peebles South",262,86,91,24,14,470,156,94,37,4,102,151,42,17,0,48,183,37,18,2,10,57,12,5,1,896,634,276,102,20,
"Innerleithen",236,96,160,75,14,285,109,83,51,8,55,92,45,10,2,30,106,17,7,0,3,21,15,0,0,606,428,320,144,26,
"Tweeddale East",192,76,64,94,20,317,144,37,69,16,58,88,29,16,6,29,102,22,15,3,14,47,14,12,3,613,461,163,206,48,
"Gala Water Valley and Earlston Area",267,56,124,90,27,362,156,64,110,25,83,105,30,37,4,47,119,15,23,8,14,46,7,9,3,773,483,240,269,60,
"Galashiels North",277,125,215,255,25,272,153,85,129,1,43,65,50,37,1,30,80,39,19,0,6,22,13,18,2,631,445,402,458,31,
"Galashiels West",189,99,235,248,12,203,101,72,99,3,33,79,38,46,1,17,43,27,26,2,3,20,13,13,0,448,342,385,432,18,
"Galashiels South",228,45,269,83,15,324,95,81,53,5,48,67,21,19,0,17,83,21,21,1,4,32,6,5,1,619,324,404,179,22,
"Galashiels Langlee",155,41,339,32,8,109,68,138,16,11,22,35,84,10,0,15,38,46,13,0,1,6,17,5,0,299,186,624,85,19,
"Tweedbank and Galashiels Melrose Gait",141,75,91,31,10,233,156,75,33,2,43,114,69,15,0,22,124,41,15,0,4,32,30,5,0,443,501,306,99,12,
"Melrose Darnick Gattonside and Newstead",301,69,130,101,10,382,122,51,58,4,58,82,21,16,3,19,114,17,23,0,5,33,2,6,0,762,419,221,203,18,
"Lauderdale",157,44,58,56,17,283,142,49,60,28,43,93,15,17,2,41,134,21,16,3,10,50,6,8,4,533,462,149,159,56,
"Berwickshire West",234,57,92,115,24,400,137,43,103,41,70,88,26,52,14,39,94,14,32,20,19,39,14,21,1,760,417,186,323,96,
"Duns",177,44,298,54,12,258,71,160,45,4,56,62,59,20,1,12,73,41,18,4,7,17,21,5,0,514,267,579,140,24,
"Berwickshire East",310,55,122,82,16,480,165,82,78,17,77,101,32,26,7,36,74,23,12,7,10,38,16,10,0,913,434,276,205,48,
"Eyemouth",218,52,263,31,11,279,111,171,29,9,51,75,108,7,1,14,91,67,15,4,5,40,28,3,2,568,369,637,81,24,
"Chirnside and Area",250,63,80,132,27,477,145,67,123,27,78,89,37,34,6,35,106,33,27,6,13,40,18,17,3,852,444,232,335,62,
"Coldstream and Area",241,45,152,100,19,336,87,81,107,13,36,59,24,36,2,14,38,25,20,3,4,14,15,5,1,629,243,297,266,41,
"Cheviot East",219,36,54,142,33,377,104,39,197,38,47,59,15,56,11,27,53,5,42,11,13,28,9,14,1,676,280,119,451,92,
"Kelso North",319,96,308,58,25,458,153,162,44,6,54,87,70,32,3,23,96,60,15,0,10,15,21,4,0,867,447,621,153,35,
"Kelso South",213,65,175,115,9,278,76,77,70,6,32,57,21,18,2,16,59,13,12,1,4,13,7,11,0,544,270,293,226,17,
"Cheviot West",155,28,46,119,17,316,99,23,132,25,42,49,6,44,3,19,54,9,27,1,7,15,7,13,2,539,249,91,335,51,
"St Boswells Newtown and Area",259,61,174,91,24,356,133,106,86,22,65,80,73,32,1,32,82,34,14,3,8,23,34,7,2,717,379,425,229,49,
"Jedburgh",269,65,303,107,20,339,135,151,64,10,56,98,82,24,3,21,102,44,18,0,6,27,37,6,1,690,429,618,221,35,
"Denholm Upper Teviotdale and Liddesdale",303,59,74,87,34,551,137,44,135,30,85,77,17,36,16,52,75,13,40,8,21,25,3,8,4,1013,373,147,308,90,
"Hawick - Burnfoot",96,25,226,32,12,91,57,211,17,7,18,28,138,6,2,6,31,104,12,2,5,11,44,8,0,216,152,720,75,20,
"Hawick - South East",393,150,288,239,40,393,147,75,96,21,61,84,30,41,4,29,99,21,24,1,6,22,11,3,0,881,499,428,404,66,
"Hawick - South",264,73,268,98,22,321,120,89,57,10,41,73,33,22,1,22,91,8,9,0,5,35,5,4,0,645,385,405,190,37,
"Hawick - North",269,81,288,82,22,303,101,94,47,18,54,96,51,17,3,16,84,27,4,0,5,30,17,2,0,650,396,478,152,47,
"Ettrick Yarrow and Lilliesleaf Area",187,32,25,93,22,348,118,21,100,30,47,51,10,26,5,32,52,11,26,8,8,24,4,5,5,622,277,71,250,70,
"Selkirk",394,150,413,163,22,537,198,188,70,6,73,129,82,24,2,34,104,60,21,6,14,40,24,8,1,1052,621,770,290,37,
"Shetland South",295,103,83,55,18,352,143,47,51,10,90,90,25,13,2,57,132,26,7,0,27,75,18,5,3,821,543,199,129,32,
"Lerwick South",104,50,132,23,11,185,39,92,10,5,43,46,51,2,3,21,44,27,2,0,12,27,25,3,2,365,208,324,40,20,
"Lerwick North",360,210,518,128,22,347,149,201,88,10,74,88,82,23,5,36,66,44,8,3,13,31,27,2,0,830,543,865,253,41,
"Central Shetland",265,99,185,48,22,375,134,79,32,8,87,96,51,11,2,47,133,24,13,1,28,77,13,3,1,803,539,352,107,34,
"East and West Mainland",209,53,57,27,20,223,78,30,20,4,53,51,18,7,5,42,83,14,4,1,28,54,8,9,3,554,319,127,69,31,
"North Mainland",181,53,160,30,17,189,79,96,27,7,62,42,41,10,3,31,68,26,2,0,22,34,10,2,2,490,279,331,71,31,
"North and East Isles",238,38,126,33,26,330,40,44,22,9,80,31,19,7,1,46,48,11,3,0,26,35,8,7,3,716,193,208,73,40,
"Carrick South",325,87,163,115,39,617,162,90,123,21,107,100,53,43,7,60,84,40,33,12,26,36,22,21,5,1132,469,365,335,83,
"Girvan Glendoune",238,74,313,39,20,290,93,131,48,7,50,82,69,36,0,35,65,49,24,0,7,35,27,16,4,617,349,588,164,33,
"Girvan Ailsa",322,62,148,62,25,322,76,44,44,7,53,51,20,15,2,23,60,12,8,0,7,18,5,6,0,727,266,229,134,34,
"Maybole",282,105,255,92,15,352,163,129,60,6,75,119,66,44,2,42,119,28,13,1,18,30,33,6,1,772,537,513,216,26,
"Carrick North",149,45,53,40,10,256,118,36,42,13,46,55,17,12,5,35,61,17,11,0,8,19,4,7,0,494,297,131,112,26,
"Coylton",223,108,62,47,9,329,171,35,45,8,70,145,19,27,3,44,131,13,14,1,17,40,12,4,2,680,595,146,139,21,
"Doonfoot and Seafield",400,115,28,17,12,638,202,37,19,4,77,140,18,13,1,44,159,9,3,2,11,42,1,5,3,1170,662,93,60,22,
"Alloway",436,65,26,20,14,768,181,14,32,4,113,163,9,16,5,53,245,6,24,4,21,95,6,10,0,1384,750,61,105,24,
"Castlehill and Kincaidston",176,81,114,24,7,270,116,69,33,6,60,93,37,34,0,20,93,23,19,0,6,34,18,12,0,532,414,261,122,13,
"Belmont",284,106,221,70,19,294,174,76,68,3,74,104,33,45,2,21,113,17,26,0,6,35,8,10,1,679,535,354,216,20,
"Holmston and Forehill",436,135,170,62,15,549,242,77,68,6,115,185,59,55,5,46,204,16,36,1,13,48,13,12,0,1159,818,337,237,27,
"Ayr South Harbour and Town Centre",698,193,182,331,38,602,201,39,171,11,88,116,13,45,2,32,123,6,29,0,17,51,5,16,0,1437,684,245,596,51,
"Ayr North Harbour, Wallacetown and Newton South",299,149,720,335,33,169,97,207,150,9,36,65,65,56,3,10,34,42,26,1,3,14,16,17,0,520,356,1047,584,47,
"Craigie",140,75,143,51,15,131,94,64,51,5,36,75,28,15,0,10,67,15,15,1,2,15,6,12,0,319,326,257,148,20,
"Dalmilling",109,44,212,25,8,111,71,152,20,2,39,66,105,23,0,10,47,89,20,0,5,13,46,7,0,274,241,604,91,10,
"Lochside, Braehead and Whitletts",177,80,468,53,24,159,81,271,78,8,35,81,167,16,5,15,67,76,13,0,9,19,55,13,0,393,329,1034,173,37,
"Newton North",367,141,158,102,14,326,186,68,73,6,62,128,15,27,1,16,136,6,18,1,11,28,5,5,0,785,619,254,225,22,
"Heathfield",238,128,217,84,15,260,161,92,52,5,50,138,32,31,1,25,130,22,22,0,12,28,8,1,0,584,585,371,190,19,
"Prestwick West",535,114,111,114,21,590,202,29,60,4,109,141,18,24,1,46,162,13,13,1,10,41,3,7,0,1287,661,174,218,26,
"Prestwick East",545,152,90,85,16,586,233,65,50,17,92,170,32,25,2,52,171,22,19,2,17,53,22,8,0,1295,779,228,186,37,
"Prestwick Airport and Monkton",313,101,103,59,13,346,184,31,61,8,63,139,16,35,1,34,155,19,13,1,7,30,6,6,0,762,613,175,167,27,
"Annbank, Mossblown and Tarbolton",344,156,266,76,23,399,227,184,77,20,106,147,95,31,4,51,168,57,24,5,34,49,47,15,1,930,749,649,221,55,
"Dundonald, Loans and Symington",295,97,145,40,12,474,215,78,34,26,77,153,51,17,5,38,155,42,12,1,16,63,19,13,2,900,683,334,113,46,
"Muirhead",189,70,81,22,8,305,101,55,27,2,51,102,17,23,1,31,101,13,17,0,3,32,13,11,0,579,405,183,100,11,
"Barassie Bank",162,92,22,26,3,323,200,23,17,2,53,138,14,25,0,25,186,3,11,0,7,50,8,1,0,570,669,65,83,8,
"Barassie",447,145,283,154,18,401,161,131,72,2,63,103,34,28,3,32,104,18,20,0,5,35,5,5,0,948,548,470,278,27,
"Troon",530,127,158,202,12,631,196,36,70,7,81,95,8,35,3,46,140,8,15,1,9,48,7,8,0,1300,606,216,330,25,
"Clydesdale South",164,49,60,47,23,269,109,23,61,19,49,75,12,23,1,29,43,8,12,10,14,23,4,7,3,525,301,107,154,56,
"Biggar, Symington, Thankerton and Dolphinton",413,107,193,108,30,610,295,80,108,18,120,169,39,45,5,60,163,15,28,5,21,66,13,19,0,1223,800,344,313,58,
"Carstairs, Carstairs Junction and Carnwath",276,109,229,66,15,374,206,124,39,4,99,136,62,25,7,49,146,37,25,1,17,63,15,7,4,811,658,467,164,35,
"Forth, Braehead and Auchengray",195,70,206,33,16,293,137,113,24,8,95,119,52,8,1,32,91,29,11,2,15,32,24,12,2,630,446,424,85,29,
"Law",207,102,103,29,12,282,206,49,29,12,65,147,35,11,1,30,159,17,9,2,11,40,10,1,0,595,652,210,81,25,
"Carluke West",225,81,35,69,10,335,141,22,32,10,76,105,10,10,0,27,137,3,7,0,5,35,0,1,1,670,498,70,119,21,
"Carluke North",166,82,222,54,11,158,84,89,20,2,35,63,50,16,1,9,56,25,9,0,2,18,10,5,0,374,299,399,105,11,
"Carluke East",184,93,263,38,12,260,157,167,26,3,47,149,90,13,0,21,167,45,12,0,9,36,20,9,0,524,602,585,97,15,
"Carluke South",236,87,139,54,9,321,151,95,29,5,56,100,40,15,0,17,118,21,19,0,5,28,19,8,1,637,484,314,122,15,
"Crossford, Braidwood and Yieldshields",143,75,82,23,9,280,171,31,22,4,63,118,26,15,1,38,141,16,14,1,9,44,6,0,0,533,553,165,76,11,
"Lanark North West",220,70,130,57,13,290,115,29,17,3,52,60,22,20,0,21,80,10,4,0,3,33,11,3,0,586,361,200,101,16,
"Lanark North East",194,80,141,45,14,195,91,60,34,2,28,72,40,14,2,13,63,24,9,0,4,18,8,1,2,436,324,273,104,17,
"Lanark South",248,89,231,86,16,301,163,95,76,6,64,99,34,21,0,39,135,21,21,0,11,38,13,5,0,659,521,396,213,19,
"Hazelbank and Kirkfieldbank",217,80,129,37,12,419,190,67,44,12,93,106,25,20,2,48,109,11,7,5,25,47,11,5,1,802,531,243,114,32,
"Douglas, Coalburn and Rigside",230,68,323,82,18,301,129,187,72,15,67,99,93,29,7,36,99,44,16,0,4,41,28,13,0,638,433,681,210,41,
"Lesmahagow",193,86,245,73,11,260,131,98,40,6,38,108,73,21,1,35,110,40,16,1,10,44,23,5,0,534,479,475,155,18,
"Kirkmuirhill and Blackwood",238,100,174,41,10,350,195,71,36,7,67,180,49,23,2,35,153,41,16,1,12,51,18,13,1,699,679,353,128,21,
"Ashgill, Netherburn, Quarter and Glassford",251,142,139,60,16,383,293,61,42,12,106,214,50,17,0,67,204,27,18,1,27,83,18,7,2,834,932,291,147,28,
"Merryton and Meadowhill",223,84,113,33,7,287,150,41,56,5,56,108,19,21,0,36,121,7,16,0,7,25,3,6,0,610,485,184,133,12,
"Larkhall Central, Raploch, Millheugh and Burnhead",276,127,181,118,12,335,191,65,70,6,78,157,32,33,2,31,98,16,15,2,11,19,8,10,2,728,592,302,246,23,
"Hareleeshill",251,103,209,39,20,325,158,136,43,3,70,117,82,23,1,27,84,44,18,0,8,29,25,11,1,681,491,500,137,25,
"Strutherhill and Birkenshaw",154,72,312,40,20,166,111,187,44,5,60,76,112,29,0,20,76,88,9,0,12,31,33,13,0,412,366,732,135,25,
"Stonehouse",340,153,190,91,14,440,315,82,66,2,107,209,50,33,1,45,203,34,23,3,21,85,13,11,1,955,966,369,224,24,
"Strathaven South",349,122,81,130,28,458,180,39,47,2,83,141,17,26,2,42,177,18,15,1,19,63,11,10,0,954,682,160,228,33,
"Strathaven North",155,47,69,11,4,279,154,31,19,3,57,122,13,7,0,33,174,4,7,2,7,63,0,9,0,529,559,119,53,8,
"Strathaven West, Chapelton, Drumclog and Sandford",155,49,19,16,17,335,161,8,23,6,74,141,10,21,2,64,205,8,19,4,23,80,3,9,1,651,636,48,86,30,
"Eddlewood",143,69,86,9,13,257,145,52,21,1,97,146,36,15,1,45,179,16,21,0,7,30,9,10,0,545,569,199,70,15,
"Low Waters",224,62,293,57,26,207,94,141,56,7,56,73,53,26,0,17,69,29,24,0,6,21,13,7,0,515,317,529,173,29,
"Silvertonhill",208,68,86,62,8,333,126,18,41,4,73,84,9,15,0,31,107,4,16,0,7,39,2,4,0,648,421,119,138,12,
"Hamilton Centre, Low Parks and Ferniegar",505,269,221,337,43,435,283,61,200,10,77,156,8,68,1,49,213,8,26,2,21,72,4,19,0,1091,988,303,647,55,
"Laighstonehall",289,164,295,181,16,204,130,97,91,8,58,84,30,37,1,24,86,18,21,1,10,33,11,7,0,586,497,452,338,23,
"Woodhead, Meikle Earnock and Fairhill",217,134,242,40,17,253,188,171,51,5,73,141,106,35,0,33,126,64,31,1,11,47,62,10,1,587,634,649,166,20,
"Torheads and Little Earnock",185,150,90,29,5,223,394,66,25,4,72,296,52,20,1,42,356,36,13,0,12,122,12,13,2,541,1321,255,102,14,
"Earnock",297,161,28,40,5,483,355,20,27,6,117,273,16,18,2,42,356,5,10,0,20,102,7,7,0,963,1247,74,101,10,
"Hillhouse",201,107,315,76,19,203,145,208,69,2,60,113,112,43,3,12,86,74,23,0,8,35,40,11,1,484,486,749,217,20,
"High Blantyre",218,122,325,57,12,231,155,151,47,9,65,95,86,25,6,16,78,32,12,1,8,32,10,9,0,542,479,604,153,30,
"Blantyre South and Wheatlands",246,136,312,59,17,265,161,151,57,6,70,120,97,32,2,19,77,41,18,3,6,34,17,14,0,602,529,617,180,28,
"Low Blantyre and Bardykes",176,63,78,14,9,310,119,61,11,6,65,116,42,9,0,32,116,23,6,0,10,45,4,2,0,593,458,208,42,15,
"Blantyre North and Coatshill",191,127,154,63,11,226,126,77,33,5,55,108,36,26,0,19,70,20,10,2,5,32,6,9,0,499,457,296,141,17,
"Burnbank North",211,183,321,81,21,242,228,179,75,7,71,169,100,35,3,25,126,35,21,0,6,26,46,10,0,561,732,681,222,29,
"Burnbank Central and Udston",210,167,483,117,14,194,147,208,104,7,42,116,91,51,4,17,94,35,12,0,3,26,12,9,0,466,551,832,293,23,
"Burnbank South and Chantinghall",247,165,181,117,17,269,139,70,78,4,61,98,40,25,0,30,104,18,10,1,13,37,12,6,0,620,543,321,236,24,
"Whitehill",222,131,306,106,19,163,162,146,68,7,31,87,89,30,1,15,85,47,20,0,11,46,15,11,0,439,508,603,241,27,
"Bothwell South",397,105,34,98,18,450,178,13,56,5,87,136,9,20,0,59,171,5,8,0,22,76,3,5,1,1017,666,64,187,20,
"Bothwell North",161,81,122,22,6,213,112,79,30,4,67,97,24,37,0,22,117,17,15,0,10,35,1,15,0,474,441,243,119,12,
"Uddingston and Kylepark",428,203,270,170,30,435,234,91,107,6,114,192,38,31,3,44,227,22,18,1,16,67,10,8,0,1037,923,422,334,40,
"Newton",21,87,3,0,0,37,285,1,7,2,16,294,0,9,0,10,349,2,9,0,12,105,1,5,2,96,1120,7,31,4,
"Halfway, Hallside and Drumsagard",179,141,87,47,4,280,254,51,34,4,98,286,27,25,0,73,289,11,18,0,12,111,5,13,0,638,1077,183,139,8,
"Westburn",157,213,254,83,17,205,289,122,64,7,80,249,95,30,1,29,289,59,33,1,21,123,25,18,3,489,1163,559,228,30,
"Vicarland and Cairns",239,124,297,62,18,264,162,153,46,6,73,131,93,21,3,33,106,54,15,0,20,57,33,6,2,629,580,627,153,28,
"Whitlawburn and Greenlees",209,120,330,46,11,304,191,164,39,8,79,143,97,12,0,26,183,70,9,0,15,47,32,3,0,629,682,691,109,18,
"Cambuslang Central",195,80,265,55,5,276,162,87,51,2,71,110,8,11,0,38,142,3,11,0,15,58,1,8,0,596,550,368,140,7,
"Burgh, Eastfield and Silverbank",443,223,88,73,10,484,342,73,74,9,118,211,33,24,4,57,189,15,16,0,22,74,8,11,0,1124,1036,217,198,22,
"Farme Cross and Gallowflat North",237,210,452,182,18,173,230,157,82,1,38,124,41,26,1,15,73,18,9,0,4,35,7,8,0,470,672,678,312,20,
"Shawfield and Clincarthill",261,145,324,163,11,182,99,113,100,1,40,57,33,27,0,14,65,25,11,0,9,21,6,3,0,503,385,501,304,12,
"Burnhill and Bankhead North",271,164,425,97,18,207,124,182,69,6,38,72,89,34,0,12,57,49,8,1,5,16,19,13,0,530,436,768,218,25,
"Bankhead South",281,136,46,64,8,305,150,16,64,5,69,103,9,44,2,25,80,6,33,0,3,22,3,14,0,681,491,80,222,14,
"Spittal",171,105,170,26,5,159,127,89,40,1,50,105,69,20,4,19,94,34,10,0,3,26,24,4,0,402,457,382,100,11,
"High Crosshill",307,131,22,41,7,365,205,13,43,12,89,165,3,6,1,41,157,2,7,1,15,51,1,2,0,814,710,42,106,21,
"Burnside and Springhall",324,104,368,57,11,341,172,113,41,1,86,126,40,20,5,23,133,17,11,0,8,37,2,12,0,779,575,540,141,16,
"Fernhill and Cathkin",207,114,340,27,12,201,171,234,47,3,56,148,100,22,1,37,121,83,15,0,11,52,24,9,1,504,606,785,117,19,
"Lindsayfield West, Lindsayfield South and Auldhouse",106,80,238,29,8,165,255,67,16,3,40,233,27,7,1,29,332,13,10,2,17,107,6,5,0,355,1007,349,67,14,
"Nerston",116,156,189,37,4,167,378,106,21,8,33,280,58,19,1,26,281,43,11,1,9,90,17,8,0,346,1190,406,93,17,
"Calderwood East",240,148,165,140,6,199,155,91,62,4,51,106,56,32,0,18,105,30,28,0,4,38,19,9,0,511,552,358,270,8,
"Calderwood Central",323,218,393,127,19,225,158,120,91,7,42,124,28,42,0,31,79,8,7,1,6,24,16,2,0,627,608,565,272,28,
"Calderwood West",284,188,215,105,18,263,192,96,78,9,69,124,42,23,2,23,151,30,26,0,9,48,6,9,0,642,703,383,245,29,
"St Leonards North",368,204,123,136,18,371,195,46,67,3,92,169,28,29,1,40,183,10,19,1,10,50,15,7,0,881,801,226,258,23,
"St Leonards South",365,176,88,128,15,390,198,35,93,6,81,179,17,38,0,34,154,14,40,2,7,57,5,13,0,877,761,159,311,25,
"East Mains",287,115,183,102,21,216,136,55,85,3,58,82,21,28,4,23,78,15,8,0,13,32,9,3,0,597,443,283,229,27,
"West Mains",241,113,111,112,8,189,126,65,61,6,52,87,24,32,1,25,95,29,17,0,9,28,7,5,0,518,448,236,226,16,
"Stewartfield East",153,43,30,12,6,292,107,12,15,5,81,106,3,5,0,32,115,2,6,0,10,44,2,2,0,565,411,48,37,11,
"Stewartfield West",205,110,62,52,10,363,192,21,36,5,95,166,17,15,4,44,181,5,24,0,7,49,3,3,0,714,694,112,130,17,
"Thorntonhall, Jackton and Gardenhall",169,84,2,10,6,412,208,2,18,4,107,190,4,11,1,56,236,1,12,0,21,101,4,2,0,765,816,16,53,9,
"Hairmyres and Westwood West",169,84,121,54,4,185,119,27,37,0,42,93,7,14,0,13,105,8,5,0,7,36,5,13,0,413,440,168,123,8,
"Mossneuk and Newlandsmuir",203,113,35,44,6,382,216,26,25,1,88,174,28,12,2,34,144,10,5,0,15,51,7,2,0,724,695,105,87,8,
"Crosshouse and Lindsayfield Central",159,113,140,34,8,286,255,74,44,1,80,215,53,27,0,38,236,35,30,0,17,94,21,33,1,580,914,323,161,8,
"Whitehills West",187,92,239,45,14,217,139,141,40,2,56,136,92,29,0,21,109,67,22,0,10,49,34,27,0,489,521,568,163,14,
"Greenhills",173,66,183,30,10,175,117,68,35,0,47,112,45,29,2,17,76,37,33,1,5,50,28,13,0,417,420,358,140,13,
"Westwood South",330,186,110,75,14,317,171,71,88,1,78,147,36,44,0,22,126,18,16,1,7,46,10,8,0,754,676,246,231,19,
"Westwood East",282,159,185,85,13,227,167,81,49,5,57,108,21,35,1,11,98,15,15,0,6,34,10,10,0,586,570,312,194,17,
"The Murray",278,169,300,144,20,213,128,99,72,5,75,105,40,43,0,35,84,14,20,0,9,31,9,13,0,607,514,462,288,25,
"Birniehill, Kelvin and Whitehills East",233,138,144,57,11,274,193,77,48,3,68,124,45,25,0,42,121,32,17,1,8,33,12,8,0,623,612,312,155,11,
"Blane Valley",374,86,62,70,14,562,219,45,68,15,105,190,26,16,6,76,197,16,16,3,26,57,5,18,2,1141,746,154,184,41,
"Balfron and Drymen",253,72,137,69,14,392,163,78,56,6,84,127,44,38,2,46,159,16,22,5,6,71,16,9,0,781,591,293,194,25,
"Kippen, Fintry and Gargunnock",172,42,74,33,14,355,123,45,29,6,72,80,22,13,2,39,126,9,13,0,16,28,7,9,2,649,401,158,97,22,
"Cambusbarron",216,113,79,43,13,378,163,47,41,6,64,115,51,26,1,43,156,16,14,1,7,61,6,9,1,707,608,199,129,20,
"Plean and Rural SE",132,74,133,38,15,199,160,96,24,4,47,111,77,7,4,23,112,51,7,4,11,29,30,3,2,412,484,388,79,29,
"Cowie",90,66,130,14,9,125,95,104,19,9,41,86,72,12,4,17,83,51,6,0,9,37,33,4,1,283,365,384,59,19,
"Fallin",103,60,172,20,14,150,112,123,16,3,29,78,95,15,3,16,76,60,8,0,1,23,25,2,0,298,349,478,64,18,
"Bannockburn",211,103,165,58,11,244,144,74,53,5,61,121,45,13,0,31,98,19,9,1,6,30,4,4,0,553,496,307,138,17,
"Hillpark",164,67,142,20,16,180,127,134,35,5,45,109,76,21,5,24,107,50,17,4,8,26,33,9,2,419,437,433,100,29,
"Broomridge",422,220,326,170,22,399,228,119,115,12,93,158,51,39,6,28,151,23,18,2,13,45,17,10,0,955,804,533,354,44,
"Borestone",206,124,273,53,15,177,166,153,58,4,37,127,89,25,1,19,128,46,33,0,9,30,44,9,2,449,571,605,174,21,
"King's Park and Torbrex",445,114,42,82,12,476,170,11,74,9,79,98,14,26,0,48,163,2,14,0,16,46,0,6,0,1061,591,70,202,22,
"Braehead",186,62,194,60,16,145,73,56,89,4,40,49,29,21,0,15,65,11,19,0,5,17,5,11,1,389,269,295,198,20,
"City Centre",119,78,271,290,17,50,52,72,548,10,15,40,39,162,0,16,11,18,70,0,1,4,8,32,0,201,190,408,1099,27,
"Raploch",106,84,433,93,20,83,136,212,108,10,24,88,145,38,3,12,76,113,14,4,2,17,62,13,0,227,401,963,266,37,
"Cornton",107,47,155,23,6,124,75,111,52,6,47,77,66,23,0,25,95,41,16,1,10,43,28,11,0,311,341,401,128,12,
"Causewayhead",198,56,24,44,4,289,119,10,49,5,41,81,3,14,2,19,123,2,22,0,5,40,0,4,0,559,419,40,135,10,
"Bridge of Allan and University",420,109,161,136,23,567,183,40,119,7,91,138,24,43,2,53,151,3,31,3,23,40,8,4,0,1145,619,229,330,33,
"Riverside and Logie",202,72,59,135,11,180,95,43,225,8,31,38,14,42,2,15,56,8,19,4,4,17,3,4,0,432,279,126,428,23,
