SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,"Two people",,,"Three people",,,"Four people",,,"Five or more people",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Data Zone (2022)",
"S01013762",28,0,0,53,0,2,31,1,0,25,0,2,9,0,1,
"S01013763",117,0,13,129,1,9,32,0,2,34,0,0,9,0,1,
"S01013764",85,0,10,131,1,4,55,1,6,51,1,3,12,3,4,
"S01013765",40,3,1,96,1,1,40,1,0,28,0,1,8,0,0,
"S01013766",132,52,26,91,29,13,52,6,11,37,4,7,10,2,0,
"S01013767",64,83,11,58,26,9,8,9,3,10,6,2,6,0,0,
"S01013768",55,1,4,123,0,8,28,0,1,29,0,4,11,0,0,
"S01013769",79,13,10,104,14,6,33,4,4,20,0,3,3,0,1,
"S01013770",55,39,11,60,16,0,27,12,2,15,7,2,4,5,0,
"S01013771",47,25,9,69,11,2,26,7,2,13,5,2,7,2,0,
"S01013772",76,2,7,106,0,2,37,0,6,25,1,1,10,0,0,
"S01013773",105,15,26,118,5,17,38,4,5,36,2,6,10,1,1,
"S01013774",75,12,12,97,6,5,11,7,1,12,5,3,0,0,0,
"S01013775",91,4,25,88,2,16,23,1,3,22,0,3,5,1,1,
"S01013776",47,0,1,83,0,6,45,0,1,28,0,1,5,0,0,
"S01013777",65,9,16,123,3,5,50,0,3,42,1,2,11,1,4,
"S01013778",66,17,3,101,8,7,32,2,3,21,1,3,9,4,4,
"S01013779",49,39,11,72,10,3,47,1,7,56,1,2,15,0,2,
"S01013780",46,7,11,86,0,9,47,2,8,47,2,1,12,2,1,
"S01013781",49,2,8,78,0,4,61,0,1,55,4,3,11,1,2,
"S01013782",76,10,28,106,0,13,21,6,4,12,2,8,3,2,0,
"S01013783",105,86,21,128,25,17,23,13,6,14,4,5,7,2,0,
"S01013784",46,15,35,87,2,30,20,6,7,17,0,16,5,0,3,
"S01013785",45,2,40,64,2,71,28,3,17,8,2,7,5,0,8,
