SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01013726",15,32,0,129,52,0,113,15,0,9,0,0,0,0,1,
"S01013727",22,38,5,113,150,1,67,41,0,7,2,0,3,1,0,
"S01013728",48,19,0,166,17,0,62,5,0,15,0,0,0,0,0,
"S01013729",98,4,0,170,12,0,44,3,0,3,0,0,2,0,0,
"S01013730",73,1,0,97,4,0,40,2,0,8,0,0,0,0,0,
"S01013731",45,29,0,147,88,0,102,14,0,12,3,0,3,0,0,
"S01013732",21,41,0,69,95,0,36,27,0,3,4,0,1,0,0,
"S01013733",38,120,0,91,128,0,48,24,0,6,6,0,3,0,0,
"S01013734",65,39,0,146,14,0,98,4,0,15,0,0,5,0,0,
"S01013735",32,3,0,135,2,0,61,1,0,16,1,0,3,0,0,
"S01013736",18,4,0,90,12,0,85,1,0,12,0,0,2,0,0,
"S01013737",36,100,0,82,118,2,45,28,0,13,4,0,2,0,0,
"S01013738",12,29,0,113,67,0,108,19,0,12,3,0,2,1,0,
"S01013739",42,41,0,151,69,0,76,15,0,10,2,0,4,0,0,
"S01013740",37,18,0,112,32,0,61,9,0,9,1,0,6,0,0,
"S01013741",27,12,0,75,20,0,32,10,0,16,0,0,4,0,0,
"S01013742",45,38,0,122,41,0,64,5,0,7,2,0,0,0,0,
"S01013743",37,51,0,175,44,0,97,10,0,20,0,0,6,0,0,
"S01013744",41,14,0,164,37,0,93,11,0,23,6,0,7,1,0,
"S01013745",15,18,0,90,34,1,96,7,0,31,1,0,7,0,0,
"S01013746",0,9,0,45,98,0,61,34,0,17,0,0,10,0,0,
"S01013747",17,10,0,154,41,0,103,0,0,14,1,0,0,0,0,
"S01013748",24,13,0,119,40,0,77,8,0,17,2,0,3,0,0,
"S01013749",22,4,0,117,14,0,72,0,2,15,0,0,4,0,0,
"S01013750",24,10,0,104,35,0,58,6,0,11,0,0,2,0,0,
"S01013751",27,9,0,137,42,0,92,8,0,19,0,0,1,0,0,
"S01013752",10,7,0,98,30,0,147,8,2,13,2,0,3,0,0,
"S01013753",81,24,0,184,11,0,105,1,0,9,0,0,5,0,0,
"S01013754",13,5,0,170,6,0,115,7,0,22,0,0,6,0,0,
"S01013755",26,10,0,159,29,0,101,3,0,17,0,0,1,0,0,
"S01013756",16,13,0,107,51,0,71,4,0,7,0,0,3,0,0,
"S01013757",18,4,0,76,9,0,95,1,0,22,0,0,6,0,0,
"S01013758",34,4,0,149,2,0,71,0,0,14,1,0,6,0,0,
"S01013759",3,0,0,68,0,0,108,0,0,27,0,0,0,0,0,
"S01013760",53,3,0,195,4,0,105,0,0,18,0,0,7,0,0,
"S01013761",23,1,0,139,0,0,97,0,0,9,0,0,2,0,0,
"S01013762",7,0,0,66,0,0,64,0,0,8,0,0,5,0,0,
"S01013763",30,8,0,138,34,0,93,11,0,18,3,0,8,1,0,
"S01013764",27,5,0,170,8,0,120,6,0,23,0,0,5,0,0,
"S01013765",13,0,0,99,0,0,90,0,0,15,0,0,4,0,0,
"S01013766",53,37,1,139,113,0,79,25,0,10,5,0,4,1,0,
"S01013767",41,71,0,72,60,0,29,15,0,1,3,0,0,1,0,
"S01013768",22,2,0,138,2,0,75,0,0,17,0,0,5,0,0,
"S01013769",43,12,0,138,15,1,61,5,0,5,1,0,3,0,0,
"S01013770",45,21,0,104,29,0,50,6,0,5,0,0,2,0,0,
"S01013771",39,18,0,87,21,0,47,3,0,10,1,0,6,0,0,
"S01013772",44,1,0,126,4,0,83,1,0,11,0,0,6,0,0,
"S01013773",31,25,0,143,65,0,89,17,0,17,0,0,10,0,0,
"S01013774",51,13,0,110,14,0,53,4,0,6,2,0,3,0,0,
"S01013775",19,20,0,102,60,0,61,8,0,13,1,0,0,0,0,
"S01013776",12,1,0,84,12,0,79,4,0,21,2,0,5,0,0,
"S01013777",19,12,0,111,27,0,117,5,0,26,1,0,11,0,0,
"S01013778",39,4,0,118,2,0,91,1,0,15,0,0,7,0,0,
