SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01015429",50,21,0,72,27,0,36,7,0,8,1,0,0,0,0,
"S01015430",117,53,0,146,29,0,41,5,0,13,1,0,1,2,0,
"S01015431",100,61,0,110,26,0,38,6,0,5,0,0,1,0,0,
"S01015432",80,20,0,103,20,0,32,2,0,9,0,0,1,0,0,
"S01015433",39,0,0,171,4,0,117,0,0,30,0,0,6,0,0,
"S01015434",39,45,0,103,98,0,97,19,0,20,4,0,6,0,0,
"S01015435",33,170,0,68,218,0,30,40,0,5,3,0,0,0,0,
"S01015436",20,20,0,77,38,0,66,16,0,25,0,0,9,0,0,
"S01015437",32,29,0,119,92,0,98,35,0,20,6,0,3,1,0,
"S01015438",19,125,0,64,175,0,27,23,0,4,3,0,2,2,0,
"S01015439",18,114,0,49,91,0,27,12,0,6,2,0,1,0,0,
"S01015440",30,5,0,126,9,0,109,2,0,22,0,0,6,0,0,
"S01015441",34,12,0,137,13,0,80,1,0,18,0,0,4,0,0,
"S01015442",36,2,0,178,3,0,130,1,0,22,0,0,5,0,0,
"S01015443",55,8,0,168,13,0,111,6,0,20,0,0,13,0,0,
"S01015444",17,83,0,82,98,1,46,29,0,11,2,0,3,0,0,
"S01015445",24,16,0,108,19,0,108,10,0,23,3,0,9,0,0,
"S01015446",30,12,0,108,29,0,97,11,0,19,1,0,11,0,0,
"S01015447",18,4,0,95,4,0,91,3,0,18,0,0,6,0,0,
"S01015448",76,112,0,160,82,0,59,23,0,10,1,0,5,0,0,
"S01015449",26,0,0,155,2,0,102,2,0,22,0,0,2,0,0,
"S01015450",8,0,0,101,1,0,171,1,0,35,0,0,6,0,0,
"S01015451",28,7,0,156,10,0,106,4,0,24,0,0,7,1,0,
"S01015452",18,9,0,69,36,0,92,10,0,31,0,0,14,0,0,
"S01015453",5,0,0,33,0,0,90,1,0,33,0,0,6,0,0,
"S01015454",7,0,0,67,10,0,106,0,0,28,0,0,0,0,0,
"S01015455",0,2,0,86,14,0,112,4,0,32,0,0,5,0,0,
"S01015456",37,12,0,163,18,0,102,3,0,20,1,0,3,0,0,
"S01015457",21,10,0,135,18,0,118,2,0,33,0,0,8,0,0,
"S01015458",34,8,0,183,13,0,132,2,0,23,1,0,10,0,0,
"S01015459",36,75,0,68,52,0,39,9,0,9,3,0,0,0,0,
"S01015460",154,44,0,130,16,0,60,4,0,12,0,0,3,0,0,
"S01015461",30,25,0,114,21,0,81,5,0,7,1,0,4,0,0,
"S01015462",53,74,0,56,51,0,15,7,0,4,2,0,1,0,0,
"S01015463",101,7,0,141,8,0,49,0,0,10,0,0,2,0,0,
"S01015464",63,22,0,109,14,0,48,4,0,7,0,0,2,1,0,
"S01015465",47,69,0,78,32,0,31,10,0,6,2,0,0,0,0,
"S01015466",46,13,0,112,11,0,40,3,0,14,0,0,5,0,0,
"S01015467",34,112,0,53,70,0,16,17,0,4,0,0,2,4,0,
"S01015468",98,4,0,168,4,0,76,2,0,9,0,0,5,0,0,
"S01015469",61,158,0,84,99,0,34,16,0,8,3,0,0,0,0,
"S01015470",32,56,0,59,64,0,29,32,0,5,6,0,1,0,0,
"S01015471",62,33,0,116,21,0,41,13,0,9,1,0,2,0,0,
"S01015472",12,2,0,88,1,0,121,0,0,19,0,0,6,0,0,
"S01015473",27,22,0,46,41,0,31,7,0,5,1,0,3,0,0,
"S01015474",57,32,0,111,41,1,72,5,0,19,1,0,2,0,0,
"S01015475",78,13,0,120,9,0,49,4,0,12,0,0,2,0,0,
"S01015476",19,9,0,125,11,0,118,4,0,25,1,0,11,0,0,
"S01015477",4,4,0,46,12,0,93,0,0,29,0,0,9,0,0,
"S01015478",13,3,0,79,8,0,77,8,0,23,1,0,6,0,0,
"S01015479",117,36,0,119,18,0,42,6,0,14,0,0,4,0,0,
"S01015480",99,122,0,101,41,0,35,9,0,7,0,0,4,0,0,
"S01015481",23,4,0,88,6,0,60,0,0,16,0,0,3,0,0,
"S01015482",139,104,0,116,57,0,37,8,0,9,1,0,0,0,0,
"S01015483",52,16,0,112,14,0,44,2,0,6,0,0,0,0,0,
"S01015484",59,2,0,87,2,0,41,0,0,11,0,0,2,0,0,
"S01015485",65,6,0,130,11,0,81,2,0,20,0,0,3,0,0,
"S01015486",50,2,0,183,7,0,121,2,0,22,0,0,3,0,0,
"S01015487",108,33,0,143,12,0,73,4,0,13,0,0,6,0,0,
"S01015488",74,4,0,108,2,0,50,1,0,5,0,0,1,0,0,
"S01015489",34,0,0,79,4,0,61,1,0,10,0,0,1,0,0,
"S01015490",128,15,0,136,1,0,62,0,0,13,0,0,2,1,0,
"S01015491",73,27,0,124,10,0,51,3,0,10,0,0,0,0,0,
"S01015492",51,8,0,89,20,0,48,1,0,9,1,0,3,0,0,
"S01015493",34,0,0,171,1,0,114,2,0,25,0,0,5,0,0,
"S01015494",31,2,0,125,3,0,75,0,1,10,0,0,5,0,0,
"S01015495",51,2,0,109,2,0,35,0,0,3,0,0,0,0,0,
"S01015496",36,14,0,120,23,0,91,3,0,12,0,0,6,0,0,
"S01015497",69,8,0,166,14,0,90,3,0,15,0,0,5,0,0,
"S01015498",66,36,0,153,31,0,89,0,0,26,5,0,4,0,0,
"S01015499",34,20,0,79,51,0,44,8,0,2,0,0,2,0,0,
"S01015500",79,11,0,140,37,0,71,7,0,19,2,0,4,0,0,
"S01015501",29,10,0,112,25,0,66,7,0,17,1,0,2,1,0,
"S01015502",46,35,0,145,60,0,87,6,0,15,0,0,9,0,0,
"S01015503",31,82,0,123,94,0,79,14,0,24,4,0,8,0,0,
"S01015504",48,46,0,86,39,0,55,4,0,7,1,0,4,0,0,
"S01015505",16,70,0,64,74,0,26,17,0,13,0,0,0,1,0,
"S01015506",6,316,0,11,214,0,1,27,0,0,2,0,0,0,0,
"S01015507",31,259,0,50,189,0,16,29,0,3,4,0,1,0,0,
"S01015508",12,106,0,22,114,0,12,22,0,6,2,0,2,0,0,
"S01015509",33,200,0,61,157,0,20,21,0,0,0,0,1,0,0,
"S01015510",32,275,0,19,152,0,3,26,0,0,3,0,0,0,0,
"S01015511",30,174,0,61,145,0,20,22,0,5,5,0,1,1,0,
"S01015512",16,127,0,43,101,0,13,23,0,0,0,0,1,1,0,
"S01015513",24,184,0,82,120,0,37,21,0,6,2,0,1,1,0,
"S01015514",18,177,0,23,142,1,7,22,0,3,3,0,0,0,0,
"S01015515",26,76,0,77,83,0,41,10,0,3,1,0,4,0,0,
"S01015516",40,62,0,91,54,0,50,3,0,7,0,0,1,0,0,
"S01015517",37,4,0,135,6,0,66,0,0,19,1,0,4,0,0,
"S01015518",54,14,0,211,6,0,123,4,0,24,1,0,6,0,0,
"S01015519",55,80,0,87,35,0,27,4,0,11,0,0,1,0,0,
"S01015520",40,161,0,61,147,0,17,20,0,3,1,0,0,0,0,
"S01015521",57,83,0,102,78,0,43,17,0,6,3,0,2,0,0,
"S01015522",37,130,0,44,89,0,26,12,0,2,0,0,1,0,0,
"S01015523",32,145,0,45,88,0,20,11,0,2,0,0,1,0,0,
"S01015524",33,178,0,78,101,0,14,23,0,3,0,0,1,0,0,
"S01015525",74,123,0,97,57,0,18,10,0,5,0,0,3,0,0,
"S01015526",92,37,0,136,19,0,55,5,0,8,0,0,2,0,0,
"S01015527",76,101,0,109,43,0,40,9,0,2,1,0,7,1,0,
"S01015528",59,165,0,79,88,0,15,13,0,3,0,0,1,0,0,
"S01015529",77,105,0,125,98,0,36,21,0,11,4,0,0,0,0,
"S01015530",89,6,0,115,6,0,53,2,0,15,0,0,5,0,0,
"S01015531",85,84,0,173,51,0,62,6,0,13,0,0,8,0,0,
"S01015532",36,105,0,45,77,0,25,18,0,4,2,0,1,0,0,
"S01015533",24,279,7,26,121,1,10,21,0,0,2,0,1,4,0,
"S01015534",23,196,1,31,94,0,15,25,0,3,3,0,0,0,0,
"S01015535",28,112,0,80,84,0,34,17,0,3,2,0,3,0,0,
"S01015536",73,22,0,166,25,0,97,10,0,15,2,0,4,0,0,
"S01015537",66,24,0,92,20,0,59,1,0,7,2,0,0,0,0,
"S01015538",133,60,0,206,30,0,71,7,0,15,0,0,3,0,0,
"S01015539",71,40,0,102,13,0,35,1,0,6,0,0,4,0,0,
"S01015540",46,19,0,101,4,0,84,0,0,12,0,0,5,0,0,
"S01015541",85,4,0,112,2,0,44,0,0,9,0,0,2,0,0,
"S01015542",83,6,0,133,13,0,51,1,0,12,0,0,0,0,0,
"S01015543",58,133,0,101,79,0,29,20,0,9,0,0,1,0,0,
"S01015544",90,77,0,159,31,0,75,11,0,15,0,0,2,0,0,
"S01015545",10,3,0,87,4,0,156,0,0,27,0,0,4,0,0,
"S01015546",10,1,0,95,0,0,110,0,0,23,0,0,2,0,0,
"S01015547",3,3,0,50,16,0,82,8,0,14,1,0,3,0,0,
"S01015548",2,0,0,66,16,0,107,3,0,7,0,0,5,0,0,
"S01015549",2,3,0,42,38,0,85,20,0,9,0,0,1,0,0,
"S01015550",31,2,0,188,6,0,101,3,0,24,0,0,10,0,0,
"S01015551",18,8,0,151,14,0,131,7,0,27,0,0,4,0,0,
"S01015552",94,12,0,109,9,0,33,2,0,8,0,0,5,0,0,
"S01015553",77,56,0,98,38,0,24,9,0,7,2,0,4,0,0,
"S01015554",43,47,0,149,36,0,90,8,0,33,2,0,6,0,0,
"S01015555",42,72,0,72,79,0,51,21,0,13,5,0,3,2,0,
"S01015556",66,4,0,144,2,0,89,0,0,23,0,0,2,0,0,
"S01015557",51,6,0,168,14,0,115,3,0,25,1,0,4,0,0,
"S01015558",82,23,0,130,16,0,63,4,0,19,0,0,5,0,0,
"S01015559",49,12,0,64,17,0,39,1,0,7,0,0,2,2,0,
"S01015560",83,7,0,147,1,0,66,6,0,20,0,0,10,0,0,
"S01015561",12,13,0,82,11,0,85,5,0,30,1,0,8,0,0,
"S01015562",15,30,0,75,39,0,44,9,0,25,0,1,11,0,0,
"S01015563",6,3,0,94,6,0,110,0,0,39,0,0,29,0,0,
"S01015564",46,26,0,152,51,0,131,16,0,39,1,0,11,0,0,
"S01015565",40,7,0,133,9,0,66,4,0,15,0,0,6,0,0,
"S01015566",55,76,0,79,63,0,43,8,0,7,0,0,2,0,0,
"S01015567",45,67,0,137,67,0,76,12,0,19,1,0,8,1,0,
"S01015568",18,1,0,86,6,0,87,0,0,36,3,0,14,0,0,
"S01015569",151,3,0,203,15,0,72,2,0,14,1,0,4,0,0,
"S01015570",72,2,0,108,4,0,33,1,0,13,0,0,2,0,0,
"S01015571",63,6,0,126,10,0,69,1,0,18,0,0,9,0,0,
"S01015572",78,29,0,148,29,0,98,7,0,29,1,0,12,0,0,
"S01015573",43,27,0,134,35,0,67,8,0,29,2,0,2,0,0,
"S01015574",56,6,0,183,8,0,130,0,0,37,0,0,12,0,0,
"S01015575",60,4,0,159,13,0,101,10,0,27,1,0,7,0,0,
"S01015576",23,5,0,98,14,0,76,8,0,16,1,0,7,0,0,
"S01015577",51,56,0,76,77,0,50,20,0,7,4,0,3,2,0,
"S01015578",27,4,0,129,2,2,117,0,0,48,0,0,18,0,0,
"S01015579",7,2,0,65,11,0,76,9,0,16,0,0,8,0,0,
"S01015580",72,0,0,104,2,0,45,0,0,11,0,0,1,0,0,
"S01015581",80,4,0,132,4,0,72,1,0,28,1,0,11,0,0,
"S01015582",104,10,0,151,3,0,80,0,0,13,0,0,3,0,0,
"S01015583",49,18,0,110,33,0,50,5,0,17,2,0,6,1,0,
"S01015584",14,7,0,101,16,0,122,8,0,46,0,0,22,0,0,
"S01015585",105,10,0,121,9,0,39,3,0,11,1,0,3,0,0,
"S01015586",73,61,0,94,61,0,36,6,0,7,4,0,1,0,0,
"S01015587",62,2,0,115,6,0,48,2,0,8,0,0,8,0,0,
"S01015588",55,23,0,125,54,0,109,18,0,27,1,0,7,0,0,
"S01015589",51,10,0,112,7,0,56,0,0,11,0,0,4,0,0,
"S01015590",48,63,0,108,58,0,57,15,0,15,2,0,8,0,0,
"S01015591",20,34,0,74,53,0,72,10,0,21,1,0,7,0,0,
"S01015592",39,17,0,134,18,0,72,2,0,26,0,0,6,0,0,
"S01015593",44,101,0,63,50,0,26,13,0,10,2,0,4,0,0,
"S01015594",63,22,0,106,8,0,43,1,0,6,0,0,0,0,0,
"S01015595",75,27,0,177,11,0,61,0,0,14,0,0,3,0,0,
"S01015596",74,39,0,134,35,0,59,9,0,10,2,0,8,0,0,
"S01015597",70,41,0,139,24,0,79,9,0,14,0,0,3,0,0,
"S01015598",39,97,0,106,38,0,74,3,0,24,2,0,11,0,0,
"S01015599",14,2,0,150,5,0,103,1,0,33,0,0,18,0,0,
"S01015600",17,2,0,145,5,0,97,0,1,20,1,0,12,0,0,
"S01015601",118,27,0,164,6,0,54,0,0,22,0,0,1,0,0,
"S01015602",64,70,0,120,34,0,60,11,0,3,0,0,3,0,0,
"S01015603",62,21,0,182,20,0,124,5,0,23,0,0,12,0,0,
"S01015604",81,51,0,147,48,0,88,14,0,19,3,0,7,3,0,
"S01015605",5,1,0,52,2,0,75,2,0,29,0,0,20,0,0,
"S01015606",1,1,0,52,2,0,80,0,0,25,0,0,14,0,0,
"S01015607",13,6,0,95,13,1,113,1,0,40,0,0,30,0,0,
"S01015608",39,7,0,172,11,0,144,6,0,41,0,0,16,0,0,
"S01015609",9,3,0,103,4,0,123,12,0,23,1,0,11,1,0,
"S01015610",3,0,0,73,1,0,118,0,0,10,0,0,2,0,0,
"S01015611",20,7,0,70,6,0,98,4,0,43,0,0,27,0,0,
"S01015612",7,1,0,46,2,0,96,0,0,28,0,0,17,0,0,
"S01015613",57,19,0,188,30,0,132,12,0,38,0,0,6,0,0,
"S01015614",23,16,0,190,31,0,146,9,0,27,1,0,10,0,0,
"S01015615",32,1,0,141,9,0,94,7,0,24,0,0,8,1,0,
"S01015616",51,12,0,112,7,0,72,3,0,20,0,0,2,1,0,
"S01015617",22,113,0,69,118,0,39,18,0,17,2,0,1,0,0,
"S01015618",28,10,0,135,23,0,139,11,0,37,1,0,9,0,0,
"S01015619",30,7,0,189,16,0,127,8,0,31,0,0,8,0,0,
"S01015620",58,49,0,97,73,0,51,19,0,11,1,0,3,0,0,
"S01015621",102,16,0,135,7,0,81,2,0,16,0,0,4,0,0,
"S01015622",47,43,0,174,50,0,108,14,0,41,3,0,12,0,0,
"S01015623",11,5,0,122,5,0,88,1,0,22,2,0,8,0,0,
"S01015624",9,23,0,65,22,0,62,10,0,15,2,0,1,0,0,
"S01015625",36,41,0,126,19,0,66,4,0,22,1,0,10,1,0,
"S01015626",47,43,0,151,45,0,61,5,0,24,0,0,4,0,0,
"S01015627",38,57,0,129,49,0,66,18,0,17,0,0,4,1,0,
"S01015628",26,52,0,81,39,0,58,5,0,12,2,0,10,0,0,
"S01015629",24,10,0,136,22,0,87,4,0,30,0,0,6,0,0,
"S01015630",35,50,0,90,35,0,46,10,0,10,2,0,3,0,0,
"S01015631",26,25,0,105,31,0,85,8,0,19,0,0,7,0,0,
"S01015632",24,12,0,144,21,0,124,7,0,28,3,0,23,1,0,
"S01015633",34,49,0,141,46,0,94,8,0,29,2,0,4,0,0,
"S01015634",27,82,0,87,65,0,48,13,0,12,0,0,4,0,0,
"S01015635",52,50,0,125,39,0,88,16,0,11,1,0,9,0,0,
"S01015636",37,45,0,93,45,0,39,13,0,14,5,0,4,0,0,
"S01015637",84,10,0,135,1,0,73,0,0,20,0,0,3,0,0,
"S01015638",72,3,0,116,4,0,69,1,0,16,0,0,16,1,0,
"S01015639",86,93,0,173,75,0,78,13,0,19,2,0,3,1,0,
"S01015640",12,78,0,46,66,0,45,10,0,6,4,0,5,0,0,
"S01015641",59,12,0,145,20,0,76,5,0,18,5,0,9,0,0,
"S01015642",67,18,0,108,15,0,59,7,0,14,0,0,7,0,0,
"S01015643",12,2,0,111,10,1,131,4,0,48,0,0,22,0,0,
"S01015644",35,19,0,114,20,0,50,1,0,17,0,0,4,0,0,
"S01015645",86,112,0,104,70,0,38,14,0,6,3,0,1,1,0,
"S01015646",77,46,0,123,34,0,57,6,0,7,0,0,5,0,0,
"S01015647",36,47,0,71,31,0,26,10,0,8,0,0,3,0,0,
"S01015648",140,22,0,149,19,0,78,4,0,20,1,0,2,0,0,
"S01015649",65,10,0,100,14,0,27,2,0,5,0,0,4,0,0,
"S01015650",66,27,0,165,25,0,82,6,0,22,2,0,5,0,0,
"S01015651",55,45,0,142,38,0,63,12,0,10,2,0,1,0,0,
"S01015652",79,41,0,201,42,0,72,12,0,16,3,0,2,0,0,
"S01015653",65,85,0,138,69,0,73,11,0,16,0,0,3,0,0,
"S01015654",73,10,0,153,23,0,89,7,0,17,0,0,5,0,0,
"S01015655",27,2,0,162,3,0,121,4,0,29,0,0,14,0,0,
"S01015656",29,106,0,58,110,0,26,20,0,5,3,0,2,0,0,
"S01015657",76,51,0,115,42,0,60,11,0,10,0,0,0,0,0,
"S01015658",45,166,0,54,119,0,24,16,0,7,2,0,2,0,0,
"S01015659",34,24,0,87,35,0,46,19,0,11,0,0,3,0,0,
"S01015660",12,165,0,27,148,0,19,26,0,5,1,0,0,1,0,
"S01015661",34,41,0,114,67,0,89,24,0,21,3,0,8,1,0,
"S01015662",22,36,0,76,56,0,68,14,0,7,3,0,17,0,0,
"S01015663",16,2,0,133,3,0,68,0,0,16,0,0,7,0,0,
"S01015664",39,0,0,103,2,0,52,0,0,18,0,0,3,0,0,
"S01015665",100,95,0,129,42,0,53,6,0,12,0,0,1,0,0,
"S01015666",58,23,0,132,20,0,73,3,0,16,2,0,4,0,0,
"S01015667",83,36,0,161,12,0,72,3,0,13,0,0,2,0,0,
"S01015668",63,3,0,100,3,0,59,2,0,12,0,0,5,0,0,
"S01015669",76,41,0,154,32,0,66,6,0,14,0,0,10,1,0,
"S01015670",85,3,0,137,1,0,58,2,0,11,0,0,1,0,0,
"S01015671",108,8,0,149,3,0,68,0,0,20,1,0,2,0,0,
"S01015672",47,4,0,117,13,0,80,1,0,21,0,0,4,0,0,
"S01015673",15,4,0,147,0,0,202,1,0,42,0,0,12,0,0,
"S01015674",12,1,0,75,0,0,96,1,0,30,0,0,8,0,0,
"S01015675",25,2,0,156,0,0,118,2,0,21,0,0,4,0,0,
"S01015676",9,0,0,90,0,0,146,0,0,36,0,0,16,0,0,
"S01015677",14,0,0,121,0,0,146,0,0,22,0,0,10,0,0,
"S01015678",23,1,0,99,10,0,91,5,0,20,0,0,7,0,0,
"S01015679",15,0,0,105,2,0,97,1,0,21,0,0,2,0,0,
"S01015680",11,21,0,75,26,0,62,10,0,15,1,0,7,0,0,
"S01015681",94,14,0,116,14,0,55,5,0,8,0,0,2,0,0,
"S01015682",134,24,0,141,16,0,70,0,0,11,1,0,3,0,0,
"S01015683",141,74,0,141,21,1,39,5,0,10,0,0,7,1,0,
"S01015684",115,40,0,117,30,0,39,5,0,8,0,0,1,1,0,
"S01015685",48,23,0,81,22,0,58,4,0,11,0,0,6,0,0,
"S01015686",17,3,0,90,3,0,91,1,0,28,0,0,5,0,0,
"S01015687",30,6,0,124,8,0,113,1,0,18,0,0,2,0,0,
"S01015688",92,25,0,70,24,0,29,3,0,4,1,0,1,0,0,
"S01015689",58,67,0,37,54,0,17,10,0,1,1,0,2,0,0,
"S01015690",70,46,0,95,24,0,50,1,0,10,0,0,2,0,0,
"S01015691",74,70,0,108,48,0,55,6,0,7,0,0,3,1,0,
"S01015692",58,71,0,164,37,0,115,5,0,15,0,0,6,0,0,
"S01015693",45,167,0,35,99,0,5,21,0,2,2,0,0,2,0,
"S01015694",22,213,0,37,136,0,17,14,0,1,5,0,2,2,0,
"S01015695",54,93,0,48,93,0,27,17,0,8,0,0,3,3,0,
"S01015696",20,40,1,71,58,0,48,8,0,10,2,0,7,0,0,
"S01015697",30,171,0,95,123,0,65,22,0,12,10,0,1,2,0,
"S01015698",31,102,1,56,143,0,35,41,0,10,8,0,2,0,0,
"S01015699",39,4,0,125,14,0,142,2,0,31,2,0,16,1,0,
"S01015700",24,24,0,92,62,0,70,18,0,12,4,0,6,1,0,
"S01015701",25,27,0,60,36,0,85,11,0,15,0,0,7,0,0,
"S01015702",14,43,0,90,118,0,93,30,0,19,6,0,4,3,0,
"S01015703",25,20,0,93,41,0,92,4,0,18,3,0,8,1,0,
"S01015704",19,5,0,116,5,0,140,2,0,31,1,0,13,0,0,
"S01015705",15,0,0,67,5,0,102,0,1,29,0,0,9,0,0,
"S01015706",4,2,0,41,11,0,105,1,0,16,1,0,5,1,0,
"S01015707",8,0,0,41,6,0,124,2,0,21,0,0,5,0,0,
"S01015708",31,0,0,137,2,0,77,1,0,17,0,0,6,0,0,
"S01015709",72,55,0,132,64,0,98,10,0,22,2,0,5,1,0,
"S01015710",24,34,0,69,43,0,41,13,0,8,1,0,5,0,0,
"S01015711",25,8,0,74,17,0,85,6,0,18,0,0,6,0,0,
"S01015712",8,4,0,101,8,0,177,1,0,17,0,0,6,0,0,
"S01015713",3,3,0,65,2,0,121,0,0,11,0,0,5,0,0,
"S01015714",16,9,0,82,18,3,133,6,0,39,1,0,20,0,0,
"S01015715",50,20,0,197,23,0,135,7,0,34,0,0,11,1,0,
"S01015716",67,38,0,128,41,0,57,7,0,16,2,0,8,0,0,
"S01015717",48,4,0,183,4,0,107,2,0,19,0,0,12,0,0,
"S01015718",7,0,0,80,2,0,129,0,1,37,0,0,13,0,0,
"S01015719",3,5,0,72,28,0,116,6,0,21,0,0,6,0,0,
"S01015720",19,10,0,124,18,0,91,0,0,12,0,0,3,0,0,
"S01015721",17,0,0,109,1,0,96,0,0,15,0,0,5,0,0,
"S01015722",54,60,1,133,72,0,79,14,0,18,2,0,5,0,0,
"S01015723",67,14,0,157,19,0,70,1,0,20,1,0,3,0,0,
"S01015724",56,43,0,108,39,0,78,12,0,19,1,0,2,0,0,
"S01015725",29,0,0,178,7,0,128,3,0,10,0,0,6,0,0,
"S01015726",30,63,0,79,90,0,59,20,0,12,3,0,3,0,0,
"S01015727",9,26,0,59,64,0,81,15,0,16,4,0,11,0,0,
"S01015728",26,5,0,165,15,0,149,4,0,33,0,0,10,0,0,
"S01015729",26,41,0,137,71,0,117,17,0,22,1,0,7,0,0,
"S01015730",14,28,0,120,75,0,166,14,0,36,2,0,11,0,0,
"S01015731",39,215,0,96,148,0,36,15,0,8,5,0,1,1,0,
"S01015732",28,2,0,132,8,0,93,1,0,12,0,0,9,0,0,
"S01015733",10,3,0,100,3,0,101,0,0,19,0,0,3,0,0,
"S01015734",20,28,0,165,27,0,129,1,0,24,0,0,9,0,0,
"S01015735",10,9,0,71,24,0,95,8,0,20,1,0,5,0,0,
"S01015736",20,2,0,146,2,0,135,0,0,19,1,0,6,0,0,
"S01015737",7,31,0,60,49,0,108,13,0,10,1,0,1,0,0,
"S01015738",20,0,0,153,2,0,140,0,0,23,0,0,8,0,0,
"S01015739",21,8,0,99,26,0,79,14,0,9,0,0,3,0,0,
"S01015740",20,49,0,66,91,0,87,17,0,27,4,0,6,0,0,
"S01015741",13,2,0,134,8,0,206,3,0,38,0,0,7,0,0,
"S01015742",17,47,0,103,44,0,104,9,0,24,0,0,10,1,0,
"S01015743",21,33,0,119,47,0,123,10,0,24,2,0,12,2,0,
"S01015744",5,4,0,55,22,0,146,16,0,39,0,0,17,0,0,
"S01015745",24,1,0,107,3,0,89,0,0,23,0,0,11,0,0,
"S01015746",27,1,0,98,4,0,100,0,0,19,0,0,24,0,0,
"S01015747",17,22,0,120,62,0,172,13,0,31,0,0,4,0,0,
"S01015748",35,3,0,203,1,0,107,0,0,10,0,0,7,0,0,
"S01015749",25,10,0,133,19,0,138,9,0,27,0,0,9,1,0,
"S01015750",31,21,0,87,64,0,49,21,0,12,5,0,0,1,0,
"S01015751",17,0,0,121,4,0,173,1,0,30,0,0,12,0,0,
"S01015752",15,0,0,103,5,0,142,6,0,49,0,0,6,0,0,
"S01015753",21,6,0,89,29,0,88,19,0,35,5,0,7,0,0,
"S01015754",36,3,0,189,11,0,135,3,0,38,0,0,2,0,0,
"S01015755",51,6,0,173,4,0,107,1,0,21,0,0,8,0,0,
"S01015756",58,10,0,189,16,0,86,1,0,17,0,0,6,0,0,
"S01015757",32,6,0,145,5,0,86,2,0,7,0,0,4,0,0,
"S01015758",7,21,0,49,170,0,41,46,0,20,4,0,5,1,0,
"S01015759",4,4,0,57,19,0,62,4,0,17,1,0,5,1,0,
"S01015760",25,1,0,162,0,0,141,3,0,31,0,0,7,0,0,
"S01015761",14,0,0,98,2,0,99,0,0,25,0,0,6,0,0,
"S01015762",16,29,0,68,85,0,64,21,0,12,3,0,5,0,0,
"S01015763",16,21,0,107,54,0,107,13,0,26,0,0,9,0,0,
"S01015764",20,29,0,94,37,0,123,7,0,28,0,0,20,0,0,
"S01015765",23,0,0,127,4,0,153,1,0,22,1,0,8,0,0,
"S01015766",21,7,0,115,10,0,96,1,0,15,0,0,8,0,0,
"S01015767",18,5,0,82,19,0,82,1,0,26,1,0,7,0,0,
"S01015768",25,5,0,135,10,0,123,2,0,18,0,0,10,0,0,
"S01015769",22,0,0,111,1,0,125,2,0,21,0,0,8,0,0,
"S01015770",32,7,0,141,23,0,126,6,0,32,0,0,9,0,0,
"S01015771",16,0,0,98,7,0,154,1,0,45,2,0,16,0,0,
"S01015772",21,15,0,139,43,1,143,13,0,42,0,0,19,0,0,
"S01015773",45,0,0,129,1,0,117,1,0,24,0,0,4,0,0,
"S01015774",45,29,0,153,37,0,114,3,0,15,0,0,7,0,0,
"S01015775",25,0,0,116,10,0,107,1,0,26,0,0,6,0,0,
"S01015776",47,14,0,175,25,0,134,5,0,36,2,0,6,0,0,
"S01015777",62,4,0,154,3,0,118,2,0,26,0,0,8,0,0,
"S01015778",46,1,0,142,3,0,88,0,0,21,0,0,6,0,0,
"S01015779",32,0,0,137,1,0,122,1,0,25,0,0,11,0,0,
"S01015780",49,29,0,123,34,0,78,9,0,9,0,0,7,0,0,
"S01015781",37,25,0,140,15,0,91,0,0,19,0,0,9,0,0,
"S01015782",26,47,0,101,22,0,75,1,0,8,0,0,2,0,0,
"S01015783",31,2,0,148,2,0,102,0,0,14,0,0,2,0,0,
"S01015784",27,0,0,102,1,0,54,0,0,9,0,0,4,0,0,
"S01015785",20,66,0,137,36,0,106,3,0,24,3,0,6,0,0,
"S01015786",36,67,1,110,67,0,82,9,0,25,2,0,4,0,0,
"S01015787",38,13,0,121,21,0,58,5,0,12,0,0,5,0,0,
"S01015788",41,137,0,68,135,0,34,26,0,7,1,0,0,1,0,
"S01015789",61,59,0,149,73,0,47,25,0,9,0,0,3,0,0,
"S01015790",88,83,0,172,51,0,65,9,0,19,1,0,4,2,0,
"S01015791",82,50,6,137,54,7,55,8,2,11,0,0,5,0,0,
"S01015792",6,25,0,57,39,0,80,14,0,27,0,0,6,0,0,
"S01015793",6,1,0,53,3,0,124,0,0,30,0,0,9,0,0,
"S01015794",18,4,0,115,7,0,112,5,0,24,0,0,4,0,0,
