SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans",,,,,"Number of cars or vans in household: One car or van",,,,,"Number of cars or vans in household: Two or more cars or vans",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01017948",49,0,0,0,0,0,194,0,0,0,0,0,118,34,12,49,194,118,34,12,
"S01017949",33,0,0,0,0,0,148,0,0,0,0,0,121,43,16,33,148,121,43,16,
"S01017950",52,0,0,0,0,0,165,0,0,0,0,0,94,25,6,52,165,94,25,6,
"S01017951",35,0,0,0,0,0,133,0,0,0,0,0,130,44,14,35,133,130,44,14,
"S01017952",75,0,0,0,0,0,124,0,0,0,0,0,53,10,2,75,124,53,10,2,
"S01017953",107,0,0,0,0,0,104,0,0,0,0,0,25,7,2,107,104,25,7,2,
"S01017954",105,0,0,0,0,0,102,0,0,0,0,0,42,9,2,105,102,42,9,2,
"S01017955",132,0,0,0,0,0,156,0,0,0,0,0,47,13,4,132,156,47,13,4,
"S01017956",74,0,0,0,0,0,115,0,0,0,0,0,56,13,6,74,115,56,13,6,
"S01017957",80,0,0,0,0,0,172,0,0,0,0,0,77,24,2,80,172,77,24,2,
"S01017958",90,0,0,0,0,0,151,0,0,0,0,0,45,8,2,90,151,45,8,2,
"S01017959",100,0,0,0,0,0,117,0,0,0,0,0,46,3,2,100,117,46,3,2,
"S01017960",115,0,0,0,0,0,145,0,0,0,0,0,51,8,4,115,145,51,8,4,
"S01017961",52,0,0,0,0,0,134,0,0,0,0,0,87,15,10,52,134,87,15,10,
"S01017962",25,0,0,0,0,0,152,0,0,0,0,0,91,22,12,25,152,91,22,12,
"S01017963",47,0,0,0,0,0,155,0,0,0,0,0,124,46,25,47,155,124,46,25,
"S01017964",43,0,0,0,0,0,113,0,0,0,0,0,89,33,15,43,113,89,33,15,
"S01017965",24,0,0,0,0,0,137,0,0,0,0,0,87,37,18,24,137,87,37,18,
"S01017966",28,0,0,0,0,0,123,0,0,0,0,0,105,39,25,28,123,105,39,25,
"S01017967",40,0,0,0,0,0,163,0,0,0,0,0,146,48,21,40,163,146,48,21,
"S01017968",81,0,0,0,0,0,127,0,0,0,0,0,57,17,6,81,127,57,17,6,
"S01017969",19,0,0,0,0,0,108,0,0,0,0,0,100,36,15,19,108,100,36,15,
"S01017970",37,0,0,0,0,0,113,0,0,0,0,0,81,35,9,37,113,81,35,9,
"S01017971",60,0,0,0,0,0,238,0,0,0,0,0,133,38,12,60,238,133,38,12,
"S01017972",24,0,0,0,0,0,130,0,0,0,0,0,136,46,26,24,130,136,46,26,
"S01017973",30,0,0,0,0,0,121,0,0,0,0,0,143,24,16,30,121,143,24,16,
"S01017974",25,0,0,0,0,0,116,0,0,0,0,0,106,31,17,25,116,106,31,17,
"S01017975",163,0,0,0,0,0,209,0,0,0,0,0,39,8,1,163,209,39,8,1,
"S01017976",112,0,0,0,0,0,197,0,0,0,0,0,53,20,0,112,197,53,20,0,
"S01017977",109,0,0,0,0,0,157,0,0,0,0,0,59,14,2,109,157,59,14,2,
"S01017978",55,0,0,0,0,0,111,0,0,0,0,0,48,14,7,55,111,48,14,7,
"S01017979",84,0,0,0,0,0,211,0,0,0,0,0,94,17,8,84,211,94,17,8,
"S01017980",165,0,0,0,0,0,199,0,0,0,0,0,70,16,2,165,199,70,16,2,
"S01017981",92,0,0,0,0,0,124,0,0,0,0,0,45,14,2,92,124,45,14,2,
"S01017982",63,0,0,0,0,0,162,0,0,0,0,0,67,8,10,63,162,67,8,10,
"S01017983",52,0,0,0,0,0,122,0,0,0,0,0,50,10,0,52,122,50,10,0,
"S01017984",34,0,0,0,0,0,107,0,0,0,0,0,58,12,0,34,107,58,12,0,
"S01017985",32,0,0,0,0,0,146,0,0,0,0,0,103,15,5,32,146,103,15,5,
"S01017986",34,0,0,0,0,0,111,0,0,0,0,0,88,23,7,34,111,88,23,7,
"S01017987",47,0,0,0,0,0,186,0,0,0,0,0,135,39,18,47,186,135,39,18,
"S01017988",52,0,0,0,0,0,199,0,0,0,0,0,100,31,9,52,199,100,31,9,
"S01017989",47,0,0,0,0,0,117,0,0,0,0,0,51,16,8,47,117,51,16,8,
"S01017990",32,0,0,0,0,0,162,0,0,0,0,0,125,25,15,32,162,125,25,15,
"S01017991",64,0,0,0,0,0,117,0,0,0,0,0,87,34,15,64,117,87,34,15,
"S01017992",38,0,0,0,0,0,148,0,0,0,0,0,140,41,13,38,148,140,41,13,
"S01017993",64,0,0,0,0,0,220,0,0,0,0,0,153,40,12,64,220,153,40,12,
"S01017994",45,0,0,0,0,0,146,0,0,0,0,0,79,13,6,45,146,79,13,6,
"S01017995",13,0,0,0,0,0,82,0,0,0,0,0,86,27,12,13,82,86,27,12,
"S01017996",17,0,0,0,0,0,81,0,0,0,0,0,105,31,7,17,81,105,31,7,
"S01017997",21,0,0,0,0,0,107,0,0,0,0,0,126,25,6,21,107,126,25,6,
"S01017998",26,0,0,0,0,0,87,0,0,0,0,0,97,21,4,26,87,97,21,4,
"S01017999",4,0,0,0,0,0,72,0,0,0,0,0,102,43,16,4,72,102,43,16,
"S01018000",9,0,0,0,0,0,97,0,0,0,0,0,161,52,13,9,97,161,52,13,
"S01018001",21,0,0,0,0,0,131,0,0,0,0,0,115,35,3,21,131,115,35,3,
"S01018002",11,0,0,0,0,0,88,0,0,0,0,0,70,38,7,11,88,70,38,7,
"S01018003",13,0,0,0,0,0,76,0,0,0,0,0,85,25,9,13,76,85,25,9,
"S01018004",6,0,0,0,0,0,70,0,0,0,0,0,105,35,11,6,70,105,35,11,
"S01018005",59,0,0,0,0,0,226,0,0,0,0,0,159,19,4,59,226,159,19,4,
"S01018006",41,0,0,0,0,0,142,0,0,0,0,0,86,23,5,41,142,86,23,5,
"S01018007",6,0,0,0,0,0,40,0,0,0,0,0,120,25,14,6,40,120,25,14,
"S01018008",20,0,0,0,0,0,126,0,0,0,0,0,135,50,15,20,126,135,50,15,
"S01018009",59,0,0,0,0,0,249,0,0,0,0,0,161,25,6,59,249,161,25,6,
"S01018010",25,0,0,0,0,0,83,0,0,0,0,0,91,23,3,25,83,91,23,3,
"S01018011",52,0,0,0,0,0,192,0,0,0,0,0,122,20,2,52,192,122,20,2,
"S01018012",60,0,0,0,0,0,137,0,0,0,0,0,101,10,7,60,137,101,10,7,
"S01018013",80,0,0,0,0,0,123,0,0,0,0,0,79,31,4,80,123,79,31,4,
"S01018014",69,0,0,0,0,0,167,0,0,0,0,0,80,15,6,69,167,80,15,6,
"S01018015",108,0,0,0,0,0,133,0,0,0,0,0,36,7,1,108,133,36,7,1,
"S01018016",101,0,0,0,0,0,221,0,0,0,0,0,74,10,3,101,221,74,10,3,
"S01018017",263,0,0,0,0,0,222,0,0,0,0,0,38,7,6,263,222,38,7,6,
"S01018018",185,0,0,0,0,0,207,0,0,0,0,0,42,4,5,185,207,42,4,5,
"S01018019",49,0,0,0,0,0,124,0,0,0,0,0,86,19,3,49,124,86,19,3,
"S01018020",47,0,0,0,0,0,101,0,0,0,0,0,66,14,4,47,101,66,14,4,
"S01018021",88,0,0,0,0,0,132,0,0,0,0,0,48,12,2,88,132,48,12,2,
"S01018022",25,0,0,0,0,0,118,0,0,0,0,0,83,18,6,25,118,83,18,6,
"S01018023",28,0,0,0,0,0,118,0,0,0,0,0,76,21,4,28,118,76,21,4,
"S01018024",86,0,0,0,0,0,150,0,0,0,0,0,70,11,3,86,150,70,11,3,
"S01018025",101,0,0,0,0,0,180,0,0,0,0,0,90,16,9,101,180,90,16,9,
"S01018026",169,0,0,0,0,0,178,0,0,0,0,0,102,31,4,169,178,102,31,4,
"S01018027",112,0,0,0,0,0,127,0,0,0,0,0,51,13,2,112,127,51,13,2,
"S01018028",132,0,0,0,0,0,129,0,0,0,0,0,81,18,7,132,129,81,18,7,
"S01018029",125,0,0,0,0,0,126,0,0,0,0,0,52,7,5,125,126,52,7,5,
"S01018030",154,0,0,0,0,0,163,0,0,0,0,0,67,19,4,154,163,67,19,4,
"S01018031",85,0,0,0,0,0,87,0,0,0,0,0,37,2,1,85,87,37,2,1,
"S01018032",140,0,0,0,0,0,187,0,0,0,0,0,61,7,8,140,187,61,7,8,
"S01018033",68,0,0,0,0,0,141,0,0,0,0,0,92,21,5,68,141,92,21,5,
"S01018034",97,0,0,0,0,0,129,0,0,0,0,0,42,9,2,97,129,42,9,2,
"S01018035",138,0,0,0,0,0,191,0,0,0,0,0,77,23,4,138,191,77,23,4,
"S01018036",113,0,0,0,0,0,130,0,0,0,0,0,53,10,1,113,130,53,10,1,
"S01018037",138,0,0,0,0,0,134,0,0,0,0,0,46,2,0,138,134,46,2,0,
"S01018038",138,0,0,0,0,0,115,0,0,0,0,0,37,11,0,138,115,37,11,0,
"S01018039",35,0,0,0,0,0,135,0,0,0,0,0,92,15,11,35,135,92,15,11,
"S01018040",32,0,0,0,0,0,112,0,0,0,0,0,93,22,6,32,112,93,22,6,
"S01018041",63,0,0,0,0,0,204,0,0,0,0,0,128,35,2,63,204,128,35,2,
"S01018042",59,0,0,0,0,0,132,0,0,0,0,0,87,15,9,59,132,87,15,9,
"S01018043",45,0,0,0,0,0,132,0,0,0,0,0,94,16,5,45,132,94,16,5,
"S01018044",59,0,0,0,0,0,124,0,0,0,0,0,88,13,6,59,124,88,13,6,
"S01018045",26,0,0,0,0,0,108,0,0,0,0,0,107,28,12,26,108,107,28,12,
"S01018046",115,0,0,0,0,0,190,0,0,0,0,0,52,11,4,115,190,52,11,4,
"S01018047",91,0,0,0,0,0,180,0,0,0,0,0,97,11,6,91,180,97,11,6,
"S01018048",169,0,0,0,0,0,207,0,0,0,0,0,38,8,2,169,207,38,8,2,
"S01018049",221,0,0,0,0,0,97,0,0,0,0,0,15,1,0,221,97,15,1,0,
"S01018050",57,0,0,0,0,0,156,0,0,0,0,0,78,12,4,57,156,78,12,4,
"S01018051",100,0,0,0,0,0,135,0,0,0,0,0,38,4,0,100,135,38,4,0,
"S01018052",233,0,0,0,0,0,177,0,0,0,0,0,46,2,0,233,177,46,2,0,
"S01018053",127,0,0,0,0,0,160,0,0,0,0,0,64,11,2,127,160,64,11,2,
"S01018054",161,0,0,0,0,0,260,0,0,0,0,0,73,6,6,161,260,73,6,6,
"S01018055",68,0,0,0,0,0,158,0,0,0,0,0,92,19,5,68,158,92,19,5,
"S01018056",49,0,0,0,0,0,105,0,0,0,0,0,39,5,1,49,105,39,5,1,
"S01018057",71,0,0,0,0,0,114,0,0,0,0,0,62,18,1,71,114,62,18,1,
"S01018058",22,0,0,0,0,0,59,0,0,0,0,0,68,14,2,22,59,68,14,2,
"S01018059",22,0,0,0,0,0,87,0,0,0,0,0,124,34,9,22,87,124,34,9,
"S01018060",244,0,0,0,0,0,190,0,0,0,0,0,45,15,2,244,190,45,15,2,
"S01018061",271,0,0,0,0,0,174,0,0,0,0,0,33,6,1,271,174,33,6,1,
"S01018062",112,0,0,0,0,0,92,0,0,0,0,0,24,8,1,112,92,24,8,1,
"S01018063",234,0,0,0,0,0,155,0,0,0,0,0,46,11,3,234,155,46,11,3,
"S01018064",228,0,0,0,0,0,197,0,0,0,0,0,48,4,3,228,197,48,4,3,
"S01018065",165,0,0,0,0,0,75,0,0,0,0,0,17,0,0,165,75,17,0,0,
"S01018066",324,0,0,0,0,0,150,0,0,0,0,0,20,2,1,324,150,20,2,1,
"S01018067",226,0,0,0,0,0,76,0,0,0,0,0,7,3,0,226,76,7,3,0,
"S01018068",297,0,0,0,0,0,177,0,0,0,0,0,32,6,5,297,177,32,6,5,
"S01018069",184,0,0,0,0,0,84,0,0,0,0,0,24,7,2,184,84,24,7,2,
"S01018070",98,0,0,0,0,0,152,0,0,0,0,0,45,5,1,98,152,45,5,1,
"S01018071",72,0,0,0,0,0,79,0,0,0,0,0,30,0,3,72,79,30,0,3,
"S01018072",179,0,0,0,0,0,158,0,0,0,0,0,45,7,1,179,158,45,7,1,
"S01018073",141,0,0,0,0,0,176,0,0,0,0,0,40,3,4,141,176,40,3,4,
"S01018074",67,0,0,0,0,0,108,0,0,0,0,0,44,15,3,67,108,44,15,3,
"S01018075",31,0,0,0,0,0,82,0,0,0,0,0,77,12,3,31,82,77,12,3,
"S01018076",149,0,0,0,0,0,136,0,0,0,0,0,45,11,7,149,136,45,11,7,
"S01018077",102,0,0,0,0,0,106,0,0,0,0,0,36,2,0,102,106,36,2,0,
"S01018078",142,0,0,0,0,0,164,0,0,0,0,0,90,14,4,142,164,90,14,4,
"S01018079",230,0,0,0,0,0,161,0,0,0,0,0,55,8,1,230,161,55,8,1,
"S01018080",160,0,0,0,0,0,105,0,0,0,0,0,38,4,4,160,105,38,4,4,
"S01018081",113,0,0,0,0,0,196,0,0,0,0,0,46,9,4,113,196,46,9,4,
"S01018082",20,0,0,0,0,0,111,0,0,0,0,0,97,13,5,20,111,97,13,5,
"S01018083",109,0,0,0,0,0,154,0,0,0,0,0,121,21,6,109,154,121,21,6,
"S01018084",6,0,0,0,0,0,83,0,0,0,0,0,88,13,7,6,83,88,13,7,
"S01018085",95,0,0,0,0,0,130,0,0,0,0,0,63,14,5,95,130,63,14,5,
"S01018086",43,0,0,0,0,0,140,0,0,0,0,0,80,13,0,43,140,80,13,0,
"S01018087",137,0,0,0,0,0,77,0,0,0,0,0,25,2,1,137,77,25,2,1,
"S01018088",229,0,0,0,0,0,123,0,0,0,0,0,21,0,0,229,123,21,0,0,
"S01018089",196,0,0,0,0,0,119,0,0,0,0,0,38,8,2,196,119,38,8,2,
"S01018090",81,0,0,0,0,0,164,0,0,0,0,0,92,21,6,81,164,92,21,6,
"S01018091",45,0,0,0,0,0,94,0,0,0,0,0,69,17,0,45,94,69,17,0,
"S01018092",36,0,0,0,0,0,116,0,0,0,0,0,82,21,4,36,116,82,21,4,
"S01018093",153,0,0,0,0,0,167,0,0,0,0,0,71,9,7,153,167,71,9,7,
"S01018094",117,0,0,0,0,0,132,0,0,0,0,0,56,9,2,117,132,56,9,2,
"S01018095",92,0,0,0,0,0,152,0,0,0,0,0,54,10,5,92,152,54,10,5,
"S01018096",83,0,0,0,0,0,70,0,0,0,0,0,25,3,0,83,70,25,3,0,
"S01018097",85,0,0,0,0,0,114,0,0,0,0,0,45,10,3,85,114,45,10,3,
"S01018098",173,0,0,0,0,0,147,0,0,0,0,0,53,14,2,173,147,53,14,2,
"S01018099",154,0,0,0,0,0,150,0,0,0,0,0,62,15,4,154,150,62,15,4,
"S01018100",83,0,0,0,0,0,99,0,0,0,0,0,41,18,1,83,99,41,18,1,
"S01018101",130,0,0,0,0,0,118,0,0,0,0,0,53,12,2,130,118,53,12,2,
"S01018102",141,0,0,0,0,0,136,0,0,0,0,0,72,18,7,141,136,72,18,7,
"S01018103",90,0,0,0,0,0,104,0,0,0,0,0,47,11,1,90,104,47,11,1,
"S01018104",85,0,0,0,0,0,123,0,0,0,0,0,58,15,1,85,123,58,15,1,
"S01018105",83,0,0,0,0,0,95,0,0,0,0,0,51,13,5,83,95,51,13,5,
"S01018106",15,0,0,0,0,0,128,0,0,0,0,0,163,36,28,15,128,163,36,28,
"S01018107",25,0,0,0,0,0,193,0,0,0,0,0,174,34,7,25,193,174,34,7,
"S01018108",71,0,0,0,0,0,136,0,0,0,0,0,100,15,9,71,136,100,15,9,
"S01018109",16,0,0,0,0,0,84,0,0,0,0,0,102,25,8,16,84,102,25,8,
"S01018110",8,0,0,0,0,0,100,0,0,0,0,0,123,18,10,8,100,123,18,10,
"S01018111",45,0,0,0,0,0,206,0,0,0,0,0,136,26,10,45,206,136,26,10,
"S01018112",84,0,0,0,0,0,138,0,0,0,0,0,80,16,3,84,138,80,16,3,
"S01018113",155,0,0,0,0,0,168,0,0,0,0,0,56,10,3,155,168,56,10,3,
"S01018114",69,0,0,0,0,0,159,0,0,0,0,0,84,15,7,69,159,84,15,7,
"S01018115",135,0,0,0,0,0,161,0,0,0,0,0,69,7,9,135,161,69,7,9,
"S01018116",27,0,0,0,0,0,92,0,0,0,0,0,61,17,3,27,92,61,17,3,
"S01018117",30,0,0,0,0,0,136,0,0,0,0,0,76,22,2,30,136,76,22,2,
"S01018118",28,0,0,0,0,0,152,0,0,0,0,0,103,32,5,28,152,103,32,5,
"S01018119",27,0,0,0,0,0,115,0,0,0,0,0,98,21,5,27,115,98,21,5,
"S01018120",59,0,0,0,0,0,126,0,0,0,0,0,53,7,8,59,126,53,7,8,
"S01018121",109,0,0,0,0,0,121,0,0,0,0,0,42,12,1,109,121,42,12,1,
"S01018122",61,0,0,0,0,0,115,0,0,0,0,0,50,13,2,61,115,50,13,2,
"S01018123",111,0,0,0,0,0,171,0,0,0,0,0,69,18,13,111,171,69,18,13,
"S01018124",57,0,0,0,0,0,111,0,0,0,0,0,53,10,2,57,111,53,10,2,
"S01018125",76,0,0,0,0,0,128,0,0,0,0,0,63,8,1,76,128,63,8,1,
"S01018126",26,0,0,0,0,0,152,0,0,0,0,0,118,35,7,26,152,118,35,7,
"S01018127",83,0,0,0,0,0,167,0,0,0,0,0,87,19,4,83,167,87,19,4,
"S01018128",48,0,0,0,0,0,145,0,0,0,0,0,74,11,6,48,145,74,11,6,
"S01018129",31,0,0,0,0,0,78,0,0,0,0,0,67,16,4,31,78,67,16,4,
"S01018130",43,0,0,0,0,0,99,0,0,0,0,0,65,13,5,43,99,65,13,5,
"S01018131",17,0,0,0,0,0,117,0,0,0,0,0,70,21,4,17,117,70,21,4,
"S01018132",5,0,0,0,0,0,82,0,0,0,0,0,125,17,7,5,82,125,17,7,
"S01018133",22,0,0,0,0,0,135,0,0,0,0,0,95,14,9,22,135,95,14,9,
"S01018134",17,0,0,0,0,0,103,0,0,0,0,0,100,11,3,17,103,100,11,3,
"S01018135",27,0,0,0,0,0,103,0,0,0,0,0,94,16,6,27,103,94,16,6,
"S01018136",29,0,0,0,0,0,118,0,0,0,0,0,81,17,2,29,118,81,17,2,
"S01018137",25,0,0,0,0,0,148,0,0,0,0,0,116,26,2,25,148,116,26,2,
"S01018138",25,0,0,0,0,0,112,0,0,0,0,0,73,14,7,25,112,73,14,7,
"S01018139",32,0,0,0,0,0,126,0,0,0,0,0,58,6,4,32,126,58,6,4,
"S01018140",59,0,0,0,0,0,149,0,0,0,0,0,82,12,5,59,149,82,12,5,
"S01018141",13,0,0,0,0,0,69,0,0,0,0,0,41,12,4,13,69,41,12,4,
"S01018142",58,0,0,0,0,0,162,0,0,0,0,0,106,19,9,58,162,106,19,9,
"S01018143",45,0,0,0,0,0,136,0,0,0,0,0,62,13,4,45,136,62,13,4,
"S01018144",104,0,0,0,0,0,183,0,0,0,0,0,33,7,4,104,183,33,7,4,
"S01018145",76,0,0,0,0,0,161,0,0,0,0,0,97,34,10,76,161,97,34,10,
"S01018146",47,0,0,0,0,0,162,0,0,0,0,0,71,15,1,47,162,71,15,1,
"S01018147",83,0,0,0,0,0,95,0,0,0,0,0,26,11,3,83,95,26,11,3,
"S01018148",80,0,0,0,0,0,152,0,0,0,0,0,70,15,3,80,152,70,15,3,
"S01018149",91,0,0,0,0,0,137,0,0,0,0,0,63,13,4,91,137,63,13,4,
"S01018150",55,0,0,0,0,0,150,0,0,0,0,0,78,13,5,55,150,78,13,5,
"S01018151",86,0,0,0,0,0,166,0,0,0,0,0,69,20,4,86,166,69,20,4,
"S01018152",110,0,0,0,0,0,200,0,0,0,0,0,110,29,16,110,200,110,29,16,
"S01018153",37,0,0,0,0,0,181,0,0,0,0,0,140,37,13,37,181,140,37,13,
"S01018154",85,0,0,0,0,0,150,0,0,0,0,0,74,15,1,85,150,74,15,1,
"S01018155",42,0,0,0,0,0,100,0,0,0,0,0,49,6,3,42,100,49,6,3,
"S01018156",90,0,0,0,0,0,143,0,0,0,0,0,77,9,5,90,143,77,9,5,
"S01018157",58,0,0,0,0,0,81,0,0,0,0,0,37,10,3,58,81,37,10,3,
"S01018158",49,0,0,0,0,0,91,0,0,0,0,0,43,15,2,49,91,43,15,2,
"S01018159",76,0,0,0,0,0,127,0,0,0,0,0,82,10,2,76,127,82,10,2,
"S01018160",114,0,0,0,0,0,151,0,0,0,0,0,62,17,7,114,151,62,17,7,
"S01018161",71,0,0,0,0,0,168,0,0,0,0,0,89,15,6,71,168,89,15,6,
"S01018162",118,0,0,0,0,0,141,0,0,0,0,0,60,21,5,118,141,60,21,5,
"S01018163",101,0,0,0,0,0,165,0,0,0,0,0,65,9,7,101,165,65,9,7,
"S01018164",49,0,0,0,0,0,178,0,0,0,0,0,170,33,17,49,178,170,33,17,
"S01018165",88,0,0,0,0,0,183,0,0,0,0,0,87,14,3,88,183,87,14,3,
"S01018166",42,0,0,0,0,0,155,0,0,0,0,0,73,26,5,42,155,73,26,5,
"S01018167",25,0,0,0,0,0,182,0,0,0,0,0,154,22,12,25,182,154,22,12,
"S01018168",60,0,0,0,0,0,151,0,0,0,0,0,82,16,7,60,151,82,16,7,
"S01018169",26,0,0,0,0,0,126,0,0,0,0,0,125,19,9,26,126,125,19,9,
"S01018170",16,0,0,0,0,0,114,0,0,0,0,0,88,15,7,16,114,88,15,7,
"S01018171",6,0,0,0,0,0,96,0,0,0,0,0,107,14,5,6,96,107,14,5,
"S01018172",22,0,0,0,0,0,138,0,0,0,0,0,95,8,2,22,138,95,8,2,
"S01018173",41,0,0,0,0,0,107,0,0,0,0,0,75,14,2,41,107,75,14,2,
"S01018174",4,0,0,0,0,0,75,0,0,0,0,0,81,15,7,4,75,81,15,7,
"S01018175",11,0,0,0,0,0,71,0,0,0,0,0,91,40,8,11,71,91,40,8,
"S01018176",13,0,0,0,0,0,71,0,0,0,0,0,92,19,7,13,71,92,19,7,
"S01018177",9,0,0,0,0,0,110,0,0,0,0,0,140,25,8,9,110,140,25,8,
"S01018178",2,0,0,0,0,0,60,0,0,0,0,0,85,32,8,2,60,85,32,8,
"S01018179",33,0,0,0,0,0,102,0,0,0,0,0,90,14,11,33,102,90,14,11,
"S01018180",12,0,0,0,0,0,100,0,0,0,0,0,85,18,6,12,100,85,18,6,
"S01018181",6,0,0,0,0,0,75,0,0,0,0,0,62,16,8,6,75,62,16,8,
"S01018182",16,0,0,0,0,0,95,0,0,0,0,0,75,18,7,16,95,75,18,7,
"S01018183",26,0,0,0,0,0,141,0,0,0,0,0,98,15,6,26,141,98,15,6,
"S01018184",32,0,0,0,0,0,110,0,0,0,0,0,72,11,2,32,110,72,11,2,
"S01018185",26,0,0,0,0,0,117,0,0,0,0,0,105,26,7,26,117,105,26,7,
"S01018186",21,0,0,0,0,0,126,0,0,0,0,0,125,19,22,21,126,125,19,22,
"S01018187",108,0,0,0,0,0,207,0,0,0,0,0,116,23,10,108,207,116,23,10,
"S01018188",11,0,0,0,0,0,91,0,0,0,0,0,100,15,2,11,91,100,15,2,
"S01018189",31,0,0,0,0,0,130,0,0,0,0,0,112,24,10,31,130,112,24,10,
"S01018190",27,0,0,0,0,0,138,0,0,0,0,0,103,16,0,27,138,103,16,0,
"S01018191",30,0,0,0,0,0,173,0,0,0,0,0,87,13,8,30,173,87,13,8,
"S01018192",78,0,0,0,0,0,113,0,0,0,0,0,71,6,9,78,113,71,6,9,
"S01018193",85,0,0,0,0,0,125,0,0,0,0,0,70,19,6,85,125,70,19,6,
"S01018194",48,0,0,0,0,0,131,0,0,0,0,0,84,15,3,48,131,84,15,3,
"S01018195",37,0,0,0,0,0,124,0,0,0,0,0,89,19,7,37,124,89,19,7,
"S01018196",129,0,0,0,0,0,159,0,0,0,0,0,54,7,3,129,159,54,7,3,
"S01018197",22,0,0,0,0,0,119,0,0,0,0,0,138,13,3,22,119,138,13,3,
"S01018198",27,0,0,0,0,0,122,0,0,0,0,0,123,13,0,27,122,123,13,0,
"S01018199",84,0,0,0,0,0,157,0,0,0,0,0,76,21,2,84,157,76,21,2,
"S01018200",64,0,0,0,0,0,121,0,0,0,0,0,72,16,5,64,121,72,16,5,
"S01018201",95,0,0,0,0,0,170,0,0,0,0,0,88,10,2,95,170,88,10,2,
"S01018202",70,0,0,0,0,0,82,0,0,0,0,0,41,7,5,70,82,41,7,5,
"S01018203",178,0,0,0,0,0,135,0,0,0,0,0,25,3,0,178,135,25,3,0,
"S01018204",223,0,0,0,0,0,146,0,0,0,0,0,44,13,2,223,146,44,13,2,
"S01018205",137,0,0,0,0,0,132,0,0,0,0,0,50,4,0,137,132,50,4,0,
"S01018206",104,0,0,0,0,0,183,0,0,0,0,0,73,17,7,104,183,73,17,7,
"S01018207",85,0,0,0,0,0,166,0,0,0,0,0,88,19,6,85,166,88,19,6,
"S01018208",59,0,0,0,0,0,91,0,0,0,0,0,37,8,2,59,91,37,8,2,
"S01018209",23,0,0,0,0,0,83,0,0,0,0,0,114,25,12,23,83,114,25,12,
"S01018210",38,0,0,0,0,0,128,0,0,0,0,0,135,20,6,38,128,135,20,6,
"S01018211",19,0,0,0,0,0,115,0,0,0,0,0,135,48,14,19,115,135,48,14,
"S01018212",33,0,0,0,0,0,113,0,0,0,0,0,98,20,10,33,113,98,20,10,
"S01018213",51,0,0,0,0,0,170,0,0,0,0,0,120,21,1,51,170,120,21,1,
"S01018214",4,0,0,0,0,0,76,0,0,0,0,0,117,31,8,4,76,117,31,8,
"S01018215",30,0,0,0,0,0,108,0,0,0,0,0,117,28,10,30,108,117,28,10,
"S01018216",13,0,0,0,0,0,82,0,0,0,0,0,90,17,4,13,82,90,17,4,
"S01018217",6,0,0,0,0,0,126,0,0,0,0,0,138,29,16,6,126,138,29,16,
"S01018218",71,0,0,0,0,0,143,0,0,0,0,0,102,25,10,71,143,102,25,10,
"S01018219",80,0,0,0,0,0,91,0,0,0,0,0,60,15,1,80,91,60,15,1,
"S01018220",89,0,0,0,0,0,157,0,0,0,0,0,87,28,6,89,157,87,28,6,
"S01018221",91,0,0,0,0,0,129,0,0,0,0,0,61,18,4,91,129,61,18,4,
"S01018222",68,0,0,0,0,0,136,0,0,0,0,0,54,13,2,68,136,54,13,2,
"S01018223",55,0,0,0,0,0,122,0,0,0,0,0,40,12,3,55,122,40,12,3,
"S01018224",174,0,0,0,0,0,173,0,0,0,0,0,62,13,6,174,173,62,13,6,
"S01018225",127,0,0,0,0,0,192,0,0,0,0,0,70,21,4,127,192,70,21,4,
"S01018226",68,0,0,0,0,0,126,0,0,0,0,0,56,11,8,68,126,56,11,8,
"S01018227",64,0,0,0,0,0,159,0,0,0,0,0,103,30,6,64,159,103,30,6,
"S01018228",92,0,0,0,0,0,214,0,0,0,0,0,87,13,4,92,214,87,13,4,
"S01018229",79,0,0,0,0,0,166,0,0,0,0,0,81,16,0,79,166,81,16,0,
"S01018230",58,0,0,0,0,0,135,0,0,0,0,0,66,11,6,58,135,66,11,6,
"S01018231",114,0,0,0,0,0,141,0,0,0,0,0,57,11,5,114,141,57,11,5,
"S01018232",74,0,0,0,0,0,96,0,0,0,0,0,63,11,4,74,96,63,11,4,
