SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Total",
"Data Zone (2022)",
"S01014180",74,174,74,14,8,344,
"S01014181",95,136,33,6,4,274,
"S01014182",72,196,115,26,7,412,
"S01014183",53,139,68,20,4,287,
"S01014184",51,151,98,24,13,336,
"S01014185",53,146,88,21,6,318,
"S01014186",28,151,114,30,16,332,
"S01014187",31,191,132,31,12,395,
"S01014188",42,148,101,17,8,321,
"S01014189",17,105,121,45,14,302,
"S01014190",10,112,76,25,12,234,
"S01014191",41,141,105,24,6,315,
"S01014192",35,206,147,46,19,452,
"S01014193",28,142,114,42,7,334,
"S01014194",56,161,123,34,15,391,
"S01014195",42,149,84,27,6,307,
"S01014196",73,128,66,20,2,289,
"S01014197",104,134,40,8,0,286,
"S01014198",137,194,59,9,4,406,
"S01014199",47,171,120,29,12,381,
"S01014200",67,166,103,24,13,374,
"S01014201",35,141,86,24,5,291,
"S01014202",116,260,97,23,8,500,
"S01014203",167,277,110,16,1,573,
"S01014204",255,273,61,8,0,597,
"S01014205",192,192,43,7,5,441,
"S01014206",170,128,27,9,2,333,
"S01014207",220,176,45,6,1,448,
"S01014208",122,167,41,3,3,336,
"S01014209",203,196,61,12,3,474,
"S01014210",66,207,80,16,5,372,
"S01014211",48,101,50,9,5,211,
"S01014212",92,106,37,10,1,246,
"S01014213",36,150,84,14,4,288,
"S01014214",56,130,65,14,5,270,
"S01014215",85,97,36,7,2,226,
"S01014216",78,121,53,9,4,266,
"S01014217",93,174,96,17,7,387,
"S01014218",119,116,34,5,1,274,
"S01014219",92,102,31,8,1,232,
"S01014220",118,120,41,6,3,287,
"S01014221",124,193,76,9,6,417,
"S01014222",112,145,71,12,8,346,
"S01014223",101,165,65,15,6,347,
"S01014224",28,97,59,9,4,197,
"S01014225",35,173,183,31,18,440,
"S01014226",80,190,161,30,12,473,
"S01014227",77,226,95,17,5,424,
"S01014228",262,255,61,9,6,593,
"S01014229",131,189,46,7,4,378,
"S01014230",153,136,56,7,0,356,
"S01014231",207,202,81,8,1,501,
"S01014232",45,109,35,8,4,204,
"S01014233",90,207,91,8,1,401,
"S01014234",220,195,24,2,3,443,
"S01014235",130,161,40,5,3,336,
"S01014236",56,180,94,19,11,362,
"S01014237",124,212,89,15,9,451,
"S01014238",40,170,111,33,7,353,
"S01014239",101,141,81,16,4,341,
"S01014240",109,166,65,18,7,363,
"S01014241",32,206,120,37,10,405,
"S01014242",42,169,60,23,5,299,
"S01014243",19,79,96,29,4,227,
"S01014244",29,124,89,26,8,271,
"S01014245",7,145,141,57,17,365,
"S01014246",16,151,158,50,23,398,
"S01014247",57,183,146,30,15,434,
"S01014248",17,64,91,24,13,210,
"S01014249",5,78,96,36,18,237,
"S01014250",16,67,110,35,17,245,
"S01014251",127,136,64,10,4,344,
"S01014252",111,161,67,12,9,360,
"S01014253",167,185,50,12,4,420,
"S01014254",61,143,81,20,4,309,
"S01014255",47,111,71,20,7,254,
"S01014256",146,221,78,12,2,458,
"S01014257",63,154,64,16,5,304,
"S01014258",46,151,88,21,9,311,
"S01014259",88,206,95,16,4,413,
"S01014260",26,172,166,35,10,406,
"S01014261",16,102,110,37,13,281,
"S01014262",14,78,115,39,22,268,
"S01014263",53,171,162,49,11,448,
"S01014264",19,106,107,37,8,280,
"S01014265",14,124,140,37,18,337,
"S01014266",32,132,113,37,10,324,
"S01014267",32,163,137,30,19,377,
"S01014268",23,127,113,36,11,310,
"S01014269",24,136,115,32,10,314,
"S01014270",18,79,48,14,8,169,
"S01014271",112,259,60,17,7,450,
"S01014272",64,124,46,16,2,252,
"S01014273",41,168,82,20,8,323,
"S01014274",46,122,107,20,13,308,
"S01014275",23,132,104,14,7,278,
"S01014276",115,166,68,12,5,367,
"S01014277",148,182,59,11,1,398,
"S01014278",155,199,63,7,6,429,
"S01014279",92,135,43,5,2,277,
"S01014280",135,181,79,29,12,437,
"S01014281",125,173,58,6,3,368,
"S01014282",154,195,55,10,1,415,
"S01014283",53,172,120,30,7,382,
"S01014284",55,188,79,16,1,339,
"S01014285",70,192,75,10,6,353,
"S01014286",73,166,65,23,6,333,
"S01014287",139,239,76,15,8,476,
"S01014288",39,142,95,20,5,300,
"S01014289",12,92,101,33,10,250,
"S01014290",11,104,116,37,15,277,
"S01014291",10,85,62,20,8,180,
"S01014292",12,106,94,22,14,243,
"S01014293",91,208,124,33,7,463,
"S01014294",157,196,72,9,11,445,
"S01014295",56,122,90,15,7,290,
"S01014296",169,213,75,18,6,481,
"S01014297",35,106,81,21,7,250,
"S01014298",58,186,130,30,12,416,
"S01014299",29,147,115,25,14,332,
"S01014300",24,94,81,27,9,232,
"S01014301",11,96,86,42,20,257,
"S01014302",17,83,88,36,21,247,
"S01014303",21,123,135,74,15,371,
"S01014304",8,100,92,27,19,245,
"S01014305",50,224,143,37,17,468,
"S01014306",49,177,149,37,15,423,
"S01014307",36,200,147,30,19,435,
"S01014308",70,267,123,26,10,496,
"S01014309",43,152,88,19,5,307,
"S01014310",27,137,109,17,10,303,
"S01014311",46,154,117,28,8,352,
"S01014312",105,209,97,20,5,436,
"S01014313",101,164,55,12,2,330,
"S01014314",38,149,96,17,5,305,
"S01014315",99,131,57,9,5,300,
"S01014316",88,171,85,21,10,375,
"S01014317",130,94,21,2,1,248,
"S01014318",162,177,31,7,3,382,
"S01014319",118,207,98,11,4,442,
"S01014320",66,108,59,13,1,251,
"S01014321",115,190,62,7,2,375,
"S01014322",94,135,58,7,6,298,
"S01014323",35,187,151,43,21,441,
"S01014324",38,134,129,37,11,345,
"S01014325",24,134,138,25,14,342,
"S01014326",31,151,113,21,16,332,
"S01014327",80,208,113,27,4,432,
"S01014328",34,166,122,37,7,366,
"S01014329",26,143,155,50,20,396,
"S01014330",27,182,128,26,18,380,
"S01014331",25,148,128,33,10,344,
"S01014332",48,207,124,31,12,424,
"S01014333",57,183,77,21,5,343,
"S01014334",32,162,147,38,14,392,
"S01014335",42,223,174,43,18,503,
"S01014336",19,106,98,18,5,247,
"S01014337",69,222,124,26,4,440,
"S01014338",151,203,88,15,3,461,
"S01014339",81,181,65,16,7,355,
"S01014340",34,127,64,18,4,245,
"S01014341",84,193,81,28,4,388,
"S01014342",25,156,149,42,12,384,
"S01014343",26,136,116,19,18,313,
"S01014344",97,170,94,11,5,375,
"S01014345",55,114,55,7,7,241,
"S01014346",27,85,50,14,7,183,
"S01014347",43,184,123,37,14,398,
"S01014348",32,152,130,37,14,362,
"S01014349",103,171,82,35,13,400,
"S01014350",83,193,111,12,7,409,
"S01014351",50,147,140,25,7,372,
"S01014352",49,191,117,20,8,385,
"S01014353",50,197,175,40,16,481,
"S01014354",24,88,88,20,11,231,
"S01014355",77,150,82,23,6,338,
"S01014356",160,116,22,8,2,308,
"S01014357",149,195,59,11,5,418,
"S01014358",136,124,26,7,3,296,
"S01014359",155,161,45,9,6,378,
"S01014360",54,128,69,17,4,272,
"S01014361",69,157,62,16,9,316,
"S01014362",86,141,45,12,5,288,
"S01014363",89,185,76,18,6,374,
"S01014364",38,197,102,12,10,362,
"S01014365",47,151,93,22,10,323,
"S01014366",84,113,29,0,5,236,
"S01014367",98,70,29,5,2,207,
"S01014368",218,110,11,2,0,341,
"S01014369",181,175,44,7,4,410,
"S01014370",101,122,34,8,2,264,
"S01014371",59,84,31,12,2,186,
"S01014372",165,125,26,7,0,323,
"S01014373",42,226,111,14,9,405,
"S01014374",20,137,93,26,6,279,
"S01014375",14,102,77,19,9,219,
"S01014376",75,274,116,23,8,500,
"S01014377",45,270,161,30,18,528,
"S01014378",50,168,90,19,8,335,
"S01014379",44,191,105,25,11,372,
"S01014380",55,188,70,11,9,333,
"S01014381",43,142,84,19,6,292,
"S01014382",115,265,137,26,7,552,
"S01014383",86,171,74,13,2,353,
"S01014384",81,164,70,24,4,346,
"S01014385",157,207,43,8,1,417,
"S01014386",51,115,38,12,5,220,
"S01014387",124,110,38,4,2,278,
"S01014388",110,129,35,11,3,282,
"S01014389",89,98,43,10,2,244,
"S01014390",106,166,75,14,5,367,
"S01014391",121,166,65,8,4,358,
"S01014392",80,147,68,18,5,311,
"S01014393",83,191,105,25,6,407,
"S01014394",15,119,88,29,7,257,
"S01014395",25,95,56,28,7,206,
"S01014396",17,101,70,12,6,202,
"S01014397",94,179,74,16,5,366,
"S01014398",15,90,112,38,8,262,
"S01014399",69,125,62,9,4,269,
"S01014400",51,155,114,29,10,356,
"S01014401",8,84,92,16,13,217,
"S01014402",29,131,104,14,11,282,
"S01014403",51,165,94,25,7,346,
"S01014404",50,203,143,31,4,428,
"S01014405",79,200,103,23,6,409,
"S01014406",23,133,138,36,10,336,
"S01014407",22,109,128,43,11,312,
"S01014408",17,108,98,23,8,250,
"S01014409",24,96,59,9,1,189,
"S01014410",34,82,57,5,5,189,
"S01014411",13,88,86,27,8,222,
"S01014412",18,90,74,19,7,209,
"S01014413",56,138,98,11,8,311,
"S01014414",79,183,57,24,5,348,
"S01014415",285,232,58,10,5,588,
"S01014416",168,216,40,5,4,429,
"S01014417",107,238,105,28,9,487,
"S01014418",101,114,44,15,6,279,
"S01014419",121,88,33,13,2,255,
"S01014420",102,180,83,18,2,382,
"S01014421",44,165,96,18,3,326,
"S01014422",33,131,74,21,2,260,
"S01014423",26,94,60,14,4,199,
"S01014424",11,81,72,15,7,189,
"S01014425",50,146,132,23,9,364,
"S01014426",22,90,102,24,17,254,
"S01014427",13,66,85,22,15,201,
"S01014428",18,111,96,24,10,255,
"S01014429",31,169,147,45,7,397,
"S01014430",45,128,60,11,4,248,
"S01014431",36,134,115,25,6,315,
"S01014432",48,141,82,23,10,299,
"S01014433",26,76,61,18,5,186,
"S01014434",21,89,60,13,1,186,
"S01014435",102,195,88,23,4,408,
"S01014436",37,80,92,17,2,229,
"S01014437",18,87,129,30,9,280,
"S01014438",9,63,85,13,10,180,
"S01014439",24,134,135,32,12,337,
"S01014440",25,136,106,13,1,280,
"S01014441",14,109,84,13,5,223,
"S01014442",39,100,64,15,6,224,
"S01014443",63,130,65,9,5,267,
"S01014444",27,197,137,28,5,394,
"S01014445",91,178,70,12,6,353,
"S01014446",62,193,119,21,5,400,
"S01014447",66,180,130,12,9,395,
"S01014448",45,164,106,26,10,351,
"S01014449",44,138,96,16,7,297,
"S01014450",50,173,97,16,6,343,
"S01014451",27,165,98,20,9,319,
"S01014452",24,164,88,23,5,300,
"S01014453",80,220,104,17,4,426,
"S01014454",101,168,85,11,4,369,
"S01014455",17,113,95,16,6,247,
"S01014456",31,182,170,33,13,425,
"S01014457",36,189,168,34,6,439,
"S01014458",15,86,73,11,3,188,
"S01014459",41,174,89,15,4,321,
"S01014460",24,118,97,17,7,263,
"S01014461",34,115,76,11,4,235,
"S01014462",153,175,73,10,2,414,
"S01014463",28,167,139,26,6,362,
"S01014464",18,128,113,23,4,288,
"S01014465",38,150,113,11,5,321,
"S01014466",167,132,30,8,0,338,
"S01014467",124,65,24,5,3,224,
"S01014468",154,87,25,4,0,271,
"S01014469",120,89,22,5,1,237,
"S01014470",137,176,65,4,0,379,
"S01014471",176,164,34,6,2,382,
"S01014472",301,152,24,6,1,485,
"S01014473",299,137,22,5,3,462,
"S01014474",244,91,19,3,0,357,
"S01014475",140,202,62,10,4,418,
"S01014476",212,118,31,6,2,368,
"S01014477",231,105,22,4,2,365,
"S01014478",299,141,26,3,0,468,
"S01014479",210,93,10,3,0,315,
"S01014480",187,85,16,3,0,288,
"S01014481",153,187,47,9,0,400,
"S01014482",131,161,50,2,4,346,
"S01014483",102,151,41,7,4,300,
"S01014484",100,161,40,5,2,310,
"S01014485",167,174,82,18,1,441,
"S01014486",91,156,60,7,0,315,
"S01014487",137,107,39,5,1,289,
"S01014488",173,118,35,4,0,330,
"S01014489",116,105,36,6,0,266,
"S01014490",119,101,29,5,4,255,
"S01014491",245,164,22,4,0,436,
"S01014492",157,129,26,5,0,322,
"S01014493",212,150,34,3,0,398,
"S01014494",255,165,15,4,1,440,
"S01014495",341,204,38,2,1,588,
"S01014496",188,163,35,6,4,396,
"S01014497",149,102,19,3,1,274,
"S01014498",91,137,37,8,4,277,
"S01014499",65,103,38,10,6,222,
"S01014500",125,121,33,0,3,283,
"S01014501",117,130,55,6,1,306,
"S01014502",75,145,68,12,5,303,
"S01014503",125,236,84,14,1,463,
"S01014504",203,186,60,10,2,460,
"S01014505",198,266,64,3,0,530,
"S01014506",195,205,37,8,0,443,
"S01014507",150,157,25,5,3,340,
"S01014508",233,208,38,5,0,486,
"S01014509",245,218,29,1,1,494,
"S01014510",191,136,25,3,1,363,
"S01014511",142,151,31,2,0,330,
"S01014512",151,124,24,4,2,308,
"S01014513",196,109,20,4,1,330,
"S01014514",396,167,23,2,2,587,
"S01014515",407,198,6,3,0,615,
"S01014516",390,208,18,3,0,618,
"S01014517",389,168,12,0,1,570,
"S01014518",349,156,12,3,0,523,
"S01014519",373,161,15,4,0,554,
"S01014520",145,74,11,2,0,228,
"S01014521",168,122,20,2,2,312,
"S01014522",210,158,23,1,0,393,
"S01014523",161,232,37,3,0,430,
"S01014524",192,274,64,9,1,538,
"S01014525",121,175,28,2,1,329,
"S01014526",177,256,54,2,2,495,
"S01014527",177,230,45,4,1,459,
"S01014528",58,181,70,13,4,326,
"S01014529",116,292,109,14,5,533,
"S01014530",69,203,104,13,2,391,
"S01014531",36,174,115,24,10,354,
"S01014532",17,97,73,14,5,205,
"S01014533",19,100,110,18,0,249,
"S01014534",109,213,104,6,0,429,
"S01014535",56,182,86,9,1,334,
"S01014536",320,261,46,4,0,631,
"S01014537",201,167,42,4,0,414,
"S01014538",94,208,60,13,2,381,
"S01014539",66,168,88,3,4,330,
"S01014540",45,192,146,31,12,425,
"S01014541",24,176,127,14,2,343,
"S01014542",28,131,74,18,2,254,
"S01014543",49,246,136,25,1,455,
"S01014544",236,182,42,5,4,466,
"S01014545",181,183,36,4,3,407,
"S01014546",158,234,43,7,1,445,
"S01014547",121,152,48,6,4,330,
"S01014548",86,159,48,6,3,302,
"S01014549",119,171,61,18,3,371,
"S01014550",216,141,29,2,1,386,
"S01014551",192,160,29,8,3,393,
"S01014552",87,97,24,1,1,210,
"S01014553",21,91,43,3,0,162,
"S01014554",35,125,88,11,5,267,
"S01014555",30,145,87,20,1,283,
"S01014556",63,108,73,14,4,262,
"S01014557",22,124,115,14,3,280,
"S01014558",22,98,94,25,3,239,
"S01014559",44,169,102,25,3,346,
"S01014560",39,199,122,8,6,374,
"S01014561",33,188,92,11,5,327,
"S01014562",16,98,68,10,1,196,
"S01014563",12,81,88,13,3,195,
"S01014564",20,115,72,8,0,215,
"S01014565",13,139,86,18,3,256,
"S01014566",8,74,109,17,6,212,
"S01014567",14,141,151,23,2,333,
"S01014568",27,134,152,18,7,338,
"S01014569",55,232,143,23,5,455,
"S01014570",26,139,103,14,1,286,
"S01014571",78,147,52,10,7,291,
"S01014572",25,92,97,13,2,232,
"S01014573",50,112,73,11,2,248,
"S01014574",108,149,49,10,5,321,
"S01014575",13,147,77,5,0,243,
"S01014576",38,148,65,7,0,254,
"S01014577",32,172,93,15,5,318,
"S01014578",40,126,81,13,2,264,
"S01014579",74,150,71,12,0,313,
"S01014580",47,164,107,20,4,342,
"S01014581",125,294,68,12,4,504,
"S01014582",62,226,76,17,3,381,
"S01014583",121,142,46,20,1,329,
"S01014584",111,156,68,18,4,364,
"S01014585",219,185,34,13,3,451,
"S01014586",164,159,33,7,0,365,
"S01014587",145,163,39,6,0,351,
"S01014588",106,140,45,6,0,297,
"S01014589",164,156,58,7,3,381,
"S01014590",101,132,42,8,3,286,
"S01014591",88,164,51,10,3,316,
"S01014592",84,122,60,7,3,275,
"S01014593",259,172,57,8,2,498,
"S01014594",160,180,41,12,4,399,
"S01014595",112,143,45,5,3,307,
"S01014596",201,198,52,21,0,473,
"S01014597",87,138,51,6,4,283,
"S01014598",91,134,47,12,2,286,
"S01014599",96,196,50,8,8,357,
"S01014600",281,94,5,3,0,383,
"S01014601",192,161,32,11,4,396,
"S01014602",117,156,57,9,1,334,
"S01014603",90,157,64,9,1,319,
"S01014604",49,143,82,9,3,286,
"S01014605",30,164,83,10,2,289,
"S01014606",35,175,92,13,9,325,
"S01014607",96,221,66,13,2,395,
"S01014608",100,233,79,18,1,429,
"S01014609",26,150,110,12,1,292,
"S01014610",23,150,95,10,1,281,
"S01014611",35,148,58,6,0,243,
"S01014612",100,115,39,6,1,258,
"S01014613",243,199,32,6,1,481,
"S01014614",202,199,60,10,3,473,
"S01014615",153,161,33,5,3,352,
"S01014616",141,171,49,9,3,373,
"S01014617",101,107,21,7,4,238,
"S01014618",161,195,44,8,3,410,
"S01014619",98,233,88,19,2,441,
"S01014620",82,197,54,4,1,343,
"S01014621",43,87,36,4,2,173,
"S01014622",171,197,43,0,3,415,
"S01014623",71,180,46,13,2,312,
"S01014624",135,163,55,6,0,363,
"S01014625",39,163,88,17,8,319,
"S01014626",117,218,74,19,3,428,
"S01014627",285,199,37,1,1,523,
"S01014628",248,162,31,5,0,447,
"S01014629",108,229,72,10,5,420,
"S01014630",145,130,43,8,2,321,
"S01014631",115,166,72,10,6,369,
"S01014632",70,149,70,10,3,301,
"S01014633",163,129,30,3,3,326,
"S01014634",178,124,16,1,0,318,
"S01014635",338,157,23,3,0,524,
"S01014636",196,211,58,7,1,473,
"S01014637",140,138,29,5,1,311,
"S01014638",72,176,62,12,1,323,
"S01014639",50,127,71,10,4,261,
"S01014640",57,186,60,6,0,310,
"S01014641",80,227,74,16,1,398,
"S01014642",165,198,87,15,7,467,
"S01014643",252,176,25,6,1,460,
"S01014644",203,117,27,4,0,346,
"S01014645",148,147,39,7,1,340,
"S01014646",172,100,18,4,0,294,
"S01014647",136,150,27,6,0,319,
"S01014648",113,112,30,1,2,255,
"S01014649",104,169,46,2,3,331,
"S01014650",133,93,19,1,0,246,
"S01014651",56,105,29,2,0,194,
"S01014652",111,128,30,3,0,276,
"S01014653",121,100,34,1,0,256,
"S01014654",74,94,23,3,3,196,
"S01014655",118,173,45,4,2,341,
"S01014656",44,103,44,7,2,204,
"S01014657",31,119,76,9,4,241,
"S01014658",78,178,106,14,6,382,
"S01014659",32,123,80,14,5,252,
"S01014660",79,151,33,11,0,271,
"S01014661",100,168,24,3,0,295,
"S01014662",150,140,24,0,0,314,
"S01014663",202,234,28,2,0,465,
"S01014664",173,165,34,2,0,375,
"S01014665",89,218,87,20,2,413,
"S01014666",49,152,74,10,1,286,
"S01014667",107,224,61,8,5,405,
"S01014668",110,147,48,7,3,315,
"S01014669",103,210,59,17,6,392,
"S01014670",176,128,23,3,1,330,
"S01014671",215,197,33,2,1,445,
"S01014672",172,194,23,3,3,394,
"S01014673",162,164,35,2,0,364,
"S01014674",162,192,43,4,4,407,
"S01014675",122,165,37,6,2,322,
"S01014676",177,167,40,6,0,389,
"S01014677",184,198,28,4,1,415,
"S01014678",240,218,35,2,0,493,
"S01014679",190,143,34,2,1,370,
"S01014680",222,127,25,2,0,376,
"S01014681",336,182,21,0,0,538,
"S01014682",230,115,20,2,0,365,
"S01014683",229,84,4,2,0,322,
"S01014684",409,169,18,0,0,592,
"S01014685",277,151,28,3,0,459,
"S01014686",320,146,19,3,0,488,
"S01014687",173,109,17,0,0,299,
"S01014688",423,133,15,1,0,568,
"S01014689",325,106,9,0,0,441,
"S01014690",372,171,18,4,0,568,
"S01014691",215,127,15,2,0,359,
"S01014692",215,82,9,2,0,305,
"S01014693",321,163,45,4,6,538,
"S01014694",253,94,16,1,0,365,
"S01014695",234,95,15,4,0,345,
"S01014696",298,115,18,5,0,436,
"S01014697",258,119,13,2,0,392,
"S01014698",213,89,5,7,2,319,
"S01014699",202,118,11,0,0,333,
"S01014700",246,101,10,2,0,363,
"S01014701",76,44,9,0,2,131,
"S01014702",150,79,16,8,0,256,
"S01014703",220,87,15,1,0,323,
"S01014704",221,102,10,0,1,334,
"S01014705",199,106,21,4,0,330,
"S01014706",300,180,26,3,0,512,
"S01014707",269,75,13,2,0,359,
"S01014708",251,83,8,1,0,345,
"S01014709",313,76,6,2,0,396,
"S01014710",294,68,15,2,0,378,
"S01014711",335,90,7,0,0,432,
"S01014712",149,116,25,4,1,297,
"S01014713",285,96,14,0,1,393,
"S01014714",308,72,9,2,0,391,
"S01014715",400,103,20,2,0,521,
"S01014716",268,69,12,0,0,350,
"S01014717",397,113,11,2,0,520,
"S01014718",274,118,19,1,2,415,
"S01014719",418,148,26,1,0,591,
"S01014720",412,153,22,1,2,589,
"S01014721",320,132,15,1,3,471,
"S01014722",408,191,33,2,0,634,
"S01014723",248,134,17,0,0,399,
"S01014724",269,199,28,4,2,506,
"S01014725",326,156,10,4,0,498,
"S01014726",211,220,30,0,0,463,
"S01014727",178,122,24,1,1,326,
"S01014728",436,246,32,2,0,715,
"S01014729",170,131,19,4,0,322,
"S01014730",150,177,31,2,0,355,
"S01014731",110,131,45,7,4,296,
"S01014732",245,227,41,5,0,518,
"S01014733",122,180,30,5,5,342,
"S01014734",70,158,43,5,0,276,
"S01014735",93,252,83,9,2,439,
"S01014736",39,100,47,9,1,196,
"S01014737",183,209,65,15,1,473,
"S01014738",33,135,73,11,4,261,
"S01014739",34,198,69,4,1,305,
"S01014740",43,164,98,15,4,325,
"S01014741",72,146,31,3,0,253,
"S01014742",133,179,52,1,0,367,
"S01014743",126,136,38,3,0,304,
"S01014744",143,146,50,2,1,341,
"S01014745",100,130,29,0,0,259,
"S01014746",186,184,25,5,0,396,
"S01014747",267,151,53,10,2,478,
"S01014748",179,153,34,2,0,367,
"S01014749",124,150,35,8,0,317,
"S01014750",213,122,41,10,6,392,
"S01014751",283,145,24,13,2,470,
"S01014752",112,115,35,8,2,272,
"S01014753",97,99,25,7,0,228,
"S01014754",220,134,31,7,0,393,
"S01014755",303,176,46,7,6,538,
"S01014756",118,106,21,7,0,253,
"S01014757",120,103,26,3,4,253,
"S01014758",160,137,39,12,5,352,
"S01014759",127,129,33,2,2,298,
"S01014760",41,114,39,7,5,204,
"S01014761",80,205,68,18,1,367,
"S01014762",116,208,103,16,8,451,
"S01014763",40,119,36,3,1,201,
"S01014764",56,151,91,4,4,301,
"S01014765",18,154,75,7,2,256,
"S01014766",34,171,94,22,6,327,
"S01014767",138,248,102,22,8,518,
"S01014768",50,176,67,11,4,309,
"S01014769",85,218,107,19,1,427,
"S01014770",70,163,59,12,0,300,
"S01014771",40,116,72,7,3,238,
"S01014772",118,244,73,11,6,455,
"S01014773",109,134,28,3,1,279,
"S01014774",74,145,48,9,1,277,
"S01014775",144,195,36,4,3,381,
"S01014776",84,135,25,7,3,253,
"S01014777",158,149,23,4,2,335,
"S01014778",158,223,37,5,0,426,
"S01014779",181,195,34,4,0,413,
"S01014780",88,164,50,10,2,312,
"S01014781",46,194,116,16,13,389,
"S01014782",54,136,94,20,5,306,
"S01014783",35,150,75,19,6,285,
"S01014784",35,148,92,23,10,307,
"S01014785",82,153,40,13,0,292,
"S01014786",36,118,27,10,2,193,
"S01014787",87,192,100,30,4,410,
"S01014788",116,131,29,3,1,280,
"S01014789",170,238,39,4,0,451,
"S01014790",183,242,52,15,3,501,
"S01014791",72,131,27,7,0,237,
"S01014792",291,192,49,2,1,532,
"S01014793",55,99,39,8,5,207,
"S01014794",51,142,73,13,4,283,
"S01014795",81,208,119,22,9,437,
"S01014796",63,148,70,14,6,301,
"S01014797",102,123,38,10,1,274,
"S01014798",196,120,29,2,0,344,
"S01014799",164,108,23,0,3,298,
"S01014800",170,123,25,1,0,319,
"S01014801",334,238,40,6,0,619,
"S01014802",206,144,24,1,1,375,
"S01014803",201,98,20,3,0,322,
"S01014804",182,159,29,6,0,379,
"S01014805",148,131,24,2,0,302,
"S01014806",258,160,39,2,1,460,
"S01014807",93,109,38,5,3,248,
"S01014808",96,146,42,9,3,304,
"S01014809",137,241,43,7,0,429,
"S01014810",85,164,48,4,0,301,
"S01014811",140,203,50,7,3,403,
"S01014812",87,221,93,10,4,414,
"S01014813",89,121,33,6,1,249,
"S01014814",151,138,32,3,0,329,
"S01014815",83,156,37,1,1,280,
"S01014816",107,143,24,4,0,279,
"S01014817",105,144,22,2,0,273,
"S01014818",154,182,32,1,0,369,
"S01014819",81,127,39,4,2,252,
"S01014820",94,250,62,5,3,415,
"S01014821",116,139,14,0,0,271,
"S01014822",56,187,55,10,0,308,
"S01014823",155,183,47,4,0,387,
"S01014824",300,243,40,0,3,587,
"S01014825",282,245,31,4,0,562,
"S01014826",91,144,27,3,0,267,
"S01014827",243,146,16,1,0,402,
"S01014828",371,187,32,0,3,597,
"S01014829",295,298,56,5,3,660,
"S01014830",145,278,37,4,0,458,
"S01014831",336,262,47,5,3,650,
"S01014832",131,145,22,0,0,298,
"S01014833",177,127,34,5,1,344,
"S01014834",112,116,27,2,2,254,
"S01014835",112,111,17,1,0,244,
"S01014836",255,130,14,3,0,402,
"S01014837",323,209,28,1,0,561,
"S01014838",314,235,24,1,0,574,
"S01014839",184,93,16,2,0,297,
"S01014840",210,111,19,0,0,340,
"S01014841",201,228,39,1,3,474,
"S01014842",203,70,12,0,1,285,
"S01014843",307,179,45,2,0,529,
"S01014844",298,200,33,4,0,533,
"S01014845",360,203,20,4,3,591,
"S01014846",313,153,13,1,2,484,
"S01014847",338,167,28,2,1,536,
"S01014848",136,141,45,5,0,327,
"S01014849",382,236,34,3,1,654,
"S01014850",326,181,22,0,0,529,
"S01014851",392,186,22,2,0,605,
"S01014852",326,156,27,2,2,508,
"S01014853",226,82,6,0,0,314,
"S01014854",169,120,21,5,0,314,
"S01014855",222,216,45,7,1,491,
"S01014856",262,137,12,0,0,413,
"S01014857",277,154,19,8,0,459,
"S01014858",186,174,38,8,2,408,
"S01014859",170,189,30,3,2,394,
"S01014860",166,132,30,9,3,336,
"S01014861",269,149,16,0,0,434,
"S01014862",219,209,41,4,1,469,
"S01014863",339,187,28,6,1,563,
"S01014864",191,180,26,4,1,399,
