SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Total",
"Data Zone (2022)",
"S01015652",12,177,181,97,0,0,0,469,
"S01015653",12,172,111,166,0,0,0,461,
"S01015654",7,198,136,38,0,0,0,377,
"S01015655",81,254,16,9,0,0,0,357,
"S01015656",11,98,8,232,5,2,0,360,
"S01015657",15,131,118,99,1,4,0,367,
"S01015658",10,68,51,296,3,4,0,432,
"S01015659",19,95,66,75,0,0,0,259,
"S01015660",11,20,32,339,3,0,0,405,
"S01015661",75,163,30,103,33,0,0,405,
"S01015662",36,147,6,100,8,0,0,300,
"S01015663",35,201,1,5,0,1,0,248,
"S01015664",80,57,74,2,0,0,0,213,
"S01015665",18,71,207,141,1,1,0,439,
"S01015666",18,88,172,42,0,1,0,326,
"S01015667",7,53,268,49,0,0,0,381,
"S01015668",45,43,151,11,0,0,0,247,
"S01015669",101,93,126,71,5,0,0,396,
"S01015670",19,57,222,6,0,0,0,301,
"S01015671",16,104,229,12,0,2,0,362,
"S01015672",53,90,133,16,2,0,0,290,
"S01015673",332,77,7,4,1,0,0,426,
"S01015674",149,65,8,1,0,0,0,224,
"S01015675",120,209,1,2,0,0,0,328,
"S01015676",250,46,1,0,0,0,0,297,
"S01015677",208,101,7,0,0,0,0,314,
"S01015678",172,52,16,15,1,0,0,255,
"S01015679",133,81,19,4,0,0,0,239,
"S01015680",95,65,11,54,3,2,0,229,
"S01015681",8,118,149,34,1,0,0,310,
"S01015682",26,149,183,40,1,0,0,398,
"S01015683",23,157,159,90,8,1,1,441,
"S01015684",13,186,81,74,2,0,0,356,
"S01015685",51,79,71,46,3,0,0,252,
"S01015686",78,103,50,11,0,0,0,240,
"S01015687",62,168,54,15,0,0,0,300,
"S01015688",21,95,80,57,0,0,0,252,
"S01015689",9,54,52,128,4,0,0,247,
"S01015690",19,159,53,73,1,0,0,298,
"S01015691",31,146,70,121,4,0,0,372,
"S01015692",101,193,64,116,0,0,0,475,
"S01015693",21,22,42,280,9,1,0,381,
"S01015694",7,43,29,353,8,8,0,449,
"S01015695",21,82,41,191,10,4,0,349,
"S01015696",38,110,8,104,0,0,1,260,
"S01015697",49,92,66,320,4,2,0,532,
"S01015698",18,91,20,291,2,1,1,425,
"S01015699",150,187,18,20,6,0,0,379,
"S01015700",123,73,6,107,0,0,0,311,
"S01015701",47,112,33,60,11,0,0,263,
"S01015702",62,144,16,182,13,3,0,419,
"S01015703",93,135,7,55,9,1,0,304,
"S01015704",182,135,2,11,1,0,0,331,
"S01015705",190,32,4,1,2,0,1,227,
"S01015706",118,42,15,10,7,0,0,188,
"S01015707",143,39,9,9,0,0,0,207,
"S01015708",65,198,5,7,0,0,0,275,
"S01015709",60,144,125,126,0,6,0,461,
"S01015710",21,53,77,90,2,0,0,239,
"S01015711",64,97,52,31,0,0,0,243,
"S01015712",245,45,16,10,1,0,0,321,
"S01015713",118,81,2,5,0,0,0,206,
"S01015714",164,92,30,29,8,0,4,324,
"S01015715",192,182,53,48,2,1,0,478,
"S01015716",67,103,107,80,5,1,0,363,
"S01015717",72,174,120,16,1,0,0,381,
"S01015718",218,32,16,2,0,0,1,264,
"S01015719",156,27,35,42,0,0,0,259,
"S01015720",113,69,69,26,0,0,0,280,
"S01015721",95,129,21,0,1,0,0,246,
"S01015722",17,151,123,146,1,0,1,437,
"S01015723",8,126,180,33,3,0,0,349,
"S01015724",10,176,78,95,2,0,0,357,
"S01015725",124,144,90,2,6,1,0,367,
"S01015726",23,99,54,167,3,0,0,351,
"S01015727",114,54,12,96,10,3,0,285,
"S01015728",181,194,7,22,2,0,0,406,
"S01015729",114,151,43,120,2,0,0,430,
"S01015730",234,71,45,114,6,0,0,472,
"S01015731",34,108,38,365,12,8,0,564,
"S01015732",143,105,27,13,0,0,0,288,
"S01015733",162,68,7,5,0,0,0,242,
"S01015734",164,175,8,54,0,0,0,401,
"S01015735",167,26,7,42,0,0,0,242,
"S01015736",48,277,2,4,1,0,0,331,
"S01015737",141,13,35,95,0,0,0,287,
"S01015738",180,159,2,3,0,0,0,346,
"S01015739",98,113,0,44,1,0,0,257,
"S01015740",129,49,28,142,11,7,0,365,
"S01015741",323,66,9,7,5,0,0,410,
"S01015742",164,81,10,82,18,0,0,355,
"S01015743",218,47,38,88,0,5,0,392,
"S01015744",249,9,4,42,0,0,0,307,
"S01015745",114,118,21,4,0,0,0,257,
"S01015746",162,82,21,5,1,0,0,275,
"S01015747",185,102,61,94,1,0,0,443,
"S01015748",22,193,148,7,0,0,0,367,
"S01015749",148,161,24,39,1,3,0,376,
"S01015750",44,83,52,112,3,0,0,295,
"S01015751",205,135,12,5,0,0,0,353,
"S01015752",167,143,5,5,6,0,0,326,
"S01015753",129,69,46,48,11,0,0,301,
"S01015754",162,186,54,16,0,0,0,418,
"S01015755",22,204,137,9,0,1,0,374,
"S01015756",13,183,160,26,0,1,0,383,
"S01015757",18,178,78,13,0,0,0,290,
"S01015758",67,18,37,231,8,3,0,364,
"S01015759",137,5,3,24,5,0,0,174,
"S01015760",235,107,27,4,1,0,0,375,
"S01015761",216,17,9,2,0,0,0,244,
"S01015762",128,16,18,136,3,0,0,305,
"S01015763",168,78,20,80,6,2,0,353,
"S01015764",169,114,4,73,1,0,0,360,
"S01015765",257,76,1,7,0,0,0,339,
"S01015766",160,82,17,16,2,0,0,276,
"S01015767",194,15,3,26,0,0,0,238,
"S01015768",134,164,13,15,3,2,0,330,
"S01015769",165,119,4,3,0,0,0,289,
"S01015770",208,71,68,35,1,0,0,386,
"S01015771",267,53,4,10,3,0,0,341,
"S01015772",210,126,30,70,0,0,1,439,
"S01015773",70,241,12,4,1,0,0,329,
"S01015774",137,159,31,68,4,0,0,399,
"S01015775",91,182,10,10,1,0,0,294,
"S01015776",102,275,21,49,0,0,0,445,
"S01015777",154,200,5,5,2,0,0,368,
"S01015778",51,242,4,3,0,0,0,301,
"S01015779",185,115,22,2,0,0,0,332,
"S01015780",27,185,55,70,2,0,0,328,
"S01015781",110,153,36,37,2,1,0,335,
"S01015782",78,100,34,70,0,0,0,286,
"S01015783",33,259,6,4,0,2,0,302,
"S01015784",18,91,91,1,0,0,0,201,
"S01015785",188,90,11,100,5,3,0,404,
"S01015786",95,83,75,145,0,0,1,396,
"S01015787",31,144,63,39,0,0,0,277,
"S01015788",45,51,53,295,7,0,0,451,
"S01015789",30,96,143,150,3,0,0,422,
"S01015790",28,116,197,142,3,1,0,490,
"S01015791",29,198,60,111,0,0,15,414,
"S01015792",130,35,13,77,1,1,0,257,
"S01015793",209,9,4,4,0,0,0,226,
"S01015794",133,131,13,16,0,0,0,293,
"S01015795",90,219,18,6,0,0,0,333,
"S01015796",45,240,27,5,0,2,0,320,
"S01015797",124,174,2,49,5,0,0,352,
"S01015798",89,234,1,4,0,0,0,328,
"S01015799",188,134,15,71,0,1,0,409,
"S01015800",81,171,3,6,0,0,0,259,
"S01015801",93,177,64,40,2,0,0,383,
"S01015802",145,185,14,1,2,0,0,348,
"S01015803",172,104,37,23,1,0,0,336,
"S01015804",88,139,124,13,5,0,0,369,
"S01015805",13,148,58,35,0,0,0,254,
"S01015806",85,89,24,84,7,1,0,289,
"S01015807",162,93,0,1,6,0,0,263,
"S01015808",145,61,3,19,41,0,0,266,
"S01015809",225,78,25,43,19,0,0,394,
"S01015810",141,193,7,7,0,0,0,344,
"S01015811",117,133,35,57,9,0,0,351,
"S01015812",128,168,3,0,0,0,0,301,
"S01015813",147,117,24,0,0,0,0,290,
"S01015814",134,166,16,28,0,0,0,345,
"S01015815",20,201,35,147,2,0,0,406,
"S01015816",40,124,52,243,5,1,1,466,
"S01015817",10,96,31,267,1,6,2,412,
"S01015818",115,70,9,29,0,1,0,224,
"S01015819",69,149,1,18,6,0,0,246,
"S01015820",72,46,27,157,14,11,0,324,
"S01015821",45,44,27,207,8,3,0,337,
"S01015822",78,19,53,180,4,1,0,331,
"S01015823",135,55,42,61,0,1,0,294,
"S01015824",17,135,78,180,2,1,0,413,
"S01015825",23,69,66,268,0,0,0,426,
"S01015826",15,148,91,124,2,0,0,380,
"S01015827",12,97,77,85,0,0,0,272,
"S01015828",14,108,96,33,0,0,0,251,
"S01015829",40,47,51,100,4,0,0,242,
"S01015830",76,227,6,5,0,0,0,312,
"S01015831",61,207,21,3,0,0,0,293,
"S01015832",81,133,133,100,3,0,0,451,
"S01015833",195,26,5,87,1,0,0,315,
"S01015834",165,35,40,59,0,0,0,299,
"S01015835",140,12,1,34,0,0,0,185,
"S01015836",150,32,3,29,0,0,0,217,
"S01015837",57,77,7,2,0,0,0,147,
"S01015838",55,185,135,57,1,1,0,434,
"S01015839",93,126,34,64,3,0,0,315,
"S01015840",16,90,224,11,0,0,0,332,
"S01015841",51,147,75,60,0,0,0,333,
"S01015842",33,57,171,51,0,0,0,312,
"S01015843",11,39,256,110,1,0,0,417,
"S01015844",16,34,165,74,0,0,1,287,
"S01015845",41,88,251,72,2,0,0,453,
"S01015846",171,70,2,42,0,1,0,284,
"S01015847",160,186,34,43,0,0,0,423,
"S01015848",112,108,35,22,0,0,0,277,
"S01015849",121,56,84,61,2,4,0,335,
"S01015850",144,117,64,56,3,0,0,387,
"S01015851",135,76,51,18,1,0,0,286,
"S01015852",59,105,98,174,1,3,0,443,
"S01015853",50,131,119,80,3,3,0,386,
"S01015854",198,118,83,35,0,0,0,433,
"S01015855",84,32,45,53,3,1,1,223,
"S01015856",26,78,93,19,2,0,0,210,
"S01015857",128,56,70,17,2,1,0,276,
"S01015858",12,123,76,15,1,3,0,231,
"S01015859",15,57,137,97,4,0,0,304,
"S01015860",28,110,114,93,2,2,0,349,
"S01015861",35,119,187,35,2,0,0,378,
"S01015862",42,103,133,74,0,0,0,352,
"S01015863",59,75,68,160,2,2,0,366,
"S01015864",93,117,91,34,0,1,0,336,
"S01015865",101,72,86,5,0,0,0,260,
"S01015866",65,105,46,20,0,1,0,237,
"S01015867",8,99,91,198,3,0,0,399,
"S01015868",7,175,68,7,0,0,0,259,
"S01015869",30,125,100,6,1,0,0,262,
"S01015870",18,87,72,44,3,0,0,226,
"S01015871",10,74,75,209,2,0,2,369,
"S01015872",108,48,55,164,24,1,0,400,
"S01015873",21,67,48,229,6,0,0,371,
"S01015874",56,119,73,30,0,0,0,278,
"S01015875",65,77,23,5,0,2,0,172,
"S01015876",110,51,4,7,0,0,0,169,
"S01015877",62,87,94,28,4,0,0,273,
"S01015878",7,27,54,445,10,5,0,550,
"S01015879",6,15,110,151,7,0,0,289,
"S01015880",15,36,46,358,20,10,0,486,
"S01015881",8,41,28,449,10,3,0,537,
"S01015882",27,25,50,255,14,7,0,370,
"S01015883",15,64,46,217,9,1,0,348,
"S01015884",18,34,37,353,9,3,0,454,
"S01015885",21,69,48,69,0,0,0,210,
"S01015886",21,131,140,67,2,0,0,363,
"S01015887",53,125,126,55,0,1,0,362,
"S01015888",21,85,83,264,9,6,0,468,
"S01015889",44,49,137,96,12,0,0,344,
"S01015890",43,86,62,79,5,1,0,275,
"S01015891",10,56,91,174,0,1,0,334,
"S01015892",17,117,103,138,0,1,0,376,
"S01015893",107,34,82,50,2,0,0,282,
"S01015894",88,56,80,80,2,0,0,306,
"S01015895",27,103,141,30,0,0,0,302,
"S01015896",17,112,161,18,1,0,0,305,
"S01015897",13,109,133,46,0,0,0,303,
"S01015898",21,87,138,101,7,1,0,354,
"S01015899",37,111,45,57,1,0,0,254,
"S01015900",11,42,22,229,2,5,0,314,
"S01015901",40,227,120,76,3,3,0,468,
"S01015902",7,180,98,8,0,0,0,293,
"S01015903",12,167,70,50,2,1,0,302,
"S01015904",15,86,138,11,0,0,0,248,
"S01015905",67,79,37,119,1,0,0,300,
"S01015906",101,48,54,25,1,0,0,226,
"S01015907",46,28,87,147,2,1,0,313,
"S01015908",43,101,212,158,8,2,0,521,
"S01015909",90,65,55,2,0,0,0,212,
"S01015910",156,85,122,10,0,0,0,372,
"S01015911",80,52,139,70,5,4,0,349,
"S01015912",40,82,157,43,1,0,0,321,
"S01015913",74,134,58,4,1,0,2,273,
"S01015914",29,92,72,30,2,0,0,230,
"S01015915",47,80,34,184,7,7,0,362,
"S01015916",20,157,35,72,1,1,0,284,
"S01015917",14,109,87,58,1,0,0,270,
"S01015918",101,126,162,16,0,0,0,402,
"S01015919",17,74,168,29,0,0,0,285,
"S01015920",140,30,79,49,0,0,0,298,
"S01015921",98,65,79,11,8,0,1,254,
"S01015922",183,56,30,6,1,0,0,279,
"S01015923",128,55,60,153,10,9,0,415,
"S01015924",17,108,146,121,0,0,0,392,
"S01015925",16,90,183,98,1,0,0,393,
"S01015926",184,69,41,56,5,2,0,352,
"S01015927",15,71,183,30,0,0,0,303,
"S01015928",89,96,90,18,1,0,0,298,
"S01015929",177,29,17,20,0,0,0,242,
"S01015930",138,61,22,86,0,2,0,311,
"S01015931",145,62,55,12,0,0,0,278,
"S01015932",65,234,62,21,0,0,0,383,
"S01015933",87,161,77,41,15,3,0,385,
"S01015934",69,59,47,19,0,0,0,194,
"S01015935",39,96,76,24,4,0,0,237,
"S01015936",86,169,64,41,1,2,1,367,
"S01015937",146,59,91,0,5,2,0,305,
"S01015938",104,83,28,16,0,0,0,233,
"S01015939",91,86,62,17,10,1,0,265,
"S01015940",40,154,152,25,3,0,0,370,
"S01015941",71,91,109,3,0,0,0,277,
"S01015942",84,90,59,18,7,0,1,259,
"S01015943",207,93,16,2,0,0,0,318,
"S01015944",156,38,28,3,0,0,0,225,
"S01015945",118,126,33,4,0,0,0,281,
"S01015946",195,28,35,14,1,0,0,273,
"S01015947",143,119,62,42,1,0,0,371,
"S01015948",139,51,39,3,2,0,30,269,
"S01015949",181,37,24,39,1,0,0,279,
"S01015950",31,133,27,4,0,0,0,195,
"S01015951",174,171,63,11,8,2,0,430,
"S01015952",136,30,4,1,0,0,1,172,
"S01015953",192,73,41,5,6,1,1,325,
"S01015954",181,144,61,11,3,0,0,400,
"S01015955",158,114,59,22,0,0,0,357,
"S01015956",181,166,87,16,3,1,1,455,
"S01015957",177,33,26,5,0,0,0,242,
"S01015958",77,86,32,2,0,0,0,196,
"S01015959",181,91,8,43,0,0,0,317,
"S01015960",22,203,93,37,9,0,0,364,
"S01015961",38,209,127,66,1,0,0,440,
"S01015962",48,123,90,5,6,0,0,272,
"S01015963",31,89,105,163,29,5,2,423,
"S01015964",27,67,76,183,16,12,0,381,
"S01015965",86,169,79,70,2,0,0,405,
"S01015966",67,112,94,133,26,13,0,445,
"S01015967",33,92,126,77,11,1,0,340,
"S01015968",19,104,213,13,3,1,0,355,
"S01015969",131,119,46,4,4,0,1,305,
"S01015970",37,100,20,83,8,2,1,249,
"S01015971",89,104,83,43,2,2,0,327,
"S01015972",202,84,65,67,13,0,0,434,
"S01015973",164,87,29,20,9,0,0,312,
"S01015974",183,157,46,8,2,1,0,400,
"S01015975",138,45,10,38,95,1,0,325,
"S01015976",233,35,35,93,19,0,0,419,
"S01015977",126,57,28,122,42,2,0,374,
"S01015978",34,33,45,232,24,9,0,381,
"S01015979",214,14,16,8,5,0,0,257,
"S01015980",141,21,11,0,0,0,0,170,
"S01015981",81,67,49,23,0,0,0,220,
"S01015982",165,106,70,90,2,0,0,427,
"S01015983",179,54,61,32,26,0,0,352,
"S01015984",25,104,119,65,1,0,0,321,
"S01015985",48,59,33,75,27,0,0,241,
"S01015986",131,17,21,60,2,0,0,231,
"S01015987",151,75,64,5,4,0,0,301,
"S01015988",261,66,81,2,6,0,0,420,
"S01015989",98,107,72,35,7,0,0,318,
"S01015990",157,118,98,37,33,5,0,446,
"S01015991",144,107,66,6,4,0,0,327,
"S01015992",121,101,55,2,3,0,3,286,
"S01015993",161,35,47,2,0,0,0,246,
"S01015994",121,39,37,2,1,0,0,198,
"S01015995",123,40,34,28,2,2,0,220,
"S01015996",147,45,45,2,0,0,0,235,
"S01015997",125,84,60,21,2,0,0,292,
"S01015998",91,165,48,15,1,0,0,325,
"S01015999",36,110,25,163,5,0,0,339,
"S01016000",51,128,100,38,0,0,1,317,
"S01016001",99,85,71,67,7,0,0,329,
"S01016002",74,119,43,157,22,5,0,427,
"S01016003",10,37,70,146,24,4,0,291,
"S01016004",55,60,86,156,34,7,1,397,
"S01016005",192,78,9,113,2,2,0,395,
"S01016006",67,168,8,58,5,2,0,311,
"S01016007",180,18,2,2,0,0,0,203,
"S01016008",194,109,6,8,5,0,0,320,
"S01016009",59,104,88,50,1,0,0,299,
"S01016010",174,78,37,42,0,0,0,331,
"S01016011",46,96,30,174,3,3,0,353,
"S01016012",69,129,36,115,0,0,0,351,
"S01016013",80,170,99,22,0,0,0,365,
"S01016014",117,116,120,34,3,1,0,393,
"S01016015",123,136,58,10,0,0,0,335,
"S01016016",213,115,34,8,0,0,20,390,
"S01016017",59,31,28,173,2,0,0,293,
"S01016018",79,51,3,38,1,0,0,175,
"S01016019",62,181,40,18,0,0,0,297,
"S01016020",26,185,13,8,5,0,0,236,
"S01016021",148,84,56,32,0,0,0,320,
"S01016022",153,86,2,0,1,0,0,241,
"S01016023",52,78,27,242,11,8,1,413,
"S01016024",60,120,52,192,0,1,0,428,
"S01016025",16,55,46,82,0,0,0,204,
"S01016026",47,62,26,132,6,1,1,278,
"S01016027",47,85,108,188,6,2,0,437,
"S01016028",6,20,33,255,0,1,0,315,
"S01016029",10,34,36,362,5,3,0,450,
"S01016030",22,144,42,98,5,0,0,307,
"S01016031",65,91,22,50,1,0,2,227,
"S01016032",210,113,42,30,1,0,1,398,
"S01016033",148,30,3,14,0,0,0,195,
"S01016034",58,90,32,209,3,0,0,392,
"S01016035",112,140,22,47,5,0,0,326,
"S01016036",77,75,6,2,0,0,0,161,
"S01016037",60,147,83,191,1,0,0,481,
"S01016038",9,84,98,85,0,0,0,280,
"S01016039",79,165,67,44,3,0,0,359,
"S01016040",12,145,81,50,0,0,0,289,
"S01016041",29,146,129,129,0,0,0,433,
"S01016042",27,184,133,42,1,0,0,387,
"S01016043",162,17,17,81,0,2,0,278,
"S01016044",141,9,12,84,0,0,0,244,
"S01016045",241,24,29,116,0,0,0,411,
"S01016046",187,102,24,188,2,0,0,505,
"S01016047",63,99,19,152,0,0,0,333,
"S01016048",51,101,16,69,0,2,0,239,
"S01016049",126,24,3,14,0,0,0,163,
"S01016050",77,34,38,55,0,0,0,205,
"S01016051",182,106,3,4,1,0,0,297,
"S01016052",131,145,5,5,0,0,0,286,
"S01016053",80,51,65,37,0,0,0,233,
"S01016054",21,96,70,154,7,0,0,346,
"S01016055",25,77,158,89,3,0,0,348,
"S01016056",122,28,46,37,0,0,0,235,
"S01016057",163,70,3,1,0,0,0,240,
"S01016058",101,91,22,4,0,0,0,219,
"S01016059",143,84,50,31,0,0,0,308,
"S01016060",193,5,1,0,0,0,0,200,
"S01016061",134,128,12,63,0,0,0,337,
"S01016062",239,72,2,21,3,0,0,332,
"S01016063",205,31,1,128,0,0,0,369,
"S01016064",304,14,13,68,0,0,0,401,
"S01016065",277,65,4,6,1,1,0,357,
"S01016066",182,57,6,236,4,7,0,489,
"S01016067",147,54,2,110,0,0,0,310,
"S01016068",195,15,1,26,2,1,0,240,
"S01016069",229,46,34,52,0,0,0,361,
"S01016070",224,27,3,0,0,0,0,252,
"S01016071",210,7,4,86,1,0,0,308,
"S01016072",198,45,2,56,1,0,0,302,
"S01016073",112,42,13,29,0,0,0,196,
"S01016074",115,16,8,5,0,0,0,144,
"S01016075",130,25,6,6,1,1,1,169,
"S01016076",85,23,33,47,0,0,0,186,
"S01016077",158,36,10,47,2,0,0,254,
"S01016078",48,122,84,53,9,0,0,315,
"S01016079",100,49,160,36,9,0,0,355,
"S01016080",103,49,59,70,0,5,0,288,
"S01016081",63,124,97,56,2,0,0,345,
"S01016082",72,131,16,38,4,0,0,258,
"S01016083",193,63,59,32,1,0,0,348,
"S01016084",79,120,24,3,0,0,0,228,
"S01016085",153,54,4,22,0,0,0,234,
"S01016086",47,153,45,45,0,1,0,288,
"S01016087",144,52,99,5,0,0,0,301,
"S01016088",124,68,27,53,0,0,0,279,
"S01016089",199,43,2,31,0,0,0,277,
"S01016090",28,118,114,130,0,0,0,390,
"S01016091",32,84,81,150,8,1,0,359,
"S01016092",51,88,50,120,0,0,0,308,
"S01016093",49,69,100,34,8,0,0,252,
"S01016094",62,36,63,128,5,2,0,298,
"S01016095",147,53,86,3,0,0,0,293,
"S01016096",45,125,107,0,0,0,0,280,
"S01016097",75,172,9,4,1,0,0,263,
"S01016098",79,151,13,32,0,4,0,281,
"S01016099",140,119,13,1,0,0,0,274,
"S01016100",43,74,27,56,3,0,0,206,
"S01016101",27,121,85,56,5,0,0,292,
"S01016102",88,163,52,90,2,0,0,395,
"S01016103",162,34,2,1,0,0,0,199,
"S01016104",63,166,2,1,0,0,0,235,
"S01016105",7,208,10,5,0,0,0,230,
"S01016106",23,195,69,32,1,0,0,320,
"S01016107",41,84,41,7,0,2,0,174,
"S01016108",106,77,186,10,0,0,0,379,
"S01016109",166,65,10,1,0,0,0,244,
"S01016110",17,120,177,37,0,0,0,346,
"S01016111",6,76,147,3,0,1,0,233,
"S01016112",6,50,181,2,0,0,0,239,
"S01016113",68,44,79,111,6,0,0,308,
"S01016114",115,113,9,4,0,0,0,243,
"S01016115",66,35,86,157,2,0,0,346,
"S01016116",18,75,204,25,6,0,0,329,
"S01016117",8,33,148,160,1,0,0,350,
"S01016118",75,32,168,5,0,0,0,280,
"S01016119",26,90,57,10,1,0,0,184,
"S01016120",45,130,5,138,0,0,0,318,
"S01016121",127,138,46,3,2,0,0,313,
"S01016122",41,120,47,42,0,0,0,250,
"S01016123",42,51,51,96,0,3,0,240,
"S01016124",31,206,2,24,0,0,0,263,
"S01016125",37,234,36,71,0,2,0,377,
"S01016126",99,49,1,47,0,0,0,199,
"S01016127",103,61,2,69,0,0,0,239,
"S01016128",154,58,0,0,0,0,0,210,
"S01016129",129,91,71,54,0,0,0,342,
"S01016130",79,128,29,30,3,0,0,267,
"S01016131",42,156,49,211,8,2,0,467,
"S01016132",42,90,14,138,11,0,0,295,
"S01016133",6,178,44,21,2,0,0,252,
"S01016134",17,175,72,130,10,1,1,404,
"S01016135",25,105,64,119,2,0,0,323,
"S01016136",13,133,21,55,9,0,0,237,
"S01016137",76,84,51,66,4,0,0,284,
"S01016138",39,55,47,56,2,0,0,199,
"S01016139",50,132,2,4,0,0,0,191,
"S01016140",9,200,25,108,0,0,0,342,
"S01016141",13,146,52,210,6,0,0,425,
"S01016142",134,127,59,89,2,0,0,412,
"S01016143",73,77,106,29,0,0,0,287,
"S01016144",97,82,70,48,8,1,0,303,
"S01016145",13,61,32,232,2,0,0,340,
"S01016146",14,91,123,12,0,0,0,239,
"S01016147",114,51,55,23,3,1,0,251,
"S01016148",123,48,74,40,2,0,0,289,
"S01016149",25,85,60,48,2,0,0,216,
"S01016150",19,20,23,192,5,2,0,262,
"S01016151",41,60,145,146,9,4,1,405,
"S01016152",140,60,64,52,3,0,0,323,
"S01016153",168,7,12,5,1,0,38,234,
"S01016154",153,72,84,3,0,0,1,312,
"S01016155",9,55,250,14,0,0,0,328,
"S01016156",11,95,137,61,0,2,0,307,
"S01016157",106,71,120,2,0,0,0,301,
"S01016158",3,40,167,46,0,0,0,260,
"S01016159",18,76,44,156,0,0,0,299,
"S01016160",31,76,158,62,2,0,0,329,
"S01016161",216,92,11,4,2,2,0,327,
"S01016162",44,170,127,40,0,0,0,380,
"S01016163",130,102,12,9,0,0,0,250,
"S01016164",75,85,50,42,1,0,0,253,
"S01016165",56,62,76,19,0,0,0,214,
"S01016166",118,32,36,16,0,0,0,198,
"S01016167",39,123,114,21,0,0,0,297,
"S01016168",12,108,152,22,2,0,0,290,
"S01016169",81,45,90,21,0,0,0,239,
"S01016170",47,200,54,102,1,0,0,403,
"S01016171",68,120,21,44,0,0,0,256,
"S01016172",187,70,6,6,0,1,0,269,
"S01016173",34,104,150,91,3,3,0,385,
"S01016174",40,153,222,41,0,0,0,458,
"S01016175",63,103,105,9,1,0,0,281,
"S01016176",42,66,72,74,0,0,0,254,
"S01016177",27,89,90,46,0,1,0,248,
"S01016178",86,97,61,94,2,1,1,341,
"S01016179",205,45,22,35,0,0,0,312,
"S01016180",155,122,10,4,0,0,0,291,
"S01016181",78,112,15,91,0,0,0,300,
"S01016182",56,75,70,43,1,0,0,248,
"S01016183",254,43,3,1,0,0,0,302,
"S01016184",202,20,26,26,0,0,0,271,
"S01016185",17,31,109,257,0,0,0,412,
"S01016186",112,18,60,39,0,0,0,226,
"S01016187",220,9,17,17,0,0,0,262,
"S01016188",247,39,65,8,0,0,1,359,
"S01016189",210,46,47,42,0,0,0,345,
"S01016190",215,123,38,22,0,0,0,405,
"S01016191",46,112,38,75,1,1,0,273,
"S01016192",73,83,85,40,0,0,0,281,
"S01016193",22,105,124,93,1,0,0,342,
"S01016194",149,136,2,3,0,0,0,290,
"S01016195",129,111,30,161,13,5,0,446,
"S01016196",209,47,31,98,1,1,1,390,
"S01016197",184,118,13,26,1,2,0,344,
"S01016198",117,51,9,4,6,0,0,191,
"S01016199",19,147,59,124,6,5,0,360,
"S01016200",14,103,115,170,8,8,0,420,
"S01016201",20,144,178,30,1,1,0,374,
"S01016202",24,196,67,35,1,0,0,323,
"S01016203",122,91,15,15,0,0,0,243,
"S01016204",76,75,96,103,3,0,2,357,
"S01016205",53,138,82,56,3,1,0,340,
"S01016206",5,43,175,41,0,2,0,266,
"S01016207",117,99,107,11,4,0,0,335,
"S01016208",95,152,8,62,1,0,0,315,
"S01016209",137,100,25,5,0,0,0,267,
"S01016210",15,115,125,17,0,0,0,273,
"S01016211",93,145,100,40,2,0,0,378,
"S01016212",81,145,12,2,0,0,0,239,
"S01016213",192,125,10,46,1,0,0,375,
"S01016214",80,137,76,48,2,0,0,339,
"S01016215",81,47,28,104,1,0,0,261,
"S01016216",70,89,1,29,1,0,0,190,
"S01016217",30,120,84,112,2,3,0,353,
"S01016218",91,86,32,6,0,0,0,219,
"S01016219",12,178,96,13,0,0,0,299,
"S01016220",13,71,103,50,0,0,0,237,
"S01016221",157,82,88,79,2,1,0,408,
"S01016222",117,44,55,7,0,0,0,223,
"S01016223",81,75,55,2,0,0,0,212,
"S01016224",101,91,42,52,1,0,0,287,
"S01016225",8,38,85,158,0,0,0,292,
"S01016226",14,61,115,100,0,0,5,291,
"S01016227",4,50,15,360,4,1,0,439,
"S01016228",5,62,4,101,0,0,0,170,
"S01016229",58,56,47,102,1,0,0,264,
"S01016230",6,70,12,192,1,1,1,288,
"S01016231",136,74,42,77,0,0,0,334,
"S01016232",16,61,14,245,1,0,0,337,
"S01016233",21,229,6,140,0,0,0,399,
"S01016234",58,65,26,117,1,1,0,271,
"S01016235",155,16,17,89,0,0,0,277,
"S01016236",249,28,5,6,0,0,0,289,
"S01016237",35,156,96,88,19,3,0,397,
"S01016238",19,15,8,221,0,0,0,262,
"S01016239",5,64,55,220,7,6,0,357,
"S01016240",11,102,47,290,9,10,0,473,
"S01016241",18,53,59,329,10,1,0,468,
"S01016242",9,139,23,241,1,1,1,409,
"S01016243",9,87,53,144,0,0,1,291,
"S01016244",2,117,99,28,0,0,0,250,
"S01016245",3,47,22,230,6,0,0,308,
"S01016246",114,67,95,152,0,0,0,432,
"S01016247",35,84,157,200,4,0,0,478,
"S01016248",101,91,10,166,2,3,0,376,
"S01016249",2,0,4,579,1,1,0,589,
